fecha_primeros_sintomas;region;prop2d
2020-03-16;01;NA
2020-03-18;01;NA
2020-03-19;01;NA
2020-03-21;01;NA
2020-03-22;01;NA
2020-03-23;01;NA
2020-03-24;01;0.285714285714286
2020-03-25;01;0.357142857142857
2020-03-26;01;0.214285714285714
2020-03-28;01;0.285714285714286
2020-03-29;01;0.428571428571429
2020-03-30;01;0.428571428571429
2020-03-31;01;0.428571428571429
2020-04-01;01;0.371428571428571
2020-04-02;01;0.371428571428571
2020-04-03;01;0.419047619047619
2020-04-04;01;0.347619047619048
2020-04-05;01;0.252380952380952
2020-04-07;01;0.347619047619048
2020-04-09;01;0.347619047619048
2020-04-10;01;0.333333333333333
2020-04-11;01;0.404761904761905
2020-04-13;01;0.428571428571429
2020-04-14;01;0.571428571428571
2020-04-15;01;0.580952380952381
2020-04-16;01;0.575
2020-04-17;01;0.717857142857143
2020-04-18;01;0.646428571428571
2020-04-19;01;0.523979591836735
2020-04-20;01;0.452551020408163
2020-04-21;01;0.416836734693878
2020-04-22;01;0.35969387755102
2020-04-23;01;0.327551020408163
2020-04-24;01;0.225510204081633
2020-04-25;01;0.266326530612245
2020-04-26;01;0.284879406307978
2020-04-27;01;0.342022263450835
2020-04-28;01;0.311069882498454
2020-04-29;01;0.364641311069883
2020-04-30;01;0.353212739641311
2020-05-01;01;0.341808177816581
2020-05-02;01;0.365277565571683
2020-05-03;01;0.42453081232493
2020-05-04;01;0.441792717086835
2020-05-05;01;0.445741613718658
2020-05-06;01;0.444648319258017
2020-05-07;01;0.456076890686588
2020-05-08;01;0.470396904406362
2020-05-09;01;0.46994097735469
2020-05-10;01;0.408007870778726
2020-05-11;01;0.38962551783755
2020-05-12;01;0.361434196963302
2020-05-13;01;0.370417856872449
2020-05-14;01;0.376981563436155
2020-05-15;01;0.383601073066705
2020-05-16;01;0.361979078040455
2020-05-17;01;0.39284075604499
2020-05-18;01;0.400050197198501
2020-05-19;01;0.401850377216502
2020-05-20;01;0.382338696575254
2020-05-21;01;0.382852316354929
2020-05-22;01;0.377532084199344
2020-05-23;01;0.376298821338174
2020-05-24;01;0.352764986751708
2020-05-25;01;0.331769161479332
2020-05-26;01;0.330878072370421
2020-05-27;01;0.35688912404028
2020-05-28;01;0.347502995388096
2020-05-29;01;0.349088480840859
2020-05-30;01;0.356746170339221
2020-05-31;01;0.388050039768893
2020-06-01;01;0.395459404995094
2020-06-02;01;0.41085623039192
2020-06-03;01;0.415163972906401
2020-06-04;01;0.425547309376694
2020-06-05;01;0.406941972505103
2020-06-06;01;0.416224811575177
2020-06-07;01;0.392332327752379
2020-06-08;01;0.420503430132096
2020-06-09;01;0.441015065206838
2020-06-10;01;0.43759297347858
2020-06-11;01;0.448005834275073
2020-06-12;01;0.475823858036301
2020-06-13;01;0.490219205764983
2020-06-14;01;0.507691948286649
2020-06-15;01;0.495913191685066
2020-06-16;01;0.478576159784928
2020-06-17;01;0.485796134302665
2020-06-18;01;0.477733449769392
2020-06-19;01;0.472097271719421
2020-06-20;01;0.472281535585277
2020-06-21;01;0.46261191431211
2020-06-22;01;0.45955420918502
2020-06-23;01;0.449633574264385
2020-06-24;01;0.452717363062459
2020-06-25;01;0.455120640975941
2020-06-26;01;0.467427590782891
2020-06-27;01;0.452075778416153
2020-06-28;01;0.438966534718674
2020-06-29;01;0.45092795598734
2020-06-30;01;0.459920947123189
2020-07-01;01;0.44445367261977
2020-07-02;01;0.43760575072676
2020-07-03;01;0.434446410067419
2020-07-04;01;0.425935771769547
2020-07-05;01;0.46407241773228
2020-07-06;01;0.471197835042559
2020-07-07;01;0.456386980038
2020-07-08;01;0.467533607363629
2020-07-09;01;0.48557951494442
2020-07-10;01;0.463653821590155
2020-07-11;01;0.463893783196298
2020-07-12;01;0.456965928442357
2020-07-13;01;0.449728991114234
2020-07-14;01;0.460241009067343
2020-07-15;01;0.464438432717654
2020-07-16;01;0.443419977488673
2020-07-17;01;0.465188684971666
2020-07-18;01;0.493599876885878
2020-07-19;01;0.502391085677087
2020-07-20;01;0.505634243405294
2020-07-21;01;0.53943215281296
2020-07-22;01;0.542994082904145
2020-07-23;01;0.55994121263323
2020-07-24;01;0.572186110592413
2020-07-25;01;0.568261811586147
2020-07-26;01;0.574384260565739
2020-07-27;01;0.554752729306301
2020-07-28;01;0.52005885175528
2020-07-29;01;0.479486372763684
2020-07-30;01;0.48141622271785
2020-07-31;01;0.475921717223344
2020-08-01;01;0.463787133660189
2020-08-02;01;0.453583052027536
2020-08-03;01;0.457641493585978
2020-08-04;01;0.483605212406839
2020-08-05;01;0.538016977112722
2020-08-06;01;0.554227716727717
2020-08-07;01;0.537273242630385
2020-08-08;01;0.555413832199546
2020-08-09;01;0.543548620998787
2020-08-10;01;0.549278898184288
2020-08-11;01;0.532838988887236
2020-08-12;01;0.50631923204833
2020-08-13;01;0.475366851095949
2020-08-14;01;0.492832441983467
2020-08-15;01;0.484895934046959
2020-08-16;01;0.489202566260568
2020-08-17;01;0.503389871492649
2020-08-18;01;0.523798034757956
2020-08-19;01;0.531440240576453
2020-08-20;01;0.514773573909787
2020-08-21;01;0.519756962614105
2020-08-22;01;0.535063085063085
2020-08-23;01;0.529016221873365
2020-08-24;01;0.541836734693877
2020-08-25;01;0.521786609380594
2020-08-26;01;0.54313668787353
2020-08-27;01;0.566946211683054
2020-08-28;01;0.557422402159244
2020-08-29;01;0.542116279710265
2020-03-10;02;NA
2020-03-15;02;NA
2020-03-16;02;NA
2020-03-19;02;NA
2020-03-20;02;0.142857142857143
