fecha_notificacion;prop1d
2020-03-10;NA
2020-03-11;NA
2020-03-12;NA
2020-03-13;NA
2020-03-14;0.069331983805668
2020-03-15;0.114444765760555
2020-03-16;0.127431778747568
2020-03-17;0.134950575740049
2020-03-18;0.15358411611272
2020-03-19;0.161520624049228
2020-03-20;0.135237628694068
2020-03-21;0.165485662571866
2020-03-22;0.158049489722159
2020-03-23;0.165841697514367
2020-03-24;0.180374674251512
2020-03-25;0.192510364648072
2020-03-26;0.198623892969722
2020-03-27;0.207608397342181
2020-03-28;0.207656692522322
2020-03-29;0.214968244427402
2020-03-30;0.23664185383686
2020-03-31;0.257833323350477
2020-04-01;0.275147716274626
2020-04-02;0.293505087423876
2020-04-03;0.314237644340643
2020-04-04;0.320447675522927
2020-04-05;0.34957337058141
2020-04-06;0.36748271343096
2020-04-07;0.383271347401412
2020-04-08;0.398598802425234
2020-04-09;0.407244414163629
2020-04-10;0.432894046486194
2020-04-11;0.461839084525843
2020-04-12;0.453271446944495
2020-04-13;0.465380598202407
2020-04-14;0.495350988562408
2020-04-15;0.508944689452217
2020-04-16;0.523169583519481
2020-04-17;0.538835359615213
2020-04-18;0.538924525073453
2020-04-19;0.539251322459074
2020-04-20;0.549163871957849
2020-04-21;0.539847814128166
2020-04-22;0.540132411810533
2020-04-23;0.531457286053912
2020-04-24;0.523852958221696
2020-04-25;0.509332802646849
2020-04-26;0.517623920512435
2020-04-27;0.509071414126867
2020-04-28;0.501950844242271
2020-04-29;0.489797521374662
2020-04-30;0.473631129439598
2020-05-01;0.441797582105884
2020-05-02;0.433565596612196
2020-05-03;0.422051456558071
2020-05-04;0.360289054665963
2020-05-05;0.321949025580657
2020-05-06;0.293541137035395
2020-05-07;0.272572989409958
2020-05-08;0.246216397480419
2020-05-09;0.220704232246529
2020-05-10;0.181638016747058
2020-05-11;0.18761745851873
2020-05-12;0.176330214984118
2020-05-13;0.157173392997865
2020-05-14;0.146867529480132
2020-05-15;0.140244943111615
2020-05-16;0.139179781978558
2020-05-17;0.142742947573108
2020-05-18;0.148387493597711
2020-05-19;0.157318644560783
2020-05-20;0.166650837750761
2020-05-21;0.177510838394934
2020-05-22;0.188889788763272
2020-05-23;0.193489119982672
2020-05-24;0.204299155078395
2020-05-25;0.20646890412338
2020-05-26;0.199658693858529
2020-05-27;0.201526298262414
2020-05-28;0.206675634102287
2020-05-29;0.205182653018754
2020-05-30;0.208516965212109
2020-05-31;0.207491203268049
2020-06-01;0.215311587403813
2020-06-02;0.227462205690104
2020-06-03;0.236066479488379
2020-06-04;0.237331790291579
2020-06-05;0.255690371477442
2020-06-06;0.268113700285013
2020-06-07;0.277359104659951
2020-06-08;0.294786830068203
2020-06-09;0.308048659015354
2020-06-10;0.321604920751596
2020-06-11;0.338543945619323
2020-06-12;0.349880617628705
2020-06-13;0.369234612328322
2020-06-14;0.385628171932959
2020-06-15;0.390754086633868
2020-06-16;0.392767483072583
2020-06-17;0.400858457211716
2020-06-18;0.40924761143573
2020-06-19;0.409713807785272
2020-06-20;0.409738300055344
2020-06-21;0.42294131502084
2020-06-22;0.44173667450686
2020-06-23;0.462568435869067
2020-06-24;0.474851485890856
2020-06-25;0.487042824451766
2020-06-26;0.496374023937547
2020-06-27;0.500036654379409
2020-06-28;0.497172622168586
2020-06-29;0.505531659518807
2020-06-30;0.510113831822614
2020-07-01;0.518221310056239
2020-07-02;0.525541755567289
2020-07-03;0.527007984529671
2020-07-04;0.541220230001736
2020-07-05;0.55151357811021
2020-07-06;0.548366495826636
2020-07-07;0.548322278612618
2020-07-08;0.544765330479553
2020-07-09;0.541783876088791
2020-07-10;0.552700427101926
2020-07-11;0.541964197878302
2020-07-12;0.54401514232556
2020-07-13;0.542938509103998
2020-07-14;0.549037938111174
2020-07-15;0.542918355352466
2020-07-16;0.551950857242111
2020-07-17;0.546121122263604
2020-07-18;0.552304218436756
2020-07-19;0.553123685108565
2020-07-20;0.54747416696249
2020-07-21;0.542849656282703
2020-07-22;0.546235693128879
2020-07-23;0.532389344986049
2020-07-24;0.52774440479917
2020-07-25;0.512015126406773
2020-07-26;0.506281941748242
2020-07-27;0.505141113100891
2020-07-28;0.494605237718653
2020-07-29;0.48790966704467
2020-07-30;0.491522325968822
2020-07-31;0.487136049927305
2020-08-01;0.490529391077869
2020-08-02;0.48390709562161
2020-08-03;0.482384553096216
2020-08-04;0.478981798551776
2020-08-05;0.474762225834504
2020-08-06;0.466309576102526
2020-08-07;0.468196586083012
2020-08-08;0.464096841268855
2020-08-09;0.463664526495329
2020-08-10;0.475374824305577
2020-08-11;0.489360522442399
2020-08-12;0.494851895475112
2020-08-13;0.507809955970217
2020-08-14;0.51098661844294
2020-08-15;0.521669143587604
2020-08-16;0.528375661364033
2020-08-17;0.523822488466956
2020-08-18;0.527865108748675
2020-08-19;0.538165980041588
2020-08-20;0.536351215619224
2020-08-21;0.553151030575721
2020-08-22;0.556352109339264
2020-08-23;0.57102483533095
2020-08-24;0.581056183293333
2020-08-25;0.582339616123965
2020-08-26;0.591564149313367
2020-08-27;0.594776636247824
2020-08-28;0.585327576724419
2020-08-29;0.582601478051663
2020-08-30;0.57357246539488
2020-08-31;0.575561628244448
2020-09-01;0.569161987231862
2020-09-02;0.561336809371407
2020-09-03;0.557450917763238
2020-09-04;0.555565884661363
2020-09-05;0.547991915112914
2020-09-06;0.545674037450192
2020-09-07;0.525499115757286
2020-09-08;0.518624420486686
2020-09-09;0.510487865997536
2020-09-10;0.509554361734435
2020-09-11;0.499810242827565
2020-09-12;0.511773628642013
