"fecha";"media.estimado";"media.linf";"media.lsup"
2020-03-08;15.9687599460071;15.2745889818709;16.6612105371123
2020-03-15;15.9687599460071;15.2745889818709;16.6612105371123
2020-03-22;13.9333192502808;13.5199477349767;14.3502288070001
2020-03-29;12.6428322186146;12.237111499896;13.0493973918137
2020-04-05;11.460431568927;11.0736355956418;11.854218402889
2020-04-12;9.87838484714151;9.52043255298862;10.242068592888
2020-04-19;8.18525271657852;7.90948062822403;8.46583246527226
2020-04-26;7.93869237179193;7.74030682979905;8.13973434283291
2020-05-03;8.25915115913092;8.13163666777564;8.38919002540253
2020-05-10;8.53367801279682;8.44703606666771;8.62150092231756
2020-05-17;8.72367982504974;8.65766447681134;8.79088438664565
2020-05-24;8.35299016730616;8.29874661666818;8.4075704682241
2020-05-31;7.4053283973587;7.35551462718587;7.45559112791646
2020-06-07;6.81790912615475;6.76364840090791;6.8724409387782
2020-06-14;5.71650780032943;5.67048646064003;5.7630051896277
2020-06-21;5.19220095282109;5.14721437457869;5.23781060351262
2020-06-28;4.86091401971714;4.811194063443;4.91194183286279
2020-07-05;4.80990830132825;4.75434179498393;4.86647252193868
2020-07-12;4.54677634161107;4.48848088147914;4.60627257517555
2020-07-19;4.60161955992089;4.54205577424648;4.66329857797587
2020-07-26;4.73055267860663;4.39355646585691;5.76487175994232
2020-08-02;6.20784704375133;4.81957745908223;8.60812817924718
2020-08-09;4.19438950386551;3.82408061115852;5.88447741032143
2020-08-16;4.81975445113473;3.07741703157843;8.71295419536423
