"fecha";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-03-08;0.0591952554072399;0.0407282132285882;0.08122560840811
2020-03-15;0.0591952554072399;0.0407282132285882;0.08122560840811
2020-03-22;0.0871541126607113;0.0746819372852547;0.101035608229914
2020-03-29;0.155708451945066;0.141060814412261;0.170732661820658
2020-04-05;0.237437536036013;0.221746662106315;0.253471112208843
2020-04-12;0.302386470023653;0.28543633626568;0.319548249474965
2020-04-19;0.386354546338165;0.369864458487811;0.402932800430937
2020-04-26;0.325972918848183;0.313710850280865;0.338102010014074
2020-05-03;0.284457344917531;0.276084410809441;0.292648805956624
2020-05-10;0.229833379207013;0.224329779088728;0.235560070830573
2020-05-17;0.158527133069853;0.154510066520242;0.162540180614989
2020-05-24;0.167719297863373;0.163991340551401;0.17159733762765
2020-05-31;0.182372635348179;0.178337855303916;0.186471862777465
2020-06-07;0.2329683132263;0.228494504040749;0.23743886474814
2020-06-14;0.294369029282104;0.289170877440197;0.29952848675915
2020-06-21;0.355888138396877;0.350154624256882;0.361614312378614
2020-06-28;0.40660722895776;0.400134392797072;0.413061101967231
2020-07-05;0.425153871956826;0.417962120407049;0.432238067894499
2020-07-12;0.469595318002141;0.46207786153094;0.477562392011611
2020-07-19;0.446191639620995;0.438026700722182;0.454409367451898
2020-07-26;0.477923543566341;0.469482358028132;0.486351223179709
2020-08-02;0.477659118035008;0.468933807100357;0.486555737578397
2020-08-09;0.524213285571884;0.515475561918507;0.533033152107885
2020-08-16;0.534613195856877;0.525429282038118;0.543858526272595
2020-08-23;0.523681231593306;0.464433489166567;0.553550549419064
2020-08-30;0.47072860111027;0.371051524020858;0.543804602958512
2020-09-06;0.428678866457061;0.305936588980783;0.52931388069155
2020-09-13;0.398320205848127;0.255418424295721;0.577236597456035
