"fecha";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-03-08;0.0402797550141602;0.026694524459834;0.0566311942987999
2020-03-15;0.0402797550141602;0.026694524459834;0.0566311942987999
2020-03-22;0.042948280672823;0.0339609665396768;0.0534743557396481
2020-03-29;0.0811983918234965;0.069981204887177;0.0931737301235605
2020-04-05;0.152573185308301;0.138808351119983;0.166845996837041
2020-04-12;0.215093534585526;0.200188101701122;0.23060258944644
2020-04-19;0.260893351104604;0.247171394263545;0.274926064980349
2020-04-26;0.211324709402969;0.20066102580741;0.222266017362237
2020-05-03;0.183853897285838;0.177411745254838;0.190420870691117
2020-05-10;0.126721397851673;0.122477983861611;0.131012485002919
2020-05-17;0.0779586472084742;0.0748663374994998;0.0810410569699667
2020-05-24;0.0920038638330363;0.0889871447810789;0.0950721203719786
2020-05-31;0.110661607194684;0.107200040715732;0.114102373786285
2020-06-07;0.124391174627253;0.120800289952289;0.128073558688235
2020-06-14;0.169266573491801;0.165055598973553;0.17353303031511
2020-06-21;0.207367493749501;0.202576747100103;0.212172982680115
2020-06-28;0.253413054760106;0.247639716026131;0.259174630697853
2020-07-05;0.257540586014996;0.251235891370402;0.263847060430081
2020-07-12;0.310452193287265;0.303228415401918;0.317648073325084
2020-07-19;0.298569863156995;0.291033823847788;0.306120967534437
2020-07-26;0.293236539812411;0.255683611815328;0.314837820448701
2020-08-02;0.277342223247155;0.228853732534139;0.309341262125055
2020-08-09;0.3357203770342;0.24882783031342;0.367869879240108
2020-08-16;0.309131124813934;0.203351303829035;0.424329291583592
