"fecha";"region";"prob72.estimado";"prob72.linf";"prob72.lsup"
2020-03-08;"01";0.102165399438268;0.0304784603767748;0.209910216985854
2020-03-15;"01";0.102165399438268;0.0304784603767748;0.209910216985854
2020-03-22;"01";0.0563178176371496;0.000878066563215504;0.201119536970085
2020-03-29;"01";0.0508066665333667;0.000769718979012479;0.179847538634667
2020-04-05;"01";0.0987400504576736;0.0219766665895529;0.213585711773359
2020-04-12;"01";0.127524291862422;0.0507454209181899;0.229951911813982
2020-04-19;"01";0.166930745676048;0.0811412428198995;0.277150860290379
2020-04-26;"01";0.254763263821492;0.173670788503518;0.34518926295396
2020-05-03;"01";0.282951707460219;0.218733682863317;0.349375151713025
2020-05-10;"01";0.250216775215794;0.195648696500112;0.304023341138291
2020-05-17;"01";0.267659109393384;0.235734719394649;0.301065296996269
2020-05-24;"01";0.262080684931116;0.233171440705071;0.291671956864761
2020-05-31;"01";0.327556535465637;0.296324845479496;0.359578004664345
2020-06-07;"01";0.322769401762561;0.291528124400129;0.355572276705675
2020-06-14;"01";0.453074441202803;0.418445698299197;0.48772372857383
2020-06-21;"01";0.458235584103829;0.420421113092772;0.496248626841104
2020-06-28;"01";0.44224285115842;0.402466260653224;0.482056314587297
2020-07-05;"01";0.486051845941994;0.446021614093496;0.526051882428879
2020-07-12;"01";0.463996697390094;0.420454518797171;0.507842295655376
2020-07-19;"01";0.417097604786718;0.373517210452965;0.461237884563756
2020-07-26;"01";0.475164880033295;0.433886336463302;0.516497242508985
2020-08-02;"01";0.550815282933729;0.508121406454182;0.593473319087578
2020-08-09;"01";0.504729086733519;0.458558896990283;0.551933986716358
2020-08-16;"01";0.563978470146411;0.517265883824156;0.609256269945883
2020-08-23;"01";0.590953927866554;0.511252936529076;0.656003532034559
2020-08-30;"01";0.535519009955052;0.396724164229599;0.640382757379588
2020-09-06;"01";0.443841744921086;0.299131465012116;0.578630533485921
2020-09-13;"01";0.41039001995373;0.22361879307381;0.652398736593713
2020-03-08;"02";0.0810652335326674;0.0234394758889254;0.166392369976482
2020-03-15;"02";0.0810652335326674;0.0234394758889254;0.166392369976482
2020-03-22;"02";0.0182498783632825;0.000317612636394263;0.074329035076176
2020-03-29;"02";0.0508160077299994;0.00547968541860401;0.136240137151401
2020-04-05;"02";0.0500821582885383;0.0124811126750535;0.110223913381726
2020-04-12;"02";0.162517527714327;0.101293229271442;0.235069392459721
2020-04-19;"02";0.184714281895259;0.128220872350929;0.247629758964077
2020-04-26;"02";0.280730034186536;0.228407938468245;0.336978944574906
2020-05-03;"02";0.294975515087421;0.2516265945803;0.339868447761922
2020-05-10;"02";0.184777181788986;0.152903441741036;0.219280424052352
2020-05-17;"02";0.134003100905812;0.108811637814106;0.161208192394682
2020-05-24;"02";0.0976871210280424;0.075769456929106;0.122220570193954
2020-05-31;"02";0.0933723834011094;0.0747791341880669;0.113788654899984
2020-06-07;"02";0.114165247005475;0.0974553768648823;0.131904857338321
2020-06-14;"02";0.161397609907375;0.144185395493038;0.180411536985905
2020-06-21;"02";0.267805219313629;0.24714132311883;0.288736247856338
2020-06-28;"02";0.294581269093373;0.272793728936314;0.316677867936649
2020-07-05;"02";0.351818204320722;0.329561263552534;0.374561325774888
2020-07-12;"02";0.430486195441541;0.40363561885205;0.45833255838122
2020-07-19;"02";0.450670202628542;0.420799246089826;0.48061960505026
2020-07-26;"02";0.472680911053432;0.439004248448375;0.505862936523776
2020-08-02;"02";0.499177000773571;0.466696043479534;0.531522663717185
2020-08-09;"02";0.514980020782861;0.480068217033075;0.54983425050531
2020-08-16;"02";0.47966439962781;0.441125480075392;0.518009921694277
2020-08-23;"02";0.510104313437147;0.403827609854985;0.579034980547105
2020-08-30;"02";0.50567500569232;0.391189791426957;0.583701790028591
2020-09-06;"02";0.437345789643271;0.310880990093237;0.562935130047925
2020-09-13;"02";0.374192716815173;0.206184788346282;0.594539058388084
2020-03-08;"03";0.127926657175585;0.0381126320580325;0.255372191374357
2020-03-15;"03";0.127926657175585;0.0381126320580325;0.255372191374357
2020-03-22;"03";0.125328016837704;0.00184225344219443;0.411664900902598
2020-03-29;"03";0.152331163152747;0.0183597437233687;0.376784795743421
2020-04-05;"03";0.129972571702839;0.00100611511200365;0.398661966315922
2020-04-12;"03";0.0962619346009856;0.00172055014427906;0.284142505382938
2020-04-19;"03";0.138420538116395;0.00224743946741265;0.359690982909328
2020-04-26;"03";0.230078849730959;0.0728487660540186;0.436525477767669
2020-05-03;"03";0.390806491252577;0.262786300980006;0.526927452756035
2020-05-10;"03";0.5021583099341;0.363245588910285;0.632570277197814
2020-05-17;"03";0.386551366313857;0.233288568789914;0.546775661138759
2020-05-24;"03";0.538816352670258;0.402672252365344;0.673971110425482
2020-05-31;"03";0.37398670357018;0.284930863310891;0.470482066814062
2020-06-07;"03";0.403633544598887;0.33336060263951;0.474027187828497
2020-06-14;"03";0.234625041701489;0.18194870279166;0.290879504542773
2020-06-21;"03";0.323738543373691;0.268407324894173;0.381064734218783
2020-06-28;"03";0.468888754174537;0.408272204527159;0.529380681502711
2020-07-05;"03";0.503799244309569;0.446766286111508;0.559928436882203
2020-07-12;"03";0.566651904736127;0.514260632716199;0.618020270899917
2020-07-19;"03";0.465389597337635;0.41684117142918;0.513715018886459
2020-07-26;"03";0.432588707801407;0.394615889097786;0.470671746266086
2020-08-02;"03";0.382172788561026;0.349110974671308;0.415900571783163
2020-08-09;"03";0.416673228427219;0.383653583914336;0.45006666094165
2020-08-16;"03";0.562175403009736;0.523410901613058;0.600479604195026
