"fecha";"region";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-03-08";15;2.74039611581756;0;3.99;-0.459639472853825;5.94043170448894
"2020-03-09";15;2.51810660682878;0;3.99;-0.919608286684567;5.95582150034214
"2020-03-10";15;2.08412595809861;0;3.99;-0.366416860612356;4.53466877680958
"2020-03-11";15;1.90032746456426;0;3.99;-0.251163218991791;4.05181814812032
"2020-03-12";15;1.82532843926436;0;3.99;-0.322728697489783;3.97338557601851
"2020-03-13";15;1.74468696276794;0;3.99;-0.812886588145217;4.3022605136811
"2020-03-14";15;1.69638339446823;0;3.99;-0.271449199118726;3.66421598805519
"2020-03-15";15;1.69166393694021;0;3.99;-0.168340721483582;3.55166859536401
"2020-03-16";15;1.70626438047771;0;3.99;-0.0436570302888297;3.45618579124424
"2020-03-17";15;1.74190270350222;0;3.99;0.0625370714693421;3.42126833553509
"2020-03-18";15;1.73869940132519;0;3.99;0.1250865517069;3.35231225094348
"2020-03-19";15;1.81656333461297;0;3.99;-0.357808792464439;3.99093546169038
"2020-03-20";15;1.77700442251802;0;3.99;0.0498947999318051;3.50411404510423
"2020-03-21";15;1.73922635544825;0;3.96314361377309;0.28584889069232;3.19260382020418
"2020-03-22";15;1.73141494318382;0;3.49550705459883;0.578431779649242;2.88439810671841
"2020-03-23";15;1.82368663804513;0.0867695799802082;3.56060369611006;0.688570859865098;2.95880241622517
"2020-03-24";15;1.90263909351031;0.215966262192482;3.58931192482814;0.800367527895303;3.00491065912532
"2020-03-25";15;1.92921708774658;0.350456849362243;3.50797732613091;0.897403734221569;2.96103044127158
"2020-03-26";15;1.97706309649374;0.464267322577491;3.48985887041;0.988343720169848;2.96578247281764
"2020-03-27";15;1.93914429687778;0.534262511376461;3.3440260823791;1.02090229144835;2.85738630230721
"2020-03-28";15;1.89905428774736;0.65713330662154;3.14097526887319;1.08722953390837;2.71087904158636
"2020-03-29";15;1.86281809975411;0.723004065894314;3.00263213361391;1.1177320932536;2.60790410625462
"2020-03-30";15;1.94266157178558;0.775544668181919;3.10977847538925;1.17982089479514;2.70550224877602
"2020-03-31";15;1.93102797137598;0.83967866831305;3.02237727443892;1.21764952123505;2.64440642151692
"2020-04-01";15;1.92934324974629;0.893631148516524;2.96505535097606;1.252312591181;2.60637390831159
"2020-04-02";15;1.87588264675128;0.884671265065309;2.86709402843724;1.22796274340389;2.52380255009866
"2020-04-03";15;1.79907015221288;0.8972162242664;2.70092408015935;1.20954179610948;2.38859850831628
"2020-04-04";15;1.7630732832554;0.923063340496718;2.60308322601409;1.21398211123376;2.31216445527704
"2020-04-05";15;1.67293854956549;0.921055861630327;2.42482123750065;1.1814397719799;2.16443732715108
"2020-04-06";15;1.57696026282189;0.896137260309529;2.25778326533426;1.13193489067463;2.02198563496916
"2020-04-07";15;1.47433301944723;0.879875078112335;2.06879096078213;1.0857614444002;1.86290459449427
"2020-04-08";15;1.38173169916717;0.851853848929637;1.9116095494047;1.0353936777824;1.72806972055194
"2020-04-09";15;1.26400794846539;0.806236165020824;1.72177973190996;0.964802070690821;1.56321382623996
"2020-04-10";15;1.18696853825889;0.777335085573584;1.5966019909442;0.919238336735653;1.45469873978213
"2020-04-11";15;1.07793475574917;0.710502748137339;1.445366763361;0.837793483311539;1.3180760281868
"2020-04-12";15;1.01100060326579;0.674406598662565;1.34759460786901;0.791008191655805;1.23099301487577
"2020-04-13";15;0.961833776575809;0.62349255417273;1.30017499897889;0.740724647702359;1.18294290544926
"2020-04-14";15;0.920991568707141;0.574782606865928;1.26720053054835;0.69476430605325;1.14721883136103
"2020-04-15";15;0.892523331019891;0.546222719612629;1.23882394242715;0.666235968596207;1.11881069344358
"2020-04-16";15;0.911362673795179;0.552727258461267;1.26999808912909;0.677017052266277;1.14570829532408
"2020-04-17";15;0.95105599565585;0.579752364808652;1.32235962650305;0.708434211012754;1.19367778029895
"2020-04-18";15;1.00382634261479;0.623412042028602;1.38424064320098;0.75525276178577;1.25239992344381
"2020-04-19";15;1.05257535603102;0.687940666461433;1.41721004560061;0.814276157411848;1.29087455465019
"2020-04-20";15;1.12349287324575;0.735563005069781;1.51142274142172;0.869995768898082;1.37698997759342
"2020-04-21";15;1.14954234795127;0.756167315710441;1.5429173801921;0.892490153679231;1.40659454222331
"2020-04-22";15;1.15737595079339;0.774714048308028;1.54003785327876;0.907301344363867;1.40745055722292
"2020-04-23";15;1.12024264069714;0.754179334953687;1.4863059464406;0.881001653551998;1.35948362784229
"2020-04-24";15;1.0619354237773;0.703564247588402;1.42030659996621;0.827737545624022;1.29613330193059
"2020-04-25";15;1.01555987215561;0.664439237594907;1.36668050671632;0.786113205374728;1.2450065389365
"2020-04-26";15;0.975991414079639;0.637987145824625;1.31399568233465;0.75510971621085;1.19687311194843
"2020-04-27";15;0.913279580642038;0.580465917661173;1.2460932436229;0.695800542976489;1.13075861830759
"2020-04-28";15;0.910367273352863;0.560666897340461;1.26006764936526;0.681876144624737;1.13885840208099
"2020-04-29";15;0.900021533777199;0.548121896893349;1.25192117066105;0.670090255735772;1.12995281181863
"2020-04-30";15;0.921767956474174;0.568188479589543;1.2753474333588;0.690723024895398;1.15281288805295
"2020-05-01";15;0.928625404569757;0.586762948440898;1.27048786069862;0.705210237939397;1.15204057120012
"2020-05-02";15;0.93032961246513;0.590319417499896;1.27033980743037;0.708119090395925;1.15254013453434
"2020-05-03";15;0.935596660665323;0.596776958731907;1.27441636259874;0.714157134481773;1.15703618684887
