"fecha";"region";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";15;3.37458224709868;0;3.99
"2020-03-09";15;2.94537066856069;0;3.99
"2020-03-10";15;2.75940049717542;0;3.99
"2020-03-11";15;2.43773066078289;0;3.99
"2020-03-12";15;2.35412942758903;0;3.99
"2020-03-13";15;2.18342574826864;0;3.99
"2020-03-14";15;2.11987938941476;0;3.99
"2020-03-15";15;2.18161240712032;0;3.99
"2020-03-16";15;2.07136733432378;0;3.99
"2020-03-17";15;2.05569361183231;0;3.99
"2020-03-18";15;2.07005461592357;0;3.99
"2020-03-19";15;2.06855952810305;0;3.99
"2020-03-20";15;2.12245559726217;0;3.99
"2020-03-21";15;2.18302947239633;0;3.99
"2020-03-22";15;2.18670855757201;0;3.99
"2020-03-23";15;2.17799123076801;0;3.99
"2020-03-24";15;2.26431020826263;0.0267910204671651;3.99
"2020-03-25";15;2.25770580536319;0.206402988961305;3.99
"2020-03-26";15;2.33594766347713;0.388565185360384;3.99
"2020-03-27";15;2.23918167446558;0.4679809631122;3.99
"2020-03-28";15;2.16166905910626;0.62837617642699;3.69496194178552
"2020-03-29";15;2.09864202408016;0.662297278569962;3.53498676959036
"2020-03-30";15;2.12875621031116;0.811781918058675;3.44573050256365
"2020-03-31";15;2.02457642950406;0.853010562190704;3.19614229681741
"2020-04-01";15;2.0403916584502;0.903530347023253;3.17725296987716
"2020-04-02";15;1.98451122871659;0.891775724255268;3.07724673317792
"2020-04-03";15;1.92336622701713;0.909570964542505;2.93716148949176
"2020-04-04";15;1.88882976035925;0.978473549301068;2.79918597141743
"2020-04-05";15;1.78737866180338;0.970067108777067;2.6046902148297
"2020-04-06";15;1.64641479684181;0.943156098971883;2.34967349471174
"2020-04-07";15;1.54653675476063;0.938859308245096;2.15421420127617
"2020-04-08";15;1.42026151541576;0.881118773564168;1.95940425726734
"2020-04-09";15;1.27072218163466;0.796024342959788;1.74542002030952
"2020-04-10";15;1.15698800469122;0.736038918678957;1.57793709070349
"2020-04-11";15;1.02284221338233;0.641788543960162;1.40389588280451
"2020-04-12";15;0.947211919849346;0.598117622536291;1.2963062171624
"2020-04-13";15;0.896790220373671;0.562915479590635;1.23066496115671
"2020-04-14";15;0.844493411832557;0.50754462959115;1.18144219407396
"2020-04-15";15;0.814754998508889;0.457956772848711;1.17155322416907
"2020-04-16";15;0.838561887084706;0.478002694404066;1.19912107976535
"2020-04-17";15;0.903157849524537;0.522762933968204;1.28355276508087
"2020-04-18";15;0.968429864047256;0.575415173610065;1.36144455448445
"2020-04-19";15;1.03271526812893;0.626850146659306;1.43858038959856
"2020-04-20";15;1.11718245997004;0.704025145933455;1.53033977400663
"2020-04-21";15;1.16011134741002;0.748080981961247;1.57214171285878
"2020-04-22";15;1.17214929842858;0.75675176077229;1.58754683608488
"2020-04-23";15;1.14730399275352;0.75615890584798;1.53844907965907
"2020-04-24";15;1.07624291319575;0.703310693985655;1.44917513240585
"2020-04-25";15;1.03104803669065;0.677309870061133;1.38478620332016
"2020-04-26";15;0.988694958629996;0.631612497800743;1.34577741945925
"2020-04-27";15;0.916733982546794;0.553519417739012;1.27994854735458
"2020-04-28";15;0.909962039411411;0.565140846795726;1.2547832320271
"2020-04-29";15;0.907226393466226;0.565099456787736;1.24935333014472
"2020-04-30";15;0.916271157546757;0.560679358536509;1.271862956557
"2020-05-01";15;0.924391742857463;0.566166227689527;1.2826172580254
"2020-05-02";15;0.926680940653533;0.561262153877906;1.29209972742916
"2020-05-03";15;0.924430450857188;0.55699642195745;1.29186447975693
"2020-05-04";15;0.932158268424332;0.563957952288844;1.30035858455982
"2020-05-05";15;0.912420698283013;0.530565006253907;1.29427639031212
"2020-05-06";15;0.907049185132163;0.518612760817925;1.2954856094464
"2020-05-07";15;0.914563717640403;0.526094746761216;1.30303268851959
"2020-05-08";15;0.946506918575529;0.548887229315717;1.34412660783534
"2020-05-09";15;1.00391251233607;0.57779005773784;1.4300349669343
"2020-05-10";15;1.06668066125824;0.621899095416927;1.51146222709956
"2020-05-11";15;1.17833023412576;0.702473107564877;1.65418736068665
"2020-05-12";15;1.24149262102618;0.752720943372303;1.73026429868005
"2020-05-13";15;1.31059891028881;0.827764439682655;1.79343338089497
"2020-05-14";15;1.36011259411558;0.877219510782968;1.84300567744818
"2020-05-15";15;1.36476524702109;0.912263364658554;1.81726712938362
"2020-05-16";15;1.40257791266837;0.946580880867617;1.85857494446911
"2020-05-17";15;1.41635941610476;0.963201956448048;1.86951687576147
"2020-05-18";15;1.41474332417218;0.945066111931328;1.88442053641303
"2020-05-19";15;1.45049529708904;0.979103655450863;1.92188693872721
"2020-05-20";15;1.3992586140578;0.940108525226396;1.85840870288921
"2020-05-21";15;1.38821950313491;0.957419987490027;1.81901901877978
"2020-05-22";15;1.38773190095312;0.989789626664426;1.78567417524181
"2020-05-23";15;1.36478901133124;0.981488477606472;1.74808954505601
"2020-05-24";15;1.31905404726166;0.966755391985985;1.67135270253735
"2020-05-25";15;1.26847167956418;0.939527293908482;1.59741606521988
"2020-05-26";15;1.19858519873145;0.88382852168499;1.51334187577791
"2020-05-27";15;1.21473284290274;0.91224308981341;1.51722259599207
"2020-05-28";15;1.20912872133283;0.906505496641643;1.51175194602402
"2020-05-29";15;1.25134176265504;0.934347480265316;1.56833604504476
"2020-05-30";15;1.28288771418488;0.967417887552705;1.59835754081706
"2020-05-31";15;1.29678214551029;0.982131349279699;1.61143294174088
"2020-06-01";15;1.39156698488985;1.07875898825825;1.70437498152145
