fecha_primeros_sintomas;prop2d
2020-03-10;0.0822725456592733
2020-03-11;0.110843974230702
2020-03-12;0.133204222677907
2020-03-13;0.167836257309942
2020-03-14;0.177902072253805
2020-03-15;0.204782168901344
2020-03-16;0.216440625387386
2020-03-17;0.239293031994455
2020-03-18;0.24448783718926
2020-03-19;0.251045214238441
2020-03-20;0.243685906879133
2020-03-21;0.241599041090689
2020-03-22;0.237257252695745
2020-03-23;0.237039736222071
2020-03-24;0.261290381362017
2020-03-25;0.273346250021659
2020-03-26;0.281201009508509
2020-03-27;0.298176069846401
2020-03-28;0.311335704329565
2020-03-29;0.328805774795027
2020-03-30;0.343244751966924
2020-03-31;0.339962188941713
2020-04-01;0.33825036220506
2020-04-02;0.345875381338473
2020-04-03;0.345332747022048
2020-04-04;0.34006717925648
2020-04-05;0.34091241928149
2020-04-06;0.349185507561706
2020-04-07;0.366604566306699
2020-04-08;0.378085757973649
2020-04-09;0.375873675190504
2020-04-10;0.368022863633004
2020-04-11;0.377857232163025
2020-04-12;0.38330231471866
2020-04-13;0.387007930963733
2020-04-14;0.390630538885406
2020-04-15;0.399542435201572
2020-04-16;0.418320138849085
2020-04-17;0.437213444674409
2020-04-18;0.442288554312653
2020-04-19;0.442131023022191
2020-04-20;0.425588781267761
2020-04-21;0.415177822363651
2020-04-22;0.408425218569732
2020-04-23;0.393396586522613
2020-04-24;0.379289333049264
2020-04-25;0.35967839742919
2020-04-26;0.351770180908141
2020-04-27;0.356470334825011
2020-04-28;0.358645078190274
2020-04-29;0.36020860402614
2020-04-30;0.36147603114908
2020-05-01;0.358136008970277
2020-05-02;0.370251090705204
2020-05-03;0.383879268213002
2020-05-04;0.397169418608709
2020-05-05;0.398739900273204
2020-05-06;0.405571526130697
2020-05-07;0.416047018409557
2020-05-08;0.428516231753147
2020-05-09;0.436378447846388
2020-05-10;0.43299577566196
2020-05-11;0.428225633283743
2020-05-12;0.422621454708811
2020-05-13;0.416066719947287
2020-05-14;0.404824389859214
2020-05-15;0.392838626743885
2020-05-16;0.387289648226439
2020-05-17;0.388138036680868
2020-05-18;0.386568862891416
2020-05-19;0.377913324370366
2020-05-20;0.366401151889115
2020-05-21;0.360171371769827
2020-05-22;0.361850848763507
2020-05-23;0.35772268656145
2020-05-24;0.352992579941831
2020-05-25;0.345530895242221
2020-05-26;0.347996962459054
2020-05-27;0.355491526640522
2020-05-28;0.355573620620329
2020-05-29;0.355666992849737
2020-05-30;0.357251523234514
2020-05-31;0.363050675527126
2020-06-01;0.362057995622347
2020-06-02;0.364387904187049
2020-06-03;0.366367783220113
2020-06-04;0.371409782580444
2020-06-05;0.36985756776788
2020-06-06;0.366386544604682
2020-06-07;0.358927736180456
2020-06-08;0.366965287153177
2020-06-09;0.374114046088533
2020-06-10;0.374787074976277
2020-06-11;0.379449278475018
2020-06-12;0.380676695580351
2020-06-13;0.388633389839015
2020-06-14;0.397080671958052
2020-06-15;0.399753570952137
2020-06-16;0.40362836858491
2020-06-17;0.413708787589045
2020-06-18;0.418248860534043
2020-06-19;0.424784723966124
2020-06-20;0.421607331320536
2020-06-21;0.423177622486688
2020-06-22;0.431502158168085
2020-06-23;0.431180472075187
2020-06-24;0.432900530817668
2020-06-25;0.437333533625756
2020-06-26;0.445689086450848
2020-06-27;0.437846007543939
2020-06-28;0.433493575766572
2020-06-29;0.428707951472049
2020-06-30;0.43455570182594
2020-07-01;0.435383386070248
2020-07-02;0.430016766506557
2020-07-03;0.425270274294345
2020-07-04;0.439859939947841
2020-07-05;0.449382437896228
2020-07-06;0.454520218383318
2020-07-07;0.455157586657653
2020-07-08;0.463900533748525
2020-07-09;0.475084960326052
2020-07-10;0.474557489591936
2020-07-11;0.483255939926426
2020-07-12;0.486754820956382
2020-07-13;0.490846523716203
2020-07-14;0.484586028220816
2020-07-15;0.471273441365936
2020-07-16;0.466990147656692
2020-07-17;0.473774681897402
2020-07-18;0.471315651151787
2020-07-19;0.472754320804434
2020-07-20;0.466292407806284
2020-07-21;0.473697731101552
2020-07-22;0.48217165480144
2020-07-23;0.484816559781081
2020-07-24;0.489129863785866
2020-07-25;0.492392201484566
2020-07-26;0.491500219834261
2020-07-27;0.495599324733921
2020-07-28;0.497819754455344
2020-07-29;0.498236079861337
2020-07-30;0.497330854168626
2020-07-31;0.496385032442405
2020-08-01;0.487758063966544
2020-08-02;0.491156579431848
2020-08-03;0.499114509470162
2020-08-04;0.501564083216406
2020-08-05;0.507192028871946
2020-08-06;0.519512651239775
2020-08-07;0.520941771331832
2020-08-08;0.53024154611114
2020-08-09;0.532913161479662
2020-08-10;0.527844604773152
2020-08-11;0.528291937462096
2020-08-12;0.529470726024458
2020-08-13;0.5201972114185
2020-08-14;0.513735001810595
2020-08-15;0.511139803298938
2020-08-16;0.510869010547965
2020-08-17;0.51587652461509
2020-08-18;0.51546447726603
2020-08-19;0.5179427854242
2020-08-20;0.510965636549467
2020-08-21;0.514355782772807
2020-08-22;0.515894029054044
2020-08-23;0.511851085615749
2020-08-24;0.508789574754923
2020-08-25;0.508121832963115
2020-08-26;0.504076289366742
2020-08-27;0.511686380705469
2020-08-28;0.507685551087015
2020-08-29;0.503861791444315
2020-08-30;0.49735882006446
2020-08-31;0.496924342704814
2020-09-01;0.488456562818071
2020-09-02;0.484001095835764
2020-09-03;0.480387713453057
2020-09-04;0.480667174474334
2020-09-05;0.4763056301056
2020-09-06;0.476899384069843
2020-09-07;0.466879263253976
2020-09-08;0.471391019412751
2020-09-09;0.470226696394307
2020-09-10;0.463816405126188
