fecha,positividad_bac,positividad_no_bac,codigo_provincia,provincia
2020-12-09,0.007352941176470588,0.03365384615384615,72,Cauquenes
2020-12-10,0.0049382716049382715,0.043478260869565216,72,Cauquenes
2020-12-11,0.0024813895781637717,0.07051282051282051,72,Cauquenes
2020-12-12,0.00625,0.07051282051282051,72,Cauquenes
2020-12-13,0.0058997050147492625,0.0755813953488372,72,Cauquenes
2020-12-14,0.005934718100890208,0.0759493670886076,72,Cauquenes
2020-12-15,0.010452961672473868,0.07407407407407407,72,Cauquenes
2020-12-16,0.009009009009009009,0.09285714285714286,72,Cauquenes
2020-12-17,0.014760147601476014,0.07272727272727272,72,Cauquenes
2020-12-18,0.020710059171597635,0.06770833333333333,72,Cauquenes
2020-12-19,0.016826923076923076,0.09743589743589744,72,Cauquenes
2020-12-20,0.022,0.0935672514619883,72,Cauquenes
2020-12-21,0.02208835341365462,0.09047619047619047,72,Cauquenes
2020-12-22,0.02033271719038817,0.1085972850678733,72,Cauquenes
2020-12-23,0.02054794520547945,0.11353711790393013,72,Cauquenes
2020-12-24,0.02046783625730994,0.13551401869158877,72,Cauquenes
2020-12-25,0.017830609212481426,0.16574585635359115,72,Cauquenes
2020-12-26,0.01926444833625219,0.16184971098265896,72,Cauquenes
2020-12-27,0.027253668763102725,0.17098445595854922,72,Cauquenes
2020-12-28,0.029166666666666667,0.17045454545454544,72,Cauquenes
2020-12-29,0.03002309468822171,0.15384615384615385,72,Cauquenes
2020-12-30,0.03598971722365039,0.14124293785310735,72,Cauquenes
2020-12-31,0.038869257950530034,0.1518987341772152,72,Cauquenes
2021-01-01,0.03865979381443299,0.1111111111111111,72,Cauquenes
2021-01-02,0.04081632653061224,0.07777777777777778,72,Cauquenes
2020-07-01,0.0,0.2580185317177477,73,Curicó
2020-07-02,0.0,0.2408921933085502,73,Curicó
2020-07-03,0.0,0.22528735632183908,73,Curicó
2020-07-04,0.0,0.20783132530120482,73,Curicó
2020-07-05,0.0,0.22409823484267075,73,Curicó
2020-07-06,0.0,0.21008403361344538,73,Curicó
2020-07-07,0.0,0.20751633986928106,73,Curicó
2020-07-08,0.0,0.1960931630353118,73,Curicó
2020-07-09,0.0,0.19880418535127056,73,Curicó
2020-07-10,0.0,0.19284149013878743,73,Curicó
2020-07-11,0.0,0.18001368925393565,73,Curicó
2020-07-12,0.0,0.16189856957087126,73,Curicó
2020-07-13,0.0,0.16534914361001318,73,Curicó
2020-07-14,0.0,0.1568877551020408,73,Curicó
2020-07-15,0.0,0.15895765472312703,73,Curicó
2020-07-16,0.0,0.15441176470588236,73,Curicó
2020-07-17,0.0,0.17375886524822695,73,Curicó
2020-07-18,0.0,0.18892508143322476,73,Curicó
2020-07-19,0.006600660066006601,0.1978827361563518,73,Curicó
2020-07-20,0.005970149253731343,0.1780185758513932,73,Curicó
2020-07-21,0.007334963325183374,0.18811074918566775,73,Curicó
2020-07-22,0.012170385395537525,0.17790414297319251,73,Curicó
2020-07-23,0.010294117647058823,0.19391634980988592,73,Curicó
2020-07-24,0.010174418604651164,0.1860662701784197,73,Curicó
2020-07-25,0.011042944785276074,0.18250377073906485,73,Curicó
2020-07-26,0.009589041095890411,0.17789291882556132,73,Curicó
2020-07-27,0.00782122905027933,0.19165998396150763,73,Curicó
