fecha,positividad_sintomatico,positividad_asintomatico,codigo_provincia,provincia
2020-12-08,0.06666666666666667,0.013793103448275862,136,Talagante
2020-12-09,0.09121621621621621,0.010649087221095335,136,Talagante
2020-12-10,0.08940397350993377,0.008629441624365483,136,Talagante
2020-12-11,0.09477124183006536,0.01020408163265306,136,Talagante
2020-12-12,0.09562398703403566,0.011831726555652936,136,Talagante
2020-12-13,0.09276729559748427,0.010738831615120275,136,Talagante
2020-12-14,0.10625,0.0106928999144568,136,Talagante
2020-12-15,0.10323574730354391,0.013215859030837005,136,Talagante
2020-12-16,0.0898716119828816,0.012564671101256468,136,Talagante
2020-12-17,0.10623229461756374,0.012764405543398978,136,Talagante
2020-12-18,0.11079136690647481,0.014179104477611941,136,Talagante
2020-12-19,0.11210762331838565,0.01565636290646327,136,Talagante
2020-12-20,0.11532625189681335,0.015459723352318959,136,Talagante
2020-12-21,0.09922480620155039,0.016333197223356473,136,Talagante
2020-12-22,0.1171875,0.015744852644327817,136,Talagante
2020-12-23,0.11256117455138662,0.016908212560386472,136,Talagante
2020-12-24,0.10048622366288493,0.01879852881078872,136,Talagante
2020-12-25,0.09764918625678119,0.018673218673218674,136,Talagante
2020-12-26,0.08919382504288165,0.016968987712112346,136,Talagante
2020-12-27,0.08557046979865772,0.017438364401683705,136,Talagante
2020-12-28,0.10188087774294671,0.019123997532387416,136,Talagante
2020-12-29,0.09785932721712538,0.016556291390728478,136,Talagante
2020-12-30,0.10144927536231885,0.015428571428571429,136,Talagante
2020-12-31,0.11901504787961696,0.03244997295835587,136,Talagante
2021-01-01,0.12048192771084337,0.03177966101694915,136,Talagante
2021-01-02,0.1330532212885154,0.031813361611876985,136,Talagante
2021-01-03,0.1459170013386881,0.03194229778464709,136,Talagante
2021-01-04,0.14490861618798956,0.031714568880079286,136,Talagante
2021-01-05,0.14125,0.04143475572047001,136,Talagante
2021-01-06,0.1468354430379747,0.04484605087014726,136,Talagante
2021-01-07,0.1412639405204461,0.02498265093684941,136,Talagante
2021-01-08,0.13646055437100213,0.025571273122959738,136,Talagante
2021-01-09,0.126232741617357,0.022071307300509338,136,Talagante
2020-03-06,0.0,,61,Cachapoal
2020-03-09,0.0,,61,Cachapoal
2020-03-18,0.5,,61,Cachapoal
2020-03-19,0.5,,61,Cachapoal
2020-03-20,0.42857142857142855,,61,Cachapoal
2020-03-21,0.6,,61,Cachapoal
2020-03-22,0.2413793103448276,,61,Cachapoal
2020-03-23,0.22580645161290322,,61,Cachapoal
2020-03-24,0.14285714285714285,0.3333333333333333,61,Cachapoal
2020-03-25,0.09090909090909091,0.3333333333333333,61,Cachapoal
2020-03-26,0.03680981595092025,0.16666666666666666,61,Cachapoal
2020-03-27,0.04294478527607362,0.16666666666666666,61,Cachapoal
2020-03-28,0.037037037037037035,0.16666666666666666,61,Cachapoal
2020-03-30,0.037267080745341616,0.16666666666666666,61,Cachapoal
2020-03-31,0.055248618784530384,0.2,61,Cachapoal
2020-04-01,0.05747126436781609,0.15384615384615385,61,Cachapoal
2020-04-02,0.0851063829787234,0.18181818181818182,61,Cachapoal
2020-04-03,0.0871559633027523,0.13333333333333333,61,Cachapoal
2020-04-04,0.07380073800738007,0.125,61,Cachapoal
2020-04-05,0.06825938566552901,0.1,61,Cachapoal
2020-04-06,0.07420494699646643,0.07407407407407407,61,Cachapoal
2020-04-07,0.06666666666666667,0.03614457831325301,61,Cachapoal
2020-04-08,0.06403940886699508,0.019801980198019802,61,Cachapoal
2020-04-09,0.061452513966480445,0.009615384615384616,61,Cachapoal
2020-04-10,0.04487179487179487,0.009009009009009009,61,Cachapoal
2020-04-11,0.042735042735042736,0.007936507936507936,61,Cachapoal
2020-04-12,0.052083333333333336,0.00847457627118644,61,Cachapoal
2020-04-13,0.03125,0.01694915254237288,61,Cachapoal
2020-04-14,0.030927835051546393,0.020618556701030927,61,Cachapoal
2020-04-15,0.042735042735042736,0.0273972602739726,61,Cachapoal
2020-04-16,0.03773584905660377,0.017241379310344827,61,Cachapoal
2020-04-17,0.031496062992125984,0.022727272727272728,61,Cachapoal
2020-04-18,0.022556390977443608,0.037037037037037035,61,Cachapoal
2020-04-19,0.024539877300613498,0.03571428571428571,61,Cachapoal
2020-04-20,0.023255813953488372,0.0,61,Cachapoal
2020-04-21,0.04891304347826087,0.18181818181818182,61,Cachapoal
2020-04-22,0.08433734939759036,0.25,61,Cachapoal
2020-04-23,0.0861244019138756,0.2,61,Cachapoal
2020-04-24,0.08849557522123894,0.24,61,Cachapoal
2020-04-25,0.09027777777777778,0.21428571428571427,61,Cachapoal
2020-04-26,0.09352517985611511,0.21428571428571427,61,Cachapoal
2020-04-27,0.08132530120481928,0.21428571428571427,61,Cachapoal
2020-04-28,0.08048780487804878,0.12121212121212122,61,Cachapoal
2020-04-29,0.05856832971800434,0.1111111111111111,61,Cachapoal
2020-04-30,0.05845511482254697,0.11764705882352941,61,Cachapoal
2020-05-01,0.05656934306569343,0.05,61,Cachapoal
2020-05-02,0.05811623246492986,0.05,61,Cachapoal
2020-05-03,0.05740740740740741,0.047619047619047616,61,Cachapoal
2020-05-04,0.05263157894736842,0.04081632653061224,61,Cachapoal
2020-05-05,0.04924242424242424,0.07142857142857142,61,Cachapoal
2020-05-06,0.06490872210953347,0.07692307692307693,61,Cachapoal
2020-05-07,0.09408194233687406,0.08163265306122448,61,Cachapoal
2020-05-08,0.10412926391382406,0.15217391304347827,61,Cachapoal
2020-05-09,0.10434782608695652,0.11607142857142858,61,Cachapoal
2020-05-10,0.11297071129707113,0.09811320754716982,61,Cachapoal
2020-05-11,0.13859910581222057,0.10033444816053512,61,Cachapoal
2020-05-12,0.16923076923076924,0.10787172011661808,61,Cachapoal
2020-05-13,0.1693121693121693,0.09647058823529411,61,Cachapoal
2020-05-14,0.16139767054908485,0.08941176470588236,61,Cachapoal
2020-05-15,0.1741654571843251,0.08723404255319149,61,Cachapoal
2020-05-16,0.2057877813504823,0.10891089108910891,61,Cachapoal
2020-05-17,0.20095693779904306,0.09289617486338798,61,Cachapoal
2020-05-18,0.20132013201320131,0.09712230215827339,61,Cachapoal
2020-05-19,0.17616580310880828,0.08823529411764706,61,Cachapoal
2020-05-20,0.2,0.10661764705882353,61,Cachapoal
2020-05-21,0.24006908462867013,0.12570356472795496,61,Cachapoal
2020-05-22,0.23163841807909605,0.11812627291242363,61,Cachapoal
2020-05-23,0.2395104895104895,0.10307017543859649,61,Cachapoal
2020-05-24,0.28623853211009176,0.16370106761565836,61,Cachapoal
2020-05-25,0.30538922155688625,0.19215686274509805,61,Cachapoal
2020-05-26,0.30612244897959184,0.19834710743801653,61,Cachapoal
2020-05-27,0.30297029702970296,0.18357487922705315,61,Cachapoal
2020-05-28,0.25735294117647056,0.15428571428571428,61,Cachapoal
2020-05-29,0.24878836833602586,0.16587677725118483,61,Cachapoal
2020-05-30,0.2441860465116279,0.13405797101449277,61,Cachapoal
2020-05-31,0.24551724137931036,0.10610932475884244,61,Cachapoal
2020-06-01,0.24868421052631579,0.08496732026143791,61,Cachapoal
2020-06-02,0.24758454106280192,0.07795698924731183,61,Cachapoal
2020-06-03,0.2793814432989691,0.08674698795180723,61,Cachapoal
2020-06-04,0.29927007299270075,0.1,61,Cachapoal
2020-06-05,0.3089509143407122,0.0841683366733467,61,Cachapoal
2020-06-06,0.3052064631956912,0.08405172413793104,61,Cachapoal
2020-06-07,0.3,0.10483870967741936,61,Cachapoal
2020-06-08,0.29712858926342073,0.1037037037037037,61,Cachapoal
2020-06-09,0.2944653412144009,0.10881801125703565,61,Cachapoal
2020-06-10,0.28125,0.09963768115942029,61,Cachapoal
2020-06-11,0.30482758620689654,0.10172413793103448,61,Cachapoal
2020-06-12,0.3091764705882353,0.10535714285714286,61,Cachapoal
2020-06-13,0.3344343517753922,0.11484098939929328,61,Cachapoal
2020-06-14,0.35755701584847316,0.09838998211091235,61,Cachapoal
2020-06-15,0.3859721082854799,0.09608540925266904,61,Cachapoal
2020-06-16,0.42761785565289945,0.10714285714285714,61,Cachapoal
2020-06-17,0.45602365114560234,0.11808118081180811,61,Cachapoal
2020-06-18,0.4802893309222423,0.1407942238267148,61,Cachapoal
2020-06-19,0.49293460400920147,0.22928994082840237,61,Cachapoal
2020-06-20,0.5147969717825189,0.2557510148849797,61,Cachapoal
2020-06-21,0.5192857142857142,0.27100271002710025,61,Cachapoal
2020-06-22,0.5316275764036958,0.2796271637816245,61,Cachapoal
2020-06-23,0.5420197740112994,0.2765399737876802,61,Cachapoal
2020-06-24,0.5364714337046352,0.29240506329113924,61,Cachapoal
2020-06-25,0.5274051360674588,0.2830423940149626,61,Cachapoal
2020-06-26,0.5309837335398916,0.23148148148148148,61,Cachapoal
2020-06-27,0.5094689936873376,0.20081411126187246,61,Cachapoal
2020-06-28,0.5153461812990721,0.1925545571245186,61,Cachapoal
2020-06-29,0.5036764705882353,0.18829516539440203,61,Cachapoal
2020-06-30,0.49534522885958104,0.2222222222222222,61,Cachapoal
2020-07-01,0.483726606997559,0.20833333333333334,61,Cachapoal
2020-07-02,0.4886006289308176,0.20754716981132076,61,Cachapoal
2020-07-03,0.47290836653386453,0.1969309462915601,61,Cachapoal
2020-07-04,0.47095695779356456,0.1853932584269663,61,Cachapoal
2020-07-05,0.4421740907233347,0.19378427787934185,61,Cachapoal
2020-07-06,0.4388059701492537,0.19600380589914368,61,Cachapoal
2020-07-07,0.4216417910447761,0.16816326530612244,61,Cachapoal
2020-07-08,0.41156462585034015,0.18309859154929578,61,Cachapoal
2020-07-09,0.380061115355233,0.16234198270126413,61,Cachapoal
2020-07-10,0.36051159072741806,0.14611338398597312,61,Cachapoal
2020-07-11,0.3477917981072555,0.13579576317218903,61,Cachapoal
2020-07-12,0.3362757461118117,0.12167300380228137,61,Cachapoal
2020-07-13,0.3303535148313694,0.11612234318299637,61,Cachapoal
2020-07-14,0.3281378178835111,0.10339425587467363,61,Cachapoal
2020-07-15,0.316131830008673,0.07841087297438579,61,Cachapoal
2020-07-16,0.31334263133426316,0.07675070028011205,61,Cachapoal
2020-07-17,0.31600547195622436,0.08072590738423029,61,Cachapoal
2020-07-18,0.3125,0.08189655172413793,61,Cachapoal
2020-07-19,0.3200199700449326,0.07665505226480836,61,Cachapoal
2020-07-20,0.33554987212276216,0.08098591549295775,61,Cachapoal
2020-07-21,0.33351007423117707,0.08354011579818031,61,Cachapoal
2020-07-22,0.326226012793177,0.07392996108949416,61,Cachapoal
2020-07-23,0.3304123711340206,0.06652806652806653,61,Cachapoal
2020-07-24,0.3232271325796506,0.057997557997558,61,Cachapoal
2020-07-25,0.32155844155844154,0.051192553810354854,61,Cachapoal
2020-07-26,0.307103825136612,0.04355108877721943,61,Cachapoal
2020-07-27,0.27645788336933047,0.043802887008461924,61,Cachapoal
2020-07-28,0.2588483888008452,0.03934740882917467,61,Cachapoal
2020-07-29,0.2539312754804892,0.03346901854364541,61,Cachapoal
2020-07-30,0.2501510574018127,0.033470884915176524,61,Cachapoal
2020-07-31,0.24841168996188057,0.03339115351257589,61,Cachapoal
2020-08-01,0.23765432098765432,0.035855003940110326,61,Cachapoal
2020-08-02,0.23742331288343557,0.033234616650213884,61,Cachapoal
2020-08-03,0.2339598185353208,0.031582339671285854,61,Cachapoal
