"fecha";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";2.38214418415577;2.05991681703087;2.68792613541464
"2020-04-02";2.00998956230012;1.73190785839058;2.25610548912007
"2020-04-03";2.01052917750822;1.75747534086979;2.29747598840804
"2020-04-04";1.9585719417565;1.62912400922793;2.26137316138966
"2020-04-05";1.79810065725132;1.55691835519118;2.05053779079478
"2020-04-06";2.15401543093927;1.89122282459268;2.45152328234055
"2020-04-07";2.02273475959629;1.75734686105833;2.3074974137014
"2020-04-08";2.07422946802677;1.78317130316045;2.34398568015414
"2020-04-09";2.24222966948312;1.99349275450951;2.53901803394025
"2020-04-10";2.31088928072376;2.00929577131827;2.62098815364747
"2020-04-11";1.83602789759234;1.60342804693727;2.08175838497794
"2020-04-12";1.99087176635587;1.71135108855805;2.25122325628485
"2020-04-13";2.81355369505368;2.50124496937298;3.12462901454443
"2020-04-14";2.58378040025059;2.27640529932969;2.94488575832125
"2020-04-15";3.22831222238725;2.83619183783175;3.60308783239654
"2020-04-16";2.96775516475994;2.65657706142003;3.28432942018089
"2020-04-17";3.00519418181743;2.63100957894082;3.29422236566279
"2020-04-18";2.81506975682883;2.5331079626134;3.16677039270111
"2020-04-19";2.84744666931506;2.55417865169174;3.16150272043153
"2020-04-20";4.77852393142056;4.31178247237299;5.21628034500427
"2020-04-21";3.74390170574937;3.39173854255585;4.08103273100285
"2020-04-22";4.19830910289743;3.83178189678343;4.60471644248653
"2020-04-23";4.48487047436288;4.07512265967599;4.93889243207658
"2020-04-24";5.48477745497939;5.08214742184702;5.91700923667061
"2020-04-25";5.50500017730214;5.07135511768494;5.97238403540698
"2020-04-26";5.74913751502571;5.22116257783949;6.25439722154699
"2020-04-27";8.88954385041661;8.28913199553302;9.44223830332645
"2020-04-28";8.6432994437852;8.17131600843033;9.15881183926045
"2020-04-29";8.67850291212341;7.95546992518877;9.22677765951925
"2020-04-30";10.443918305341;9.64035417258745;11.1074651395728
"2020-05-01";14.8163946406445;14.101944105115;15.6602757382321
"2020-05-02";13.5718620990209;12.7855399569644;14.2419870995991
"2020-05-03";14.4545184037052;13.7037851694212;15.2325664459041
"2020-05-04";19.1807253559019;18.2337263616419;20.1214802313253
"2020-05-05";17.7252546598343;16.9683286986383;18.6302150597868
"2020-05-06";17.6967578376539;16.8998489591337;18.5380950349748
"2020-05-07";18.324612980264;17.5757812471895;19.0102583420657
"2020-05-08";20.9402306777927;20.0887178794047;21.8429812249882
"2020-05-09";19.9263964856146;19.148374139378;20.7837936593671
"2020-05-10";22.1018680450666;21.1061495063035;23.1268799808411
"2020-05-11";26.5016591882851;25.4849984402551;27.4853006247716
"2020-05-12";23.9432407028154;23.0337321175374;24.9000298587082
"2020-05-13";21.6115376926362;20.7417807610219;22.4903909949014
"2020-05-14";20.9320850577465;20.1447350771984;22.0527887570914
"2020-05-15";27.0157069139098;25.8234142636231;27.9320249291948
"2020-05-16";23.835086397534;22.8792993841706;24.8131775061658
"2020-05-17";23.7462811518575;22.8118474831576;24.6219995467232
"2020-05-18";30.0068711003165;28.9384072923085;30.907231923019
"2020-05-19";25.3100860249426;24.3389585220916;26.2972478082629
"2020-05-20";29.6075815422819;28.5568222522922;30.5065033910961
"2020-05-21";23.5184350542262;22.6252947969274;24.4473954829582
"2020-05-22";28.4388263934535;27.4381485339683;29.3720266559634
"2020-05-23";25.827474225665;24.8934773883241;26.8964776488811
"2020-05-24";23.3813213994432;22.4727892607323;24.2339905161342
"2020-05-25";31.6338109527498;30.5930987840157;32.644921372925
"2020-05-26";24.5625647859449;23.5732188458299;25.4239705298148
"2020-05-27";25.0837816850487;24.0665813218106;26.0821726038901
"2020-05-28";25.378642852334;24.4498365993758;26.4622158861689
"2020-05-29";26.608888438924;25.5309942127554;27.5418317418111
"2020-05-30";24.7666678144196;23.8245253570325;25.7639281109202
"2020-05-31";22.7934491741575;21.9128742424188;23.667908466871
"2020-06-01";35.8705098233094;34.6826111825744;37.0077103304449
"2020-06-02";23.9481486316129;23.1469228314278;24.9151904764597
"2020-06-03";22.997089675311;22.2112043646134;24.0262386610142
"2020-06-04";22.8814835409653;21.9595124139763;23.8877374242676
"2020-06-05";26.2736332189178;25.1049551579762;27.2198613343091
"2020-06-06";22.9950083023654;22.0757866433416;23.8825982318094
"2020-06-07";20.5343629534117;19.5938136456866;21.4053789871782
"2020-06-08";27.0634757078081;26.1163482337366;28.1275712022267
"2020-06-09";21.0004877093643;20.0676471903264;21.7701331718942
"2020-06-10";22.4873074794265;21.6386983247774;23.5092358997261
"2020-06-11";20.0282038882102;19.0549693164514;21.0712029975882
"2020-06-12";22.9650982022591;21.9799407039974;23.8926196571028
"2020-06-13";21.2186978211366;20.3956561489667;21.9970285189207
"2020-06-14";18.9987722469218;18.3142832034231;19.6950557371118
"2020-06-15";23.8830350631684;22.7972007846519;24.8282096441058
"2020-06-16";20.4795020739211;19.5476893933749;21.3709463977087
"2020-06-17";18.8429262356289;18.0024627010259;19.6987816516439
"2020-06-18";19.4537192592779;18.7156541344032;20.3513306140153
"2020-06-19";19.9559468422489;19.2041343775487;20.8448215698074
"2020-06-20";18.9574017476338;18.0795505878979;19.7550558090605
"2020-06-21";15.8025799773978;15.0575769427047;16.5843025422043
"2020-06-22";19.0566652499626;18.2335978818304;19.8478182329298
"2020-06-23";17.2314296565323;16.3062722302194;18.1417348166413
"2020-06-24";16.0993169499304;15.4374917451721;16.7438744680293
"2020-06-25";15.3766180105055;14.6357777217035;16.1734241051767
