"fecha";"region";"provincia";"carga.estimada";"carga.liminf";"carga.lisup"
"2020-04-01";16;163;2.74287736683773;0;6.21571403291453
"2020-04-02";16;163;3.23394089541674;0;7.10051318350735
"2020-04-03";16;163;2.55264554946027;0;6.19359405414971
"2020-04-04";16;163;2.12351796142276;0;5.30879490355689
"2020-04-05";16;163;1.72093434790303;0;4.42399575296408
"2020-04-06";16;163;2.80038931162626;0;6.21571403291453
"2020-04-07";16;163;2.30490178729428;0;5.30879490355689
"2020-04-08";16;163;2.39338170235357;0;6.19359405414971
"2020-04-09";16;163;2.08812599539904;0;5.33091488232172
"2020-04-10";16;163;1.80499026720934;0;5.30879490355689
"2020-04-11";16;163;1.59263847106707;0;4.42399575296408
"2020-04-12";16;163;1.47761458149;0;3.53919660237126
"2020-04-13";16;163;2.43762165988321;0;6.19359405414971
"2020-04-14";16;163;2.38453371084764;0;6.19359405414971
"2020-04-15";16;163;2.08812599539904;0;5.30879490355689
"2020-04-16";16;163;2.09254999115201;0;5.30879490355689
"2020-04-17";16;163;1.63245443284374;0;4.4461157317289
"2020-04-18";16;163;1.601486462573;0;4.42399575296408
"2020-04-19";16;163;1.58379047956114;0;4.42399575296408
"2020-04-20";16;163;2.02619005485755;0;5.30879490355689
"2020-04-21";16;163;1.98637409308087;0;5.30879490355689
"2020-04-22";16;163;1.59263847106707;0;4.42399575296408
"2020-04-23";16;163;1.54397451778446;0;4.42399575296408
"2020-04-24";16;163;1.27411077685365;0;4.42399575296408
"2020-04-25";16;163;1.31392673863033;0;4.42399575296408
"2020-04-26";16;163;1.15023889577066;0;3.53919660237126
"2020-04-27";16;163;1.46434259423111;0;3.53919660237126
"2020-04-28";16;163;1.36259069191294;0;4.42399575296408
"2020-04-29";16;163;1.18563086179437;0;3.53919660237126
"2020-04-30";16;163;1.03521500619359;0;3.53919660237126
"2020-05-01";16;163;1.05291098920545;0;3.53919660237126
"2020-05-02";16;163;0.871527163333923;0;2.65439745177845
"2020-05-03";16;163;0.902495133604672;0;3.53919660237126
"2020-05-04";16;163;1.47761458149;0;3.56131658113609
"2020-05-05";16;163;1.71651035215006;0;5.30879490355689
"2020-05-06";16;163;1.5395505220315;0;3.56131658113609
"2020-05-07";16;163;1.5395505220315;0;4.4461157317289
"2020-05-08";16;163;1.72093434790303;0;5.30879490355689
"2020-05-09";16;163;1.49973456025482;0;3.53919660237126
"2020-05-10";16;163;1.65899840736153;0;4.4461157317289
"2020-05-11";16;163;2.57918952397806;0;7.96319235533534
"2020-05-12";16;163;2.55706954521324;0;6.19359405414971
"2020-05-13";16;163;2.43319766413024;0;5.30879490355689
"2020-05-14";16;163;3.17642895062821;0.862679171827995;7.07839320474252
"2020-05-15";16;163;2.91098920545036;0;6.19359405414971
"2020-05-16";16;163;3.52150061935941;0;7.96319235533534
"2020-05-17";16;163;2.97734914174482;0;7.07839320474252
"2020-05-18";16;163;4.68058750663599;0.884799150592815;9.73279065652097
"2020-05-19";16;163;3.95062820739692;0.884799150592815;7.96319235533534
"2020-05-20";16;163;4.28685188462219;0.884799150592815;8.84799150592815
"2020-05-21";16;163;3.99929216067953;0.884799150592815;8.84799150592815
"2020-05-22";16;163;3.48168465758273;0;7.10051318350735
"2020-05-23";16;163;3.88426827110246;0.862679171827995;8.87011148469298
"2020-05-24";16;163;4.30012387188108;0.884799150592815;8.87011148469298
"2020-05-25";16;163;7.42346487347372;2.65439745177845;14.2010263670147
"2020-05-26";16;163;7.06512121748363;1.76959830118563;13.2719872588922
"2020-05-27";16;163;6.06087418156079;1.76959830118563;11.5245089364714
"2020-05-28";16;163;5.47248274641656;1.76959830118563;11.5245089364714
"2020-05-29";16;163;5.59193063174659;1.76959830118563;10.6397097858786
"2020-05-30";16;163;6.25552999469121;2.65439745177845;12.3871881082994
"2020-05-31";16;163;5.8131304193948;0.884799150592815;12.3871881082994
"2020-06-01";16;163;10.2503981596178;4.40187577419926;18.602902141214
"2020-06-02";16;163;8.84799150592815;2.65439745177845;17.6959830118563
"2020-06-03";16;163;9.94514245266325;3.53919660237126;16.8333038400283
"2020-06-04";16;163;10.5423818793134;5.28667492479207;19.4655813130419
"2020-06-05";16;163;10.2902141213944;5.28667492479207;16.8111838612635
"2020-06-06";16;163;8.8789594761989;3.53919660237126;15.9263847106707
"2020-06-07";16;163;8.10476021943019;2.63227747301363;15.0637055388427
"2020-06-08";16;163;9.20633516191825;3.53919660237126;16.8333038400283
"2020-06-09";16;163;8.56043178198549;2.65439745177845;15.0415855600779
"2020-06-10";16;163;7.65793664838082;1.76959830118563;14.1789063882499
"2020-06-11";16;163;7.52079278003893;2.65439745177845;14.156786409485
"2020-06-12";16;163;6.68465758272872;2.65439745177845;12.3871881082994
"2020-06-13";16;163;5.35303486108653;1.74747832242081;11.5023889577066
"2020-06-14";16;163;5.30879490355689;0.884799150592815;10.6175898071138
"2020-06-15";16;163;6.91470536188285;2.65439745177845;12.3871881082994
"2020-06-16";16;163;6.93682534064767;2.65439745177845;13.2719872588922
"2020-06-17";16;163;6.3794018757742;1.76959830118563;13.2719872588922
"2020-06-18";16;163;5.72022650858255;1.76959830118563;11.5023889577066
"2020-06-19";16;163;5.71580251282959;0.884799150592815;11.5023889577066
"2020-06-20";16;163;5.7511944788533;1.76959830118563;11.5023889577066
"2020-06-21";16;163;4.7911874004601;0.884799150592815;9.73279065652097
"2020-06-22";16;163;7.64908865687489;2.63227747301363;15.0415855600779
"2020-06-23";16;163;6.66696159971686;2.63227747301363;12.3871881082994
