fecha_primeros_sintomas;region;provincia;prop3d
2020-08-15;15;151;0.462663285817228
2020-08-16;15;151;0.481061554215497
2020-08-17;15;151;0.490256536556259
2020-08-18;15;151;0.517769764069486
2020-08-19;15;151;0.523067098314189
2020-08-20;15;151;0.510512985760077
2020-08-21;15;151;0.508945041509205
2020-08-22;15;151;0.53404554155823
2020-08-23;15;151;0.52826322863306
2020-08-24;15;151;0.545752604246005
2020-08-25;15;151;0.53069358918699
2020-08-26;15;151;0.525860076834681
2020-08-27;15;151;0.532880083854688
2020-08-28;15;151;0.517781361438892
2020-08-29;15;151;0.513014159786262
2020-08-30;15;151;0.498955202870163
2020-08-31;15;151;0.465228027789604
2020-09-01;15;151;0.446051126259761
2020-09-02;15;151;0.422860031640095
2020-09-03;15;151;0.395060803840868
2020-09-04;15;151;0.396421348058555
2020-09-05;15;151;0.353429856791201
2020-09-06;15;151;0.333893837255182
2020-09-07;15;151;0.336862297366499
2020-09-08;15;151;0.331554911254159
2020-09-09;15;151;0.339439883424846
2020-09-10;15;151;0.318011311996274
2020-09-11;15;151;0.312987764115584
2020-09-12;15;151;0.320627183519709
2020-09-13;15;151;0.290496024356292
2020-09-14;15;151;0.28874102260129
2020-09-15;15;151;0.266485383503546
2020-09-16;15;151;0.227631380363828
2020-09-17;15;151;0.197208099940548
2020-09-18;15;151;0.177061579794028
2020-09-19;15;151;0.168078676287798
2020-09-20;15;151;0.197110934352314
2020-09-21;15;151;0.18093148960144
2020-09-22;15;151;0.203187128699185
2020-09-23;15;151;0.238739811310691
2020-09-24;15;151;0.292972615543495
2020-09-25;15;151;0.312894870159627
2020-09-26;15;151;0.341174381197759
2020-09-27;15;151;0.37220886395638
2020-09-28;15;151;0.424504782323727
2020-09-29;15;151;0.455284857511697
2020-09-30;15;151;0.445169700337716
2020-10-01;15;151;0.475441809181253
2020-10-02;15;151;0.475360824406391
2020-10-03;15;151;0.512246689863685
2020-10-04;15;151;0.529783635676493
2020-10-05;15;151;0.532759826152683
2020-10-06;15;151;0.520906377876821
2020-10-07;15;151;0.526197383167826
2020-10-08;15;151;0.539576067975083
2020-10-09;15;151;0.585872364271379
2020-10-10;15;151;0.576662526490113
2020-10-11;15;151;0.584612837049119
2020-10-12;15;151;0.602469979906262
2020-10-13;15;151;0.642826175434871
2020-10-14;15;151;0.687482260090956
2020-10-15;15;151;0.655736228344924
2020-10-16;15;151;0.634913562360968
2020-10-17;15;151;0.631547558994964
2020-10-18;15;151;0.598835343674053
2020-10-19;15;151;0.581639576478286
2020-10-20;15;151;0.577243972082682
2020-10-21;15;151;0.571161022773926
2020-10-22;15;151;0.564018165631069
2020-10-23;15;151;0.573465170239364
2020-10-24;15;151;0.567673664447858
2020-10-25;15;151;0.588919085693279
2020-10-26;15;151;0.625956122730316
2020-10-27;15;151;0.624857221631415
2020-10-28;15;151;0.604273504273504
2020-10-29;15;151;0.611416361416361
2020-10-30;15;151;0.604273504273504
2020-10-31;15;151;0.58998778998779
2020-11-01;15;151;0.619722760899231
2020-11-02;15;151;0.597134238310709
2020-11-03;15;151;0.586145227321698
2020-11-04;15;151;0.614716655893126
2020-11-05;15;151;0.686145227321698
2020-11-06;15;151;0.69804998922646
2020-11-07;15;151;0.705842197018668
2020-06-03;15;152;NA
2020-06-07;15;152;NA
2020-06-10;15;152;NA
2020-06-13;15;152;NA
2020-07-01;15;152;NA
2020-07-03;15;152;NA
2020-07-04;15;152;0.595238095238095
2020-07-05;15;152;0.452380952380952
2020-07-08;15;152;0.595238095238095
2020-07-13;15;152;0.595238095238095
2020-07-15;15;152;0.595238095238095
2020-07-16;15;152;0.595238095238095
2020-07-17;15;152;0.523809523809524
2020-07-18;15;152;0.380952380952381
2020-07-25;15;152;0.380952380952381
2020-07-27;15;152;0.333333333333333
2020-07-28;15;152;0.333333333333333
2020-07-29;15;152;0.30952380952381
2020-07-30;15;152;0.238095238095238
2020-07-31;15;152;0.166666666666667
2020-08-01;15;152;0.166666666666667
2020-08-02;15;152;0.18452380952381
2020-08-03;15;152;0.232142857142857
2020-08-04;15;152;0.267857142857143
2020-08-05;15;152;0.339285714285714
2020-08-06;15;152;0.339285714285714
2020-08-07;15;152;0.410714285714286
2020-08-08;15;152;0.410714285714286
2020-08-09;15;152;0.392857142857143
2020-08-10;15;152;0.392857142857143
2020-08-11;15;152;0.357142857142857
2020-08-13;15;152;0.357142857142857
2020-08-15;15;152;0.5
2020-08-25;15;152;0.571428571428571
