fecha_primeros_sintomas;prop2d
2020-03-10;0.0776520199861161
2020-03-11;0.106223448557545
2020-03-12;0.12858369700475
2020-03-13;0.163215731636784
2020-03-14;0.176456149755251
2020-03-15;0.202124598953112
2020-03-16;0.214290430197891
2020-03-17;0.237576667769843
2020-03-18;0.242977364633954
2020-03-19;0.249927171583761
2020-03-20;0.242444458218695
2020-03-21;0.240357592430251
2020-03-22;0.237227451484984
2020-03-23;0.237755693084654
2020-03-24;0.261498848883559
2020-03-25;0.273348825873895
2020-03-26;0.280621800547751
2020-03-27;0.297720266891402
2020-03-28;0.310445251483394
2020-03-29;0.327915321948856
2020-03-30;0.343157468964402
2020-03-31;0.340348460020115
2020-04-01;0.338329244602701
2020-04-02;0.346143618648481
2020-04-03;0.346498287405024
2020-04-04;0.341667369530628
2020-04-05;0.342243406396987
2020-04-06;0.349242084758155
2020-04-07;0.366134231211558
2020-04-08;0.377922811559269
2020-04-09;0.375513995030361
2020-04-10;0.367042722654305
2020-04-11;0.376877091184325
2020-04-12;0.38300715515021
2020-04-13;0.387184011470681
2020-04-14;0.391126425645654
2020-04-15;0.400254768865644
2020-04-16;0.419465715439396
2020-04-17;0.4381814702238
2020-04-18;0.442918229829576
2020-04-19;0.442241544820064
2020-04-20;0.425790790605335
2020-04-21;0.415379831701225
2020-04-22;0.408515792992349
2020-04-23;0.393422779980693
2020-04-24;0.379275881905224
2020-04-25;0.360284420235169
2020-04-26;0.352147843647412
2020-04-27;0.356717400089196
2020-04-28;0.358904103773976
2020-04-29;0.360496072664333
2020-04-30;0.361727224559861
2020-05-01;0.358299016847032
2020-05-02;0.370123653259189
2020-05-03;0.384063240981017
2020-05-04;0.397406878417936
2020-05-05;0.39892251870679
2020-05-06;0.40560493890086
2020-05-07;0.415997136361176
2020-05-08;0.428505684047463
2020-05-09;0.436473814546585
2020-05-10;0.433131036746134
2020-05-11;0.428319218446923
2020-05-12;0.422804742050275
2020-05-13;0.416147132228808
2020-05-14;0.404922935975511
2020-05-15;0.392946388847007
2020-05-16;0.387294132200472
2020-05-17;0.3881312964857
2020-05-18;0.386568296720133
2020-05-19;0.377959469722627
2020-05-20;0.366575030518339
2020-05-21;0.360296496692884
2020-05-22;0.362045301399008
2020-05-23;0.357909084568272
2020-05-24;0.353130270609873
2020-05-25;0.345722852219932
2020-05-26;0.348103556181075
2020-05-27;0.355596206505568
2020-05-28;0.355687780076131
2020-05-29;0.355683337362065
2020-05-30;0.357301994308261
2020-05-31;0.363126482277363
2020-06-01;0.362107696799423
2020-06-02;0.364449900450875
2020-06-03;0.36644318216734
2020-06-04;0.371486651962192
2020-06-05;0.369965623107276
2020-06-06;0.366462903486407
2020-06-07;0.359081143473069
2020-06-08;0.367111658500563
2020-06-09;0.374222492139511
2020-06-10;0.37488965057161
2020-06-11;0.379553037974717
2020-06-12;0.380757744946564
2020-06-13;0.388689507684742
2020-06-14;0.397052350061926
2020-06-15;0.399731021160391
2020-06-16;0.403642556126779
2020-06-17;0.413684107243676
2020-06-18;0.418183552243022
2020-06-19;0.424706041117217
2020-06-20;0.421591158094857
2020-06-21;0.423161058064987
2020-06-22;0.431482301726362
2020-06-23;0.43118824163975
2020-06-24;0.432851020130523
2020-06-25;0.437295506013464
2020-06-26;0.445664433396442
2020-06-27;0.437775555424576
2020-06-28;0.433445932941842
2020-06-29;0.428657828562961
2020-06-30;0.434401487788565
2020-07-01;0.435206242748381
2020-07-02;0.429834695827256
2020-07-03;0.42506454439238
2020-07-04;0.439713746024683
2020-07-05;0.449130424175852
2020-07-06;0.454359498598869
2020-07-07;0.455054055481233
2020-07-08;0.463892159864517
2020-07-09;0.475163163956506
2020-07-10;0.474659352445052
2020-07-11;0.483361037670847
2020-07-12;0.48696573849802
2020-07-13;0.491004070465072
2020-07-14;0.484743574969685
2020-07-15;0.471392204744137
2020-07-16;0.467115765268539
2020-07-17;0.473835796481765
2020-07-18;0.471289903230906
2020-07-19;0.472779853589986
2020-07-20;0.466280017448678
2020-07-21;0.473730316928901
2020-07-22;0.482252218162749
2020-07-23;0.484904498331969
2020-07-24;0.489383910729002
2020-07-25;0.492638550432456
2020-07-26;0.49169528807572
2020-07-27;0.495627587605059
2020-07-28;0.49779471402706
2020-07-29;0.498153730461763
2020-07-30;0.497086808146078
2020-07-31;0.496039381055094
2020-08-01;0.487526712163349
2020-08-02;0.490972026261405
2020-08-03;0.499139462680485
2020-08-04;0.50142370408817
2020-08-05;0.507161457826199
2020-08-06;0.519477409351877
2020-08-07;0.520906529443933
2020-08-08;0.530086233839808
2020-08-09;0.532711050575576
2020-08-10;0.527505122783832
2020-08-11;0.528068013258273
2020-08-12;0.529194302709435
2020-08-13;0.519986217561501
2020-08-14;0.513447969554204
2020-08-15;0.5108497723151
2020-08-16;0.510561949943674
2020-08-17;0.515763409375968
2020-08-18;0.515396857421023
2020-08-19;0.517875165579193
2020-08-20;0.510951076327053
2020-08-21;0.514369222088652
2020-08-22;0.516028729949595
2020-08-23;0.511946502346763
2020-08-24;0.508836763577238
2020-08-25;0.508181628058846
2020-08-26;0.504186400656117
2020-08-27;0.511685637851827
2020-08-28;0.507772815312162
2020-08-29;0.503829734101358
2020-08-30;0.49744375189477
2020-08-31;0.497049460041575
2020-09-01;0.488485448246431
2020-09-02;0.483979665070479
2020-09-03;0.480648299849602
2020-09-04;0.480887792653221
2020-09-05;0.476585398045598
2020-09-06;0.477118476621563
2020-09-07;0.466875807398697
2020-09-08;0.471363173789971
2020-09-09;0.470140478399045
2020-09-10;0.463686998883621
