fecha,positividad
2020-03-02,NA
2020-03-03,NA
2020-03-04,NA
2020-03-05,NA
2020-03-06,NA
2020-03-07,NA
2020-03-08,0.05685004160202695
2020-03-09,0.058977224763692875
2020-03-10,0.06168197787250971
2020-03-11,0.0647301388154075
2020-03-12,0.06548570419945585
2020-03-13,0.07115413698610434
2020-03-14,0.08059791449710875
2020-03-15,0.09113675836928595
2020-03-16,0.09396962973035676
2020-03-17,0.09147735854902816
2020-03-18,0.0867367720652751
2020-03-19,0.08500046603207045
2020-03-20,0.08449416719809742
2020-03-21,0.07997905375972596
2020-03-22,0.07806118176572023
2020-03-23,0.075766927259127
2020-03-24,0.07931683513844039
2020-03-25,0.0832508895963087
2020-03-26,0.0909776492330684
2020-03-27,0.0976012541069481
2020-03-28,0.10536582393472686
2020-03-29,0.11403394237306597
2020-03-30,0.11918010909005103
2020-03-31,0.11973035856435588
2020-04-01,0.11956599022934769
2020-04-02,0.11523030562983304
2020-04-03,0.11078673635818355
2020-04-04,0.10313652145427919
2020-04-05,0.0967385444787706
2020-04-06,0.09528962838913549
2020-04-07,0.095629926165901
2020-04-08,0.09525648202990986
2020-04-09,0.09618630939127423
2020-04-10,0.09722649060288331
2020-04-11,0.1002831600798962
2020-04-12,0.09799362215462891
2020-04-13,0.10066441148022723
2020-04-14,0.10043363023130422
2020-04-15,0.10249138074826612
2020-04-16,0.10454955383411234
2020-04-17,0.10527577994020344
2020-04-18,0.10212027009507237
2020-04-19,0.10549499962439259
2020-04-20,0.10863866043869973
2020-04-21,0.10992954151345377
2020-04-22,0.11169599425550666
2020-04-23,0.11158441841826779
2020-04-24,0.11334087698150926
2020-04-25,0.1188143038811357
2020-04-26,0.12346699801581876
2020-04-27,0.12312424723124647
2020-04-28,0.13100386422439966
2020-04-29,0.14008948363134224
2020-04-30,0.15024951415897075
2020-05-01,0.15840449318159266
2020-05-02,0.1657555153189016
2020-05-03,0.1765972888392878
2020-05-04,0.18523438618832813
2020-05-05,0.19328816169451082
2020-05-06,0.1970165396721722
2020-05-07,0.20115818361421298
2020-05-08,0.20784431888460708
2020-05-09,0.2147170701385999
2020-05-10,0.22404582305843782
2020-05-11,0.23539886424888626
2020-05-12,0.2437859948073331
2020-05-13,0.2521841117400748
2020-05-14,0.262913334707722
2020-05-15,0.26986404905191724
2020-05-16,0.28148285205399615
2020-05-17,0.29037623770780546
2020-05-18,0.2978865901996463
2020-05-19,0.30661812144935047
2020-05-20,0.3160444485689196
2020-05-21,0.32818359320564844
2020-05-22,0.3398091175117165
2020-05-23,0.3461915707571342
2020-05-24,0.3522863840540141
2020-05-25,0.357906470342102
2020-05-26,0.3597477946120423
2020-05-27,0.3613077302785835
2020-05-28,0.35769126383455746
2020-05-29,0.3556879941729562
2020-05-30,0.35605123125272536
2020-05-31,0.3520273592625876
2020-06-01,0.35038880287060975
2020-06-02,0.347838737940199
2020-06-03,0.3427648190472809
2020-06-04,0.3434959848966329
2020-06-05,0.3400121097912124
2020-06-06,0.33752264332738413
2020-06-07,0.33543674694414055
2020-06-08,0.3311284705683906
2020-06-09,0.3254060460547966
2020-06-10,0.3247923974570651
2020-06-11,0.3172320989156082
2020-06-12,0.31303197605613414
2020-06-13,0.306722048022607
2020-06-14,0.3040478631418114
2020-06-15,0.30144283246063075
2020-06-16,0.3018105947262159
2020-06-17,0.29932500546870716
2020-06-18,0.29621212079215337
2020-06-19,0.2918973310206886
2020-06-20,0.28891191697299856
2020-06-21,0.28126674930377304
2020-06-22,0.27771100073018945
2020-06-23,0.2726708985212362
2020-06-24,0.26697279319214806
2020-06-25,0.2628715008574984
2020-06-26,0.25886714536222405
2020-06-27,0.25352703195728926
2020-06-28,0.252473347840144
2020-06-29,0.24900887974942112
2020-06-30,0.24562649800178618
2020-07-01,0.24181684563879718
2020-07-02,0.23731876057857224
2020-07-03,0.23330779441976945
2020-07-04,0.2240955132729122
2020-07-05,0.21576989158991644
2020-07-06,0.2079406274773317
2020-07-07,0.19952889431135576
2020-07-08,0.1915148432347197
2020-07-09,0.18560947893211469
2020-07-10,0.17760854132790274
2020-07-11,0.17273453579405548
2020-07-12,0.16408709828724602
2020-07-13,0.15839125817158844
2020-07-14,0.15273915404303
2020-07-15,0.14867073382392673
2020-07-16,0.14635743790578246
2020-07-17,0.14451719196172955
2020-07-18,0.1420947252992916
2020-07-19,0.14278785150040568
2020-07-20,0.13959736873226244
2020-07-21,0.1387474329472977
2020-07-22,0.13698390148112022
2020-07-23,0.13178023938459327
2020-07-24,0.1278173817368641
2020-07-25,0.12386191891188689
2020-07-26,0.11788959405110276
2020-07-27,0.114010264509704
2020-07-28,0.10782827855870207
2020-07-29,0.10345312303171926
2020-07-30,0.0994341050978269
2020-07-31,0.0963631590888093
2020-08-01,0.09364156251630809
2020-08-02,0.09080493425588751
2020-08-03,0.0891822158830549
2020-08-04,0.08967001888559156
2020-08-05,0.08915329681116359
2020-08-06,0.08781191505272916
2020-08-07,0.08660071399591955
2020-08-08,0.08611313557580491
2020-08-09,0.08476950114949654
2020-08-10,0.08293390533351494
2020-08-11,0.08075813462240075
2020-08-12,0.07812783950791251
2020-08-13,0.07577011607370653
2020-08-14,0.07435831831920561
2020-08-15,0.07259330527433219
2020-08-16,0.07142818300722661
2020-08-17,0.07043088428942507
2020-08-18,0.06983375196514534
2020-08-19,0.06969080280065439
2020-08-20,0.07040691608455042
2020-08-21,0.07044033026390818
2020-08-22,0.06991940326819729
2020-08-23,0.0702759366178349
2020-08-24,0.06979134277522463
2020-08-25,0.06870505213511534
