"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-10-06";11;111;0.761240076269992;0.530327463200084;0.9921526893399;0.610321794067803;0.912158358472181
"2020-10-07";11;111;0.793753308924142;0.542534846048838;1.04497177179945;0.629583375689358;0.957923242158926
"2020-10-08";11;111;0.842960269291443;0.58803996247735;1.09788057610553;0.676369021406595;1.00955151717629
"2020-10-09";11;111;0.890806160992422;0.637941061107252;1.14367126087759;0.725558759205961;1.05605356277888
"2020-10-10";11;111;0.941110027595786;0.687209785580038;1.19501026961153;0.775193342117147;1.10702671307442
"2020-10-11";11;111;0.973448427674718;0.723016969800236;1.2238798855492;0.809800368386499;1.13709648696294
"2020-10-12";11;111;0.983196809761277;0.733471563911528;1.23292205561103;0.820013362746769;1.14638025677579
"2020-10-13";11;111;1.02349850841716;0.762588117928263;1.28440889890606;0.853018588051267;1.19397842878306
"2020-10-14";11;111;1.03250537366306;0.760218790934468;1.30479195639166;0.854611215419247;1.21039953190688
"2020-10-15";11;111;1.02891746867964;0.760117439051372;1.2977174983079;0.853294713115533;1.20454022424374
"2020-10-16";11;111;0.976409807113764;0.723344942225508;1.22947467200202;0.811054490336879;1.14176512389065
"2020-10-17";11;111;0.911609782611853;0.669389049742291;1.15383051548141;0.753339765079557;1.06987980014415
"2020-10-18";11;111;0.846051153328783;0.613991899574134;1.07811040708343;0.694414950718321;0.997687355939246
"2020-10-19";11;111;0.774009340977323;0.548213091782132;0.999805590172514;0.626457389105798;0.921561292848847
"2020-10-20";11;111;0.683074942048391;0.461802570739563;0.904347313357219;0.5384720916196;0.827677792477181
"2020-10-21";11;111;0.594948624301715;0.360451931957211;0.829445316646219;0.441720548807349;0.748176699796081
"2020-10-22";11;111;0.528288444416687;0.287070900315413;0.76950598851796;0.370661885519654;0.685915003313719
"2020-10-23";11;111;0.518967599188854;0.268189320881207;0.769745877496501;0.355066235194605;0.682868963183104
"2020-10-24";11;111;0.519314626522208;0.250900204145139;0.787729048899278;0.343887815299806;0.69474143774461
"2020-10-25";11;111;0.557432941540167;0.271164433935484;0.84370144914485;0.370324721769817;0.744541161310517
"2020-10-26";11;111;0.606954505205406;0.289544332315005;0.924364678095807;0.399511859728936;0.814397150681876
"2020-10-27";11;111;0.666395269302336;0.331471232765445;1.00131930583923;0.447505623283583;0.885284915321088
"2020-10-28";11;111;0.733277507331357;0.375991607836455;1.09056340682626;0.499784384724467;0.966770629938247
"2020-10-29";11;111;0.837889742877854;0.446574300998226;1.22920518475748;0.582173116071301;1.09360636968441
"2020-10-30";11;111;0.931806809587244;0.521592059249003;1.34202155992548;0.663739920384984;1.1998736987895
"2020-10-31";11;111;0.981438055744276;0.566546654046079;1.39632945744247;0.710306274759806;1.25256983672875
"2020-11-01";11;111;0.996354483364479;0.590308951232603;1.40240001549635;0.730983005943363;1.26172596078559
"2020-11-02";11;111;0.993969822448679;0.572234628939196;1.41570501595816;0.718376751102623;1.26956289379473
"2020-11-03";11;111;0.964143497769988;0.540947941969169;1.38733905357081;0.687618391349515;1.24066860419046
"2020-11-04";11;111;0.936752115597541;0.527556067503212;1.34594816369187;0.669368153239925;1.20413607795516
"2020-11-05";11;111;0.910780720152767;0.486411951588075;1.33514948871746;0.633524559348117;1.18803688095742
"2020-11-06";11;111;0.890192866286361;0.477964396296402;1.30242133627632;0.620851347278685;1.15953438529404
"2020-11-07";11;111;0.882674155786905;0.474017659041916;1.29133065253189;0.615656499050105;1.1496918125237
"2020-11-08";11;111;0.890158814425375;0.484122166145953;1.2961954627048;0.624837297562331;1.15548033128842
"2020-11-09";11;111;0.913986905781131;0.487095912061854;1.34087789950041;0.635055142491998;1.19291866907026
"2020-11-10";11;111;0.919088931705389;0.479031238580118;1.35914662483066;0.631566913208415;1.20661095020236
"2020-11-11";11;111;0.934465668107653;0.491086863630868;1.37784447258444;0.644761943674124;1.22416939254118
"2020-11-12";11;111;0.926264808136492;0.474358007485217;1.37817160878777;0.631000757963392;1.22152885830959
"2020-11-13";11;111;0.926105264900703;0.467890016720746;1.38432051308066;0.62672458931382;1.22548594048759
"2020-11-14";11;111;0.931678446211338;0.482339027726148;1.38101786469653;0.63807348675169;1.22528340567098
"2020-11-15";11;111;0.928292778726485;0.472705970492275;1.3838795869607;0.630613141530267;1.2259724159227
"2020-11-16";11;111;0.903946625618064;0.446015847130835;1.36187740410529;0.604743766854033;1.20314948438209
"2020-11-17";11;111;0.884670644265175;0.425441990411536;1.34389929811882;0.584621308140104;1.18471998039025
"2020-11-18";11;111;0.879817971537681;0.432208809047194;1.32742713402817;0.587329492915779;1.17230645015958
"2020-11-19";11;111;0.865664114095709;0.42151623010078;1.30981199809064;0.57542711171866;1.15590111647276
"2020-11-20";11;111;0.855407058299196;0.397802809786829;1.31301130681156;0.55639273548394;1.15442138111445
"2020-11-21";11;111;0.856028563147372;0.398786313350661;1.31327081294408;0.557232709829573;1.15482441646517
"2020-11-22";11;111;0.859601998052434;0.396377883241899;1.32282611286297;0.556891848514497;1.16231214759037
"2020-11-23";11;111;0.833952980681858;0.364599135017506;1.30330682634621;0.527246171714882;1.14065978964883
"2020-11-24";11;111;0.821619625752456;0.344988483190625;1.29825076831429;0.510157961950179;1.13308128955473
"2020-11-25";11;111;0.830366356317169;0.331287947753225;1.32944476488111;0.50425240171304;1.1564803109213
"2020-11-26";11;111;0.837995162877284;0.329245036563524;1.34674528919104;0.505554312181263;1.17043601357331
"2020-11-27";11;111;0.84113799596809;0.325897786759366;1.35637820517681;0.504447799045626;1.17782819289055
"2020-11-28";11;111;0.847505167241103;0.328865193796935;1.36614514068527;0.508576724700585;1.18643360978162
"2020-11-29";11;111;0.873267930041482;0.33981176726332;1.40672409281964;0.524650331610662;1.2218855284723
"2020-11-30";11;111;0.923813270885767;0.342228556846813;1.50539798492472;0.54378421410717;1.30384232766436
"2020-12-01";11;111;1.00265162989027;0.388209806608144;1.61709345317241;0.601149885945891;1.40415337383466
"2020-12-02";11;111;1.08568242147959;0.432866373357737;1.73849846960144;0.659121463940403;1.51224337901878
"2020-12-03";11;111;1.17657446259724;0.492858115008841;1.86029081018564;0.729819616672824;1.62332930852166
"2020-12-04";11;111;1.266962275299;0.589174013030344;1.94475053756766;0.824020253002171;1.70990429759583
"2020-12-05";11;111;1.31256611084336;0.636205862098569;1.98892635958816;0.870532393223569;1.75459982846316
"2020-12-06";11;111;1.32126846763187;0.671736841621735;1.970800093642;0.896734039645781;1.74580289561795
