"fecha";"region";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-12-28";13;1.16700136520402;1.08926503668273;1.24473769372531;1.11618391426202;1.21781881614602
"2020-12-29";13;1.18729205390987;1.10019418957285;1.27438991824689;1.13034801241257;1.24423609540718
"2020-12-30";13;1.18311008361983;1.08761297869339;1.27860718854627;1.12067227677287;1.24554789046679
"2020-12-31";13;1.15894067586253;1.06276568314365;1.25511566858141;1.09605913034743;1.22182222137763
"2021-01-01";13;1.13748008688182;1.04814998262575;1.2268101911379;1.0790742085614;1.19588596520225
"2021-01-02";13;1.11733747204299;1.03659208381096;1.19808286027503;1.06454548649275;1.17012945759324
"2021-01-03";13;1.10220750308711;1.03052064689955;1.17389435927467;1.05533867572391;1.14907633045031
"2021-01-04";13;1.11309796645723;1.04596506632853;1.18023086658592;1.06920948012053;1.15698645279393
"2021-01-05";13;1.10080584588216;1.03357238172522;1.1680393100391;1.05685412492133;1.14475756684299
"2021-01-06";13;1.0985538907822;1.03417793346564;1.16292984809877;1.05647129169667;1.14063648986774
"2021-01-07";13;1.11402276122887;1.05075263934627;1.17729288311146;1.07266349814813;1.1553820243096
"2021-01-08";13;1.12903663909888;1.06469424077668;1.19337903742108;1.08697307797426;1.1711002002235
"2021-01-09";13;1.09794904139624;1.03146198234826;1.16443610044422;1.05448209561175;1.14141598718073
"2021-01-10";13;1.06811769018222;1.00675335279898;1.12948202756547;1.02800223881242;1.10823314155203
"2021-01-11";13;1.02222013354233;0.967428915408076;1.07701135167657;0.986407755089109;1.05803251199554
"2021-01-12";13;1.0074482497802;0.960270148771671;1.05462635078872;0.97661596882792;1.03828053073247
"2021-01-13";13;0.992385078703298;0.947845324119823;1.03692483328677;0.963278520816397;1.0214916365902
"2021-01-14";13;0.992061815637751;0.948372205131969;1.03575142614353;0.96350906829989;1.02061456297561
"2021-01-15";13;0.995411832334609;0.950457074028161;1.04036659064106;0.966035207218168;1.02478845745105
"2021-01-16";13;1.00384280821006;0.959000078917776;1.04868553750233;0.974541450632364;1.03314416578775
"2021-01-17";13;1.00530792111628;0.961205464904215;1.04941037732834;0.97649300288566;1.0341228393469
"2021-01-18";13;1.01300475099034;0.969979955930161;1.05602954605051;0.984894181992371;1.0411153199883
"2021-01-19";13;1.00566245867603;0.962385412052898;1.04893950529917;0.977389811265919;1.03393510608615
"2021-01-20";13;1.02117552118009;0.977561021897529;1.06479002046264;0.992682819822797;1.04966822253738
