"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup"
"2020-06-25";16;161011;0.81756291470581;0.629482037861244;1.00564379155037
"2020-06-26";16;161011;0.845742806750507;0.655402889786058;1.03608272371496
"2020-06-27";16;161011;0.8979734490966;0.70099729308238;1.09494960511082
"2020-06-28";16;161011;0.948682278784732;0.753689192720879;1.14367536484858
"2020-06-29";16;161011;0.989817527929832;0.787468080631387;1.19216697522828
"2020-06-30";16;161011;1.01494283311083;0.811318639776061;1.2185670264456
"2020-07-01";16;161011;1.03664398404386;0.830341426582166;1.24294654150555
"2020-07-02";16;161011;1.09415277803577;0.87830023834864;1.3100053177229
"2020-07-03";16;161011;1.13141324349286;0.924898942549094;1.33792754443662
"2020-07-04";16;161011;1.14429799586041;0.936376291394906;1.35221970032591
"2020-07-05";16;161011;1.14934590284264;0.942439908348818;1.35625189733647
"2020-07-06";16;161011;1.23472411654881;1.00857847132914;1.46086976176848
"2020-07-07";16;161011;1.23509760201726;1.00386955032273;1.46632565371179
"2020-07-08";16;161011;1.2259566824134;0.999672799524857;1.45224056530193
"2020-07-09";16;161011;1.16710908178917;0.949228316495007;1.38498984708334
"2020-07-10";16;161011;1.13401991684511;0.936161415711266;1.33187841797896
"2020-07-11";16;161011;1.07680700238626;0.899016106772585;1.25459789799994
"2020-07-12";16;161011;1.03454430172408;0.870456266234646;1.19863233721352
"2020-07-13";16;161011;0.930312649122058;0.773858430692401;1.08676686755172
"2020-07-14";16;161011;0.924055077855447;0.764470713095854;1.08363944261504
"2020-07-15";16;161011;0.882242936987693;0.721227534141578;1.04325833983381
"2020-07-16";16;161011;0.85878979110233;0.695236148039615;1.02234343416504
"2020-07-17";16;161011;0.837067387731869;0.674399408908821;0.999735366554916
"2020-07-18";16;161011;0.832649710080073;0.668577928342146;0.996721491818001
"2020-07-19";16;161011;0.840887272231044;0.675917221294995;1.00585732316709
"2020-07-20";16;161011;0.871595415243371;0.695147613336585;1.04804321715016
"2020-07-21";16;161011;0.848820558037298;0.669401990274717;1.02823912579988
"2020-07-22";16;161011;0.831962123192885;0.64670206735351;1.01722217903226
"2020-07-23";16;161011;0.821257363617378;0.638735268548546;1.00377945868621
"2020-07-24";16;161011;0.854427605136047;0.666664738824163;1.04219047144793
"2020-07-25";16;161011;0.890078794185029;0.701815961048182;1.07834162732188
"2020-07-26";16;161011;0.89884621939817;0.714067182028167;1.08362525676817
"2020-07-27";16;161011;0.904264788322915;0.707450466879619;1.10107910976621
"2020-07-28";16;161011;0.921609691754845;0.725134138690202;1.11808524481949
"2020-07-29";16;161011;0.948511181580392;0.739218487915467;1.15780387524532
"2020-07-30";16;161011;0.958805548814689;0.752501633153856;1.16510946447552
"2020-07-31";16;161011;0.932929324404217;0.730646419015684;1.13521222979275
"2020-08-01";16;161011;0.930112607561277;0.726750568368762;1.13347464675379
