"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
21,"20 - 29 años",213.205067509009,"(150, 250]"
21,"30 - 39 años",252.024525548986,"> 250"
21,"40 - 49 años",212.219116141943,"(150, 250]"
21,"50 - 59 años",216.802305243974,"(150, 250]"
21,"60 - 69 años",152.716016944549,"(150, 250]"
21,"70 - 79 años",136.987125616994,"(70, 150]"
21,"80 años o más",155.257354151351,"(150, 250]"
22,"00 - 09 años",39.7934461326553,"(35, 70]"
22,"10 - 19 años",57.4182156715298,"(35, 70]"
22,"20 - 29 años",240.142701550418,"(150, 250]"
22,"30 - 39 años",270.860389958472,"> 250"
22,"40 - 49 años",245.367612238975,"(150, 250]"
22,"50 - 59 años",248.533588533867,"(150, 250]"
22,"60 - 69 años",185.199351220231,"(150, 250]"
22,"70 - 79 años",168.175263294069,"(150, 250]"
22,"80 años o más",186.711140858103,"(150, 250]"
23,"00 - 09 años",34.0104554853284,"(7, 35]"
23,"10 - 19 años",56.3094501275278,"(35, 70]"
23,"20 - 29 años",239.043206283421,"(150, 250]"
23,"30 - 39 años",275.57760293668,"> 250"
23,"40 - 49 años",248.346394146312,"(150, 250]"
23,"50 - 59 años",261.107953454596,"> 250"
23,"60 - 69 años",199.833481337604,"(150, 250]"
23,"70 - 79 años",188.131660071362,"(150, 250]"
23,"80 años o más",224.199665712081,"(150, 250]"
24,"00 - 09 años",28.9958342247092,"(7, 35]"
24,"10 - 19 años",50.1320420966598,"(35, 70]"
24,"20 - 29 años",217.344343808289,"(150, 250]"
24,"30 - 39 años",242.853999619324,"(150, 250]"
24,"40 - 49 años",213.173853932756,"(150, 250]"
24,"50 - 59 años",235.748244335945,"(150, 250]"
24,"60 - 69 años",185.199351220231,"(150, 250]"
24,"70 - 79 años",172.186599329706,"(150, 250]"
24,"80 años o más",202.438034211479,"(150, 250]"
25,"00 - 09 años",32.0693117715403,"(7, 35]"
25,"10 - 19 años",48.5876900889428,"(35, 70]"
25,"20 - 29 años",196.162890870567,"(150, 250]"
25,"30 - 39 años",221.115234915557,"(150, 250]"
25,"40 - 49 años",204.504834792173,"(150, 250]"
25,"50 - 59 años",213.300049242563,"(150, 250]"
25,"60 - 69 años",165.798042352503,"(150, 250]"
25,"70 - 79 años",147.316315908758,"(70, 150]"
25,"80 años o más",203.535259329157,"(150, 250]"
26,"00 - 09 años",26.9738095228467,"(7, 35]"
26,"10 - 19 años",43.3606525243622,"(35, 70]"
26,"20 - 29 años",163.048680476327,"(150, 250]"
26,"30 - 39 años",195.483944817185,"(150, 250]"
