fecha,positividad_bac,positividad_no_bac,codigo_region,region
2020-07-01,0.0,0.28665028665028663,15,Arica y Parinacota
2020-07-02,0.0,0.2708006279434851,15,Arica y Parinacota
2020-07-03,0.0,0.27265917602996254,15,Arica y Parinacota
2020-07-04,0.0,0.2955840455840456,15,Arica y Parinacota
2020-07-05,0.0,0.29424157303370785,15,Arica y Parinacota
2020-07-06,0.0,0.29108635097493035,15,Arica y Parinacota
2020-07-07,0.0,0.29347123464770525,15,Arica y Parinacota
2020-07-08,0.0,0.2967398536260812,15,Arica y Parinacota
2020-07-09,0.0,0.2960822093770071,15,Arica y Parinacota
2020-07-10,0.020202020202020204,0.3034571062740077,15,Arica y Parinacota
2020-07-11,0.020202020202020204,0.30251572327044024,15,Arica y Parinacota
2020-07-12,0.02912621359223301,0.32369230769230767,15,Arica y Parinacota
2020-07-13,0.029411764705882353,0.33078281341965865,15,Arica y Parinacota
2020-07-14,0.027522935779816515,0.34229390681003585,15,Arica y Parinacota
2020-07-15,0.03296703296703297,0.3544159544159544,15,Arica y Parinacota
2020-07-16,0.03125,0.3655536028119508,15,Arica y Parinacota
2020-07-17,0.016666666666666666,0.3683886838868389,15,Arica y Parinacota
2020-07-18,0.01875,0.375,15,Arica y Parinacota
2020-07-19,0.008955223880597015,0.3754246885617214,15,Arica y Parinacota
2020-07-20,0.012658227848101266,0.3735803945008966,15,Arica y Parinacota
2020-07-21,0.023758099352051837,0.37155963302752293,15,Arica y Parinacota
2020-07-22,0.029296875,0.3706293706293706,15,Arica y Parinacota
2020-07-23,0.02912621359223301,0.3743427970557308,15,Arica y Parinacota
2020-07-24,0.042884990253411304,0.38796477495107634,15,Arica y Parinacota
2020-07-25,0.07061503416856492,0.3842494714587738,15,Arica y Parinacota
2020-07-26,0.11078717201166181,0.3774259448416752,15,Arica y Parinacota
2020-07-27,0.15229885057471265,0.36639383726528646,15,Arica y Parinacota
2020-07-28,0.1853146853146853,0.35700293829578844,15,Arica y Parinacota
2020-07-29,0.17391304347826086,0.3438937148696985,15,Arica y Parinacota
2020-07-30,0.18808777429467086,0.3440695296523517,15,Arica y Parinacota
2020-07-31,0.1466992665036675,0.31792207792207794,15,Arica y Parinacota
2020-08-01,0.06896551724137931,0.3112377006732263,15,Arica y Parinacota
2020-08-02,0.06485849056603774,0.3010286951813752,15,Arica y Parinacota
2020-08-03,0.04218600191754554,0.298876404494382,15,Arica y Parinacota
2020-08-04,0.032397408207343416,0.30022701475595914,15,Arica y Parinacota
2020-08-05,0.02821316614420063,0.3040969417195615,15,Arica y Parinacota
2020-08-06,0.023668639053254437,0.29957805907172996,15,Arica y Parinacota
2020-08-07,0.03214807598636142,0.3048780487804878,15,Arica y Parinacota
2020-08-08,0.03376857271499325,0.3083864118895966,15,Arica y Parinacota
2020-08-09,0.030198776758409786,0.3063851699279094,15,Arica y Parinacota
2020-08-10,0.030819140308191405,0.3155080213903743,15,Arica y Parinacota
2020-08-11,0.03107937841243175,0.30122850122850126,15,Arica y Parinacota
2020-08-12,0.032397408207343416,0.2987329434697856,15,Arica y Parinacota
2020-08-13,0.03322528363047002,0.2978219696969697,15,Arica y Parinacota
2020-08-14,0.027538018906699546,0.2980030721966206,15,Arica y Parinacota
2020-08-15,0.029863481228668942,0.2906610703043022,15,Arica y Parinacota
2020-08-16,0.032577903682719546,0.287478944413251,15,Arica y Parinacota
2020-08-17,0.03261390887290168,0.2750316856780735,15,Arica y Parinacota
2020-08-18,0.03173121791880541,0.2723351817621688,15,Arica y Parinacota
2020-08-19,0.03302097278000892,0.2691588785046729,15,Arica y Parinacota
2020-08-20,0.03545759463344514,0.26632522407170295,15,Arica y Parinacota
2020-08-21,0.031592803861342694,0.2542372881355932,15,Arica y Parinacota
2020-08-22,0.03138173302107728,0.25396825396825395,15,Arica y Parinacota
2020-08-23,0.029164825452938577,0.24585818422796554,15,Arica y Parinacota
2020-08-24,0.02989736724676484,0.24546632124352333,15,Arica y Parinacota
2020-08-25,0.03163361661945231,0.24329896907216494,15,Arica y Parinacota
2020-08-26,0.029893924783027964,0.23019634394041977,15,Arica y Parinacota
2020-08-27,0.026761819803746655,0.22655122655122656,15,Arica y Parinacota
2020-08-28,0.029055690072639227,0.23281907433380084,15,Arica y Parinacota
2020-08-29,0.02826086956521739,0.23043160204828092,15,Arica y Parinacota
2020-08-30,0.028719585161547666,0.23757309941520469,15,Arica y Parinacota
2020-08-31,0.028731045490822026,0.22444444444444445,15,Arica y Parinacota
2020-09-01,0.03163379233345739,0.22575976845151954,15,Arica y Parinacota
2020-09-02,0.0342916522341531,0.23562753036437248,15,Arica y Parinacota
2020-09-03,0.03616573033707865,0.2254746835443038,15,Arica y Parinacota
2020-09-04,0.03594559585492228,0.22350993377483444,15,Arica y Parinacota
2020-09-05,0.03488372093023256,0.21468926553672316,15,Arica y Parinacota
2020-09-06,0.03484438430311231,0.19473684210526315,15,Arica y Parinacota
2020-09-07,0.03130812151270924,0.2037878787878788,15,Arica y Parinacota
2020-09-08,0.028155646947168617,0.2012728719172633,15,Arica y Parinacota
2020-09-09,0.023778501628664496,0.18354430379746836,15,Arica y Parinacota
2020-09-10,0.019915115899444988,0.17671232876712328,15,Arica y Parinacota
2020-09-11,0.0169664065151001,0.17604712041884818,15,Arica y Parinacota
2020-09-12,0.014787430683918669,0.17553191489361702,15,Arica y Parinacota
2020-09-13,0.013177710843373495,0.18699186991869918,15,Arica y Parinacota
2020-09-14,0.017038539553752535,0.19028609447771125,15,Arica y Parinacota
2020-09-15,0.01607843137254902,0.18323586744639375,15,Arica y Parinacota
2020-09-16,0.019421323820848196,0.19458668617410388,15,Arica y Parinacota
2020-09-17,0.019817073170731708,0.2162773172569706,15,Arica y Parinacota
2020-09-18,0.020848573518653987,0.22248803827751196,15,Arica y Parinacota
2020-09-19,0.01972062448644207,0.225,15,Arica y Parinacota
2020-09-20,0.018837018837018837,0.23523523523523523,15,Arica y Parinacota
2020-09-21,0.01607717041800643,0.23137254901960785,15,Arica y Parinacota
2020-09-22,0.01645925331192292,0.2346263008514664,15,Arica y Parinacota
2020-09-23,0.017060876308646764,0.23415046491969568,15,Arica y Parinacota
2020-09-24,0.016160061562139283,0.2288135593220339,15,Arica y Parinacota
2020-09-25,0.022080838323353294,0.2217837411207577,15,Arica y Parinacota
2020-09-26,0.020956123117223315,0.2208138759172782,15,Arica y Parinacota
2020-09-27,0.022307014969181096,0.22250639386189258,15,Arica y Parinacota
2020-09-28,0.023148148148148147,0.23062381852551986,15,Arica y Parinacota
2020-09-29,0.02573742047426258,0.23547979797979798,15,Arica y Parinacota
2020-09-30,0.023580786026200874,0.22958579881656804,15,Arica y Parinacota
2020-10-01,0.0244270205066345,0.22569832402234638,15,Arica y Parinacota
2020-10-02,0.017956656346749224,0.2175531914893617,15,Arica y Parinacota
2020-10-03,0.016992353440951572,0.20693391115926327,15,Arica y Parinacota
2020-10-04,0.019059329849369814,0.19272168118913377,15,Arica y Parinacota
2020-10-05,0.017947103274559194,0.18263473053892215,15,Arica y Parinacota
2020-10-06,0.015475798485347383,0.17804992934526614,15,Arica y Parinacota
2020-10-07,0.015913430935709738,0.17183653372722796,15,Arica y Parinacota
2020-10-08,0.016819571865443424,0.15815567674764502,15,Arica y Parinacota
2020-10-09,0.016809200825715128,0.15384615384615385,15,Arica y Parinacota
2020-10-10,0.019993848046754845,0.16002098635886675,15,Arica y Parinacota
2020-10-11,0.018238993710691823,0.16198704103671707,15,Arica y Parinacota
2020-10-12,0.019291587602783048,0.16354625550660792,15,Arica y Parinacota
2020-10-13,0.020077720207253884,0.16142191142191142,15,Arica y Parinacota
2020-10-14,0.020887728459530026,0.16588235294117648,15,Arica y Parinacota
2020-10-15,0.020846905537459284,0.1680622009569378,15,Arica y Parinacota
2020-10-16,0.022540983606557378,0.1760777170613236,15,Arica y Parinacota
2020-10-17,0.02224653537563822,0.16093366093366093,15,Arica y Parinacota
2020-10-18,0.018647281921618204,0.1575875486381323,15,Arica y Parinacota
2020-10-19,0.018512804689910522,0.15695681973954764,15,Arica y Parinacota
2020-10-20,0.02029151186053158,0.15526675786593708,15,Arica y Parinacota
2020-10-21,0.022573363431151242,0.14541695382494832,15,Arica y Parinacota
2020-10-22,0.02236238532110092,0.15170494084899094,15,Arica y Parinacota
2020-10-23,0.021801491681009755,0.13832658569500675,15,Arica y Parinacota
2020-10-24,0.02107598447032723,0.14903846153846154,15,Arica y Parinacota
2020-10-25,0.025592417061611375,0.14363143631436315,15,Arica y Parinacota
2020-10-26,0.025990491283676705,0.13306177868295996,15,Arica y Parinacota
2020-10-27,0.026398491514770583,0.12203626220362622,15,Arica y Parinacota
2020-10-28,0.024165341812400636,0.11577522004062288,15,Arica y Parinacota
2020-10-29,0.021997621878715814,0.1112609575185435,15,Arica y Parinacota
2020-10-30,0.021021820117083555,0.10740740740740741,15,Arica y Parinacota
2020-10-31,0.019154030327214685,0.0958302852962692,15,Arica y Parinacota
2020-11-01,0.017100371747211896,0.10303928836174944,15,Arica y Parinacota
2020-11-02,0.016853932584269662,0.09971098265895954,15,Arica y Parinacota
2020-11-03,0.014393754574286412,0.11087113030957524,15,Arica y Parinacota
2020-11-04,0.012767002209673459,0.11777615215801024,15,Arica y Parinacota
2020-11-05,0.014616935483870967,0.11252813203300825,15,Arica y Parinacota
2020-11-06,0.014076731990063483,0.11962750716332378,15,Arica y Parinacota
2020-11-07,0.015991177281499864,0.12881608339538347,15,Arica y Parinacota
2020-11-08,0.015770205575894116,0.12331838565022421,15,Arica y Parinacota
2020-11-09,0.014772727272727272,0.12434061793519216,15,Arica y Parinacota
2020-11-10,0.01646324155549248,0.10841654778887304,15,Arica y Parinacota
2020-11-11,0.01608352144469526,0.09746738296239447,15,Arica y Parinacota
2020-11-12,0.0173374613003096,0.08986175115207373,15,Arica y Parinacota
2020-11-13,0.016801493466085875,0.08421851289833081,15,Arica y Parinacota
2020-11-14,0.01580415246358847,0.07547169811320754,15,Arica y Parinacota
2020-11-15,0.015600624024960999,0.07050796057619409,15,Arica y Parinacota
2020-11-16,0.016339869281045753,0.06992481203007518,15,Arica y Parinacota
2020-11-17,0.011943863839952225,0.07401448109412712,15,Arica y Parinacota
2020-11-18,0.01293103448275862,0.08006279434850863,15,Arica y Parinacota
2020-11-19,0.010174029451137885,0.07929883138564274,15,Arica y Parinacota
2020-11-20,0.009788359788359789,0.075,15,Arica y Parinacota
2020-11-21,0.008016550297388157,0.08129370629370629,15,Arica y Parinacota
2020-11-22,0.008114687584527996,0.08214285714285714,15,Arica y Parinacota
2020-11-23,0.008154389779831475,0.07871720116618076,15,Arica y Parinacota
2020-11-24,0.009155937052932762,0.07115749525616698,15,Arica y Parinacota
2020-11-25,0.008259406546344448,0.05730659025787966,15,Arica y Parinacota
2020-11-26,0.008633980881899476,0.060964513193812554,15,Arica y Parinacota
2020-11-27,0.008830022075055188,0.06220984215413185,15,Arica y Parinacota
2020-11-28,0.010444743935309973,0.05834829443447038,15,Arica y Parinacota
2020-11-29,0.008656620711766592,0.05929919137466307,15,Arica y Parinacota
2020-11-30,0.00818639798488665,0.06228373702422145,15,Arica y Parinacota
2020-12-01,0.0068322981366459624,0.06557377049180328,15,Arica y Parinacota
2020-12-02,0.006110601894286587,0.07407407407407407,15,Arica y Parinacota
2020-12-03,0.005060088551549652,0.0729064039408867,15,Arica y Parinacota
2020-12-04,0.0036663611365719525,0.0730550284629981,15,Arica y Parinacota
2020-12-05,0.0044742729306487695,0.07039337474120083,15,Arica y Parinacota
2020-07-01,0.038461538461538464,0.2952917093142272,1,Tarapacá
2020-07-02,0.038461538461538464,0.30273833671399597,1,Tarapacá
2020-07-03,0.07407407407407407,0.3157894736842105,1,Tarapacá
2020-07-04,0.08,0.3145200192957067,1,Tarapacá
2020-07-05,0.16129032258064516,0.3068391866913124,1,Tarapacá
2020-07-06,0.15789473684210525,0.3093065693430657,1,Tarapacá
2020-07-07,0.17073170731707318,0.3043682480037576,1,Tarapacá
2020-07-08,0.2,0.30491803278688523,1,Tarapacá
2020-07-09,0.1875,0.3068391866913124,1,Tarapacá
2020-07-10,0.17857142857142858,0.2981366459627329,1,Tarapacá
2020-07-11,0.19672131147540983,0.2788313685289595,1,Tarapacá
2020-07-12,0.1935483870967742,0.27201346045989905,1,Tarapacá
2020-07-13,0.1724137931034483,0.28742138364779873,1,Tarapacá
2020-07-14,0.1891891891891892,0.27307692307692305,1,Tarapacá
2020-07-15,0.2543859649122807,0.2643312101910828,1,Tarapacá
2020-07-16,0.2484076433121019,0.2520224019912881,1,Tarapacá
2020-07-17,0.2722222222222222,0.24028497409326424,1,Tarapacá
2020-07-18,0.35039370078740156,0.2664117272147865,1,Tarapacá
2020-07-19,0.35106382978723405,0.28885923949299536,1,Tarapacá
2020-07-20,0.3509933774834437,0.2756368386675376,1,Tarapacá
2020-07-21,0.3333333333333333,0.2833545108005083,1,Tarapacá
2020-07-22,0.3370165745856354,0.2734646581691773,1,Tarapacá
2020-07-23,0.32741116751269034,0.28434504792332266,1,Tarapacá
2020-07-24,0.3333333333333333,0.28185595567867033,1,Tarapacá
2020-07-25,0.27765726681127983,0.2751358695652174,1,Tarapacá
2020-07-26,0.28040540540540543,0.2748706152961472,1,Tarapacá
2020-07-27,0.24574669187145556,0.27906976744186046,1,Tarapacá
2020-07-28,0.21822742474916387,0.27427055702917774,1,Tarapacá
2020-07-29,0.19534883720930232,0.2671523982999393,1,Tarapacá
2020-07-30,0.1697216564833673,0.2514484356894554,1,Tarapacá
2020-07-31,0.15211970074812967,0.24381253291205898,1,Tarapacá
2020-08-01,0.13304721030042918,0.2339688041594454,1,Tarapacá
2020-08-02,0.08106435643564357,0.232996632996633,1,Tarapacá
2020-08-03,0.07638446849140675,0.23754789272030652,1,Tarapacá
2020-08-04,0.07424867413081909,0.22369446609508964,1,Tarapacá
2020-08-05,0.06958904109589041,0.24383164005805516,1,Tarapacá
2020-08-06,0.06253398586188146,0.24644549763033174,1,Tarapacá
2020-08-07,0.06293706293706294,0.2750210260723297,1,Tarapacá
2020-08-08,0.05606967882416984,0.2725060827250608,1,Tarapacá
2020-08-09,0.06037151702786378,0.27359180687637163,1,Tarapacá
2020-08-10,0.06653715395823215,0.2712392829306313,1,Tarapacá
2020-08-11,0.06471816283924843,0.2664067576348278,1,Tarapacá
2020-08-12,0.06650366748166259,0.26137135098438563,1,Tarapacá
2020-08-13,0.0699397869383974,0.2638610554442218,1,Tarapacá
2020-08-14,0.064,0.24831763122476447,1,Tarapacá
2020-08-15,0.062302839116719244,0.2591145833333333,1,Tarapacá
2020-08-16,0.059718969555035126,0.24533715925394547,1,Tarapacá
2020-08-17,0.055,0.24157303370786518,1,Tarapacá
2020-08-18,0.05338645418326693,0.2450592885375494,1,Tarapacá
2020-08-19,0.052819698173153296,0.24705882352941178,1,Tarapacá
2020-08-20,0.05230530802014723,0.24411302982731553,1,Tarapacá
2020-08-21,0.05319148936170213,0.25313479623824453,1,Tarapacá
2020-08-22,0.04728992360858494,0.23362273086029992,1,Tarapacá
2020-08-23,0.043209876543209874,0.23316912972085385,1,Tarapacá
2020-08-24,0.04018598472268349,0.22400676246830092,1,Tarapacá
2020-08-25,0.03723742838956079,0.22560429722470904,1,Tarapacá
2020-08-26,0.031806615776081425,0.21805955811719502,1,Tarapacá
2020-08-27,0.028879720723579815,0.21977052074139453,1,Tarapacá
2020-08-28,0.022376776534623527,0.21528424976700838,1,Tarapacá
2020-08-29,0.019768426998023156,0.21264367816091953,1,Tarapacá
2020-08-30,0.02058414464534075,0.2074688796680498,1,Tarapacá
2020-08-31,0.021007194244604316,0.20672601384767555,1,Tarapacá
2020-09-01,0.022290076335877863,0.19767441860465115,1,Tarapacá
2020-09-02,0.021984551396316103,0.19161105815061963,1,Tarapacá
2020-09-03,0.02120669056152927,0.17408906882591094,1,Tarapacá
2020-09-04,0.02418658220558595,0.16349047141424272,1,Tarapacá
2020-09-05,0.02440441603718768,0.1565600882028666,1,Tarapacá
2020-09-06,0.02141863699582754,0.1594488188976378,1,Tarapacá
2020-09-07,0.021464985242822646,0.1583087512291052,1,Tarapacá
2020-09-08,0.02013752455795678,0.15643564356435644,1,Tarapacá
2020-09-09,0.02065817919769397,0.1673511293634497,1,Tarapacá
2020-09-10,0.02068324424819893,0.17458677685950413,1,Tarapacá
2020-09-11,0.02364066193853428,0.1677917068466731,1,Tarapacá
2020-09-12,0.025197251208959024,0.17518248175182483,1,Tarapacá
2020-09-13,0.026687598116169546,0.1807909604519774,1,Tarapacá
2020-09-14,0.0256,0.1762295081967213,1,Tarapacá
2020-09-15,0.0261596548004315,0.17172675521821631,1,Tarapacá
2020-09-16,0.027717391304347826,0.16066212268743915,1,Tarapacá
2020-09-17,0.026707899915659264,0.15154536390827517,1,Tarapacá
2020-09-18,0.021345029239766083,0.15507411630558723,1,Tarapacá
2020-09-19,0.019520851818988466,0.1495433789954338,1,Tarapacá
2020-09-20,0.016335682254964765,0.14709110867178923,1,Tarapacá
2020-09-21,0.01667233752977203,0.15017064846416384,1,Tarapacá
2020-09-22,0.01596877217885025,0.14809960681520315,1,Tarapacá
2020-09-23,0.012684989429175475,0.1390728476821192,1,Tarapacá
2020-09-24,0.013619339462036091,0.14941302027748132,1,Tarapacá
2020-09-25,0.015595162316995544,0.147117296222664,1,Tarapacá
2020-09-26,0.01734283059770827,0.14007782101167315,1,Tarapacá
2020-09-27,0.015355979525360632,0.1381957773512476,1,Tarapacá
2020-09-28,0.01694915254237288,0.13996316758747698,1,Tarapacá
2020-09-29,0.016670228681342165,0.1393841166936791,1,Tarapacá
2020-09-30,0.016868512110726645,0.1461736887360275,1,Tarapacá
2020-10-01,0.01841455198742421,0.13751169317118803,1,Tarapacá
2020-10-02,0.0175522962250541,0.1398264223722276,1,Tarapacá
2020-10-03,0.015678254942058625,0.1432806324110672,1,Tarapacá
2020-10-04,0.019638648860958365,0.1308316430020284,1,Tarapacá
2020-10-05,0.01905252317198764,0.11764705882352941,1,Tarapacá
2020-10-06,0.017921146953405017,0.10875842155919153,1,Tarapacá
2020-10-07,0.01907151819322459,0.09693877551020408,1,Tarapacá
2020-10-08,0.016566626650660263,0.10009099181073704,1,Tarapacá
2020-10-09,0.01514059120403749,0.09657039711191336,1,Tarapacá
2020-10-10,0.016496846191169336,0.09480401093892434,1,Tarapacá
2020-10-11,0.014804845222072678,0.09430438842203548,1,Tarapacá
2020-10-12,0.013525179856115108,0.10664172123479888,1,Tarapacá
2020-10-13,0.01377049180327869,0.11145510835913312,1,Tarapacá
2020-10-14,0.013167259786476869,0.1103202846975089,1,Tarapacá
2020-10-15,0.016522988505747127,0.09933774834437085,1,Tarapacá
2020-10-16,0.018175338560228082,0.10060189165950129,1,Tarapacá
2020-10-17,0.017763423496164714,0.10362257792754845,1,Tarapacá
2020-10-18,0.017965992941931345,0.1015358361774744,1,Tarapacá
2020-10-19,0.01771155468091088,0.10192616372391654,1,Tarapacá
2020-10-20,0.017949415284199074,0.10379550735863671,1,Tarapacá
2020-10-21,0.01790668348045397,0.09992254066615028,1,Tarapacá
2020-10-22,0.016084443327469212,0.10583333333333333,1,Tarapacá
2020-10-23,0.016742406122937096,0.10435497124075596,1,Tarapacá
2020-10-24,0.016991963260619976,0.09799196787148594,1,Tarapacá
2020-10-25,0.020157995096703896,0.10073710073710074,1,Tarapacá
2020-10-26,0.020046484601975594,0.08284023668639054,1,Tarapacá
2020-10-27,0.0220162224797219,0.07432432432432433,1,Tarapacá
2020-10-28,0.021634615384615384,0.08699472759226713,1,Tarapacá
2020-10-29,0.025205158264947247,0.09066901408450705,1,Tarapacá
2020-10-30,0.023557126030624265,0.09304274937133278,1,Tarapacá
2020-10-31,0.0238441407385868,0.09719789842381786,1,Tarapacá
2020-11-01,0.020647149460708784,0.09615384615384616,1,Tarapacá
2020-11-02,0.022577610536218252,0.10341805433829973,1,Tarapacá
2020-11-03,0.022394744699910422,0.10892857142857143,1,Tarapacá
2020-11-04,0.02313475997686524,0.09344115004492363,1,Tarapacá
2020-11-05,0.021082621082621083,0.09074243813015583,1,Tarapacá
2020-11-06,0.02451648052301825,0.08872458410351201,1,Tarapacá
2020-11-07,0.025725094577553596,0.08771929824561403,1,Tarapacá
2020-11-08,0.027255440523980563,0.08967391304347826,1,Tarapacá
2020-11-09,0.027540162737325267,0.09198813056379822,1,Tarapacá
2020-11-10,0.031914893617021274,0.0919080919080919,1,Tarapacá
2020-11-11,0.03306878306878307,0.10159362549800798,1,Tarapacá
2020-11-12,0.03259159361654304,0.10069790628115653,1,Tarapacá
2020-11-13,0.029874213836477988,0.10204081632653061,1,Tarapacá
2020-11-14,0.028469750889679714,0.09926854754440961,1,Tarapacá
2020-11-15,0.02301009626672928,0.09918200408997956,1,Tarapacá
2020-11-16,0.0210189627598812,0.10292728989612843,1,Tarapacá
2020-11-17,0.014508683227082875,0.09247506799637353,1,Tarapacá
2020-11-18,0.012489592006661115,0.09177820267686425,1,Tarapacá
2020-11-19,0.011647606946209234,0.09264305177111716,1,Tarapacá
2020-11-20,0.012310397889646076,0.08891013384321224,1,Tarapacá
2020-11-21,0.012007874015748031,0.09247506799637353,1,Tarapacá
2020-11-22,0.011783014673188083,0.09428284854563691,1,Tarapacá
2020-11-23,0.012370670265407108,0.09188660801564028,1,Tarapacá
2020-11-24,0.01364522417153996,0.1008729388942774,1,Tarapacá
2020-11-25,0.015431377133504794,0.1050228310502283,1,Tarapacá
2020-11-26,0.018505167027156932,0.11157455683003129,1,Tarapacá
2020-11-27,0.016587082181452627,0.11334002006018054,1,Tarapacá
2020-11-28,0.014885580982004,0.1038353601496726,1,Tarapacá
2020-11-29,0.015594541910331383,0.1079447322970639,1,Tarapacá
