"fecha";"region";"provincia";"prob48.estimado";"prob48.linf";"prob48.lsup"
2020-03-08;"15";"151";0.0917391534102459;0.0435108606421637;0.155356689051213
2020-03-15;"15";"151";0.0917391534102459;0.0435108606421637;0.155356689051213
2020-03-22;"15";"151";0.0975127706113788;0.0249182598703141;0.210840082142535
2020-03-29;"15";"151";0.0674576593986358;0.0168220374949674;0.148139271830279
2020-04-05;"15";"151";0.13821126704671;0.0800657762941802;0.209818132354351
2020-04-12;"15";"151";0.258721427093985;0.178447396096315;0.347232161261916
2020-04-19;"15";"151";0.135696947562402;0.0723486189711461;0.214077082082102
2020-04-26;"15";"151";0.222478693375082;0.148130827404276;0.307159492466896
2020-05-03;"15";"151";0.192658598617822;0.116778697893915;0.282318641695703
2020-05-10;"15";"151";0.235683460252715;0.148802973127828;0.334895519602143
2020-05-17;"15";"151";0.232204850236585;0.163015458036153;0.309398348093605
2020-05-24;"15";"151";0.256148485963397;0.195326808138395;0.32235876329913
2020-05-31;"15";"151";0.2473538583402;0.192824485103885;0.305859361251484
2020-06-07;"15";"151";0.337421513817858;0.28463886170466;0.392687835886832
2020-06-14;"15";"151";0.329194298092803;0.277184928710353;0.382979957601684
2020-06-21;"15";"151";0.392724813980921;0.340349892957934;0.446540816170676
2020-06-28;"15";"151";0.347282083254724;0.299874237959387;0.396691586976769
2020-07-05;"15";"151";0.356482489558493;0.312559811024244;0.401381435229214
2020-07-12;"15";"151";0.339054166357296;0.303785535157513;0.375342647905477
2020-07-19;"15";"151";0.298087010105161;0.259301003114013;0.334115199955172
2020-07-26;"15";"151";0.255938386403752;0.208620497532704;0.299180110755387
2020-08-02;"15";"151";0.226139232921804;0.16314773956636;0.267064889031541
2020-08-09;"15";"151";0.222162807100379;0.148104608328416;0.288648127696574
2020-03-08;"15";"152";0.0971439943636615;0.045678791732801;0.16562169172657
2020-03-15;"15";"152";0.0971439943636615;0.045678791732801;0.16562169172657
2020-03-22;"15";"152";0.0961750280134612;0.0243729398173694;0.207582232658368
2020-03-29;"15";"152";0.0968136208314684;0.0241468118472097;0.208557283507704
2020-04-05;"15";"152";0.0961504615330386;0.0236478850847861;0.212555349717979
2020-04-12;"15";"152";0.0966306653328346;0.0235294244463608;0.211916457029445
2020-04-19;"15";"152";0.0978718633499785;0.0243636803591002;0.216596907229582
2020-04-26;"15";"152";0.0971496693429808;0.0240556475156844;0.214131656870682
2020-05-03;"15";"152";0.0969497321952884;0.0244059165431973;0.209970310178347
2020-05-10;"15";"152";0.0962189627244527;0.0243107978209493;0.208932145439497
2020-05-17;"15";"152";0.0973229821638219;0.0238988982356842;0.213010561244691
2020-05-24;"15";"152";0.0957656026309723;0.0235636952604976;0.210566489456658
2020-05-31;"15";"152";0.1034444175725;0.026172226867805;0.222913908637608
2020-06-07;"15";"152";0.095222996937026;0.023108607793574;0.209081514055961
2020-06-14;"15";"152";0.169015045488865;0.075385001403045;0.291047112993733
2020-06-21;"15";"152";0.102923720005556;0.0252184575483163;0.226952771899012
2020-06-28;"15";"152";0.117389627908464;0.031999752361275;0.243208513240293
2020-07-05;"15";"152";0.141855387030688;0.050838390287037;0.264582432536134
2020-07-12;"15";"152";0.257160813765395;0.136961686897517;0.398546760934964
2020-07-19;"15";"152";0.156754091278555;0.0495909036129858;0.313053403387325
2020-07-26;"15";"152";0.177046772129176;0.0415773722272852;0.394717575030831
2020-08-02;"15";"152";0.0532105740087787;4.31949856740434e-05;0.228957726501288
2020-08-09;"15";"152";0.122148117712459;0.00689355590630895;0.385230759388652
2020-03-08;"1";"011";0.0945781967102731;0.044840741205794;0.160481674441712
2020-03-15;"1";"011";0.0945781967102731;0.044840741205794;0.160481674441712
2020-03-22;"1";"011";0.0736622598169798;0.0181200372452788;0.161378755042265
2020-03-29;"1";"011";0.0724506925401155;0.0178533977471722;0.159817564500515
2020-04-05;"1";"011";0.0644930443033838;0.0156360557492228;0.142849390439239
2020-04-12;"1";"011";0.0867177441038862;0.028938155152878;0.169884037748164
2020-04-19;"1";"011";0.0904254210164255;0.0345847828531033;0.172021194976531
2020-04-26;"1";"011";0.169819216439597;0.106987141175773;0.244162863056822
2020-05-03;"1";"011";0.190408497942981;0.143111311990627;0.242287080648999
2020-05-10;"1";"011";0.113453419101619;0.0835185807885129;0.147651707183875
2020-05-17;"1";"011";0.139426366724208;0.114015664163195;0.16676980903531
2020-05-24;"1";"011";0.167676395338748;0.142950875314369;0.193967880259633
2020-05-31;"1";"011";0.226316765275518;0.197536825318225;0.256344104493095
2020-06-07;"1";"011";0.228955319888026;0.198968406131737;0.260625099066822
2020-06-14;"1";"011";0.302879839184355;0.268593294416656;0.338377401122373
2020-06-21;"1";"011";0.301992543848108;0.265804968880066;0.339449427248273
2020-06-28;"1";"011";0.315805440836721;0.276603779461154;0.35617727167377
2020-07-05;"1";"011";0.302551716059819;0.262650948985469;0.344350347719023
2020-07-12;"1";"011";0.344225116253858;0.298991819755352;0.390606826151236
2020-07-19;"1";"011";0.267225563712346;0.22303977556285;0.312391818264427
2020-07-26;"1";"011";0.264848480857334;0.211377499354666;0.316247837584111
2020-08-02;"1";"011";0.373458554743085;0.306347220542681;0.431493358482158
2020-08-09;"1";"011";0.321176000624714;0.192459077412504;0.455370949873281
2020-03-08;"1";"014";0.0963930065899876;0.0457950445959693;0.163178906974802
2020-03-15;"1";"014";0.0963930065899876;0.0457950445959693;0.163178906974802
2020-03-22;"1";"014";0.0937181601686016;0.0235570795895238;0.204693654082667
2020-03-29;"1";"014";0.0884305418146472;0.0221942595836504;0.194526230486967
2020-04-05;"1";"014";0.0760124387389813;0.0187616530771749;0.169160813057916
2020-04-12;"1";"014";0.0684639522937476;0.0164623007350475;0.154017576608138
2020-04-19;"1";"014";0.0816132189420122;0.019213265349256;0.182567888037052
2020-04-26;"1";"014";0.0951113611681954;0.0232814027138094;0.210709535479848
2020-05-03;"1";"014";0.0694047546964869;0.0170048545333653;0.155663097441117
2020-05-10;"1";"014";0.15396548660172;0.0659294841232624;0.268992309496418
2020-05-17;"1";"014";0.0720708502468974;0.0216048586254791;0.149038021287478
2020-05-24;"1";"014";0.112630315917759;0.0556620255902102;0.185567523661627
2020-05-31;"1";"014";0.112201618086793;0.0614169348886443;0.176442421877754
2020-06-07;"1";"014";0.1450102044374;0.0938097079518944;0.205143576831653
2020-06-14;"1";"014";0.277179536602801;0.211767874884986;0.348075554777449
2020-06-21;"1";"014";0.210350272751785;0.14355220447822;0.284785616129639
2020-06-28;"1";"014";0.215231672474113;0.145072584538218;0.294039649837872
2020-07-05;"1";"014";0.364411651913123;0.295363210654249;0.436923420519799
2020-07-12;"1";"014";0.307858819276849;0.236319269581026;0.384976194375147
2020-07-19;"1";"014";0.27054556157576;0.193252660155973;0.353446143967817
2020-07-26;"1";"014";0.270764488048978;0.181077190183467;0.370631365915262
2020-08-02;"1";"014";0.69719127640348;0.552847704372221;0.798017106710848
2020-08-09;"1";"014";0.336913155124173;0.165025507440343;0.53723573274921
2020-03-08;"2";"021";0.0891755738568822;0.0420711207283456;0.151846573470149
2020-03-15;"2";"021";0.0891755738568822;0.0420711207283456;0.151846573470149
2020-03-22;"2";"021";0.0568514629128005;0.0139147474999226;0.126302619617833
2020-03-29;"2";"021";0.0500924856400059;0.0122922497106102;0.11224687244684
2020-04-05;"2";"021";0.0748385127140029;0.0291768162119993;0.138966534190076
2020-04-12;"2";"021";0.0839756519678415;0.0399977306848136;0.142066166427875
2020-04-19;"2";"021";0.107334451130967;0.0649574682964497;0.159076513547932
2020-04-26;"2";"021";0.190811875358268;0.142718950103428;0.243529822468214
2020-05-03;"2";"021";0.196149040167274;0.154657091222122;0.240764556084252
2020-05-10;"2";"021";0.0310740947979122;0.0162841534597792;0.0501414207780591
2020-05-17;"2";"021";0.0499654979862938;0.0310596980152828;0.07287855803857
2020-05-24;"2";"021";0.0590598244376454;0.0364771942568999;0.0862461197141922
2020-05-31;"2";"021";0.115874615782474;0.0866791863743371;0.148644519690056
2020-06-07;"2";"021";0.087932147714978;0.0650201145542896;0.113736939371156
2020-06-14;"2";"021";0.142157029580622;0.116250430501011;0.170038072527124
2020-06-21;"2";"021";0.136727722949309;0.11317238798968;0.161979656869566
2020-06-28;"2";"021";0.117210923898463;0.0966972727168072;0.139554644380927
2020-07-05;"2";"021";0.163696260075997;0.140790636999656;0.187716759449164
2020-07-12;"2";"021";0.256801465061595;0.227024679221337;0.287755944913945
2020-07-19;"2";"021";0.271131378006131;0.229601265136451;0.310552840573292
2020-07-26;"2";"021";0.259875775985677;0.21464541437041;0.303184978032879
2020-08-02;"2";"021";0.266516508218098;0.209518027806993;0.309001824273089
2020-08-09;"2";"021";0.23312724434743;0.145233067391637;0.323126220256029
2020-03-08;"2";"022";0.0932897464153451;0.0440792460967287;0.158506601223846
2020-03-15;"2";"022";0.0932897464153451;0.0440792460967287;0.158506601223846
2020-03-22;"2";"022";0.0817295101473706;0.0205129624147156;0.180952210409987
2020-03-29;"2";"022";0.0860988463497094;0.0215342809035928;0.189489240385805
2020-04-05;"2";"022";0.0709259132190954;0.0168544362818184;0.157751562889809
2020-04-12;"2";"022";0.0821016919609533;0.025439708260251;0.167360435522231
2020-04-19;"2";"022";0.0695360067404386;0.0167135559587583;0.152867168992494
2020-04-26;"2";"022";0.118347643867974;0.0576179631457965;0.196527296407009
2020-05-03;"2";"022";0.0745973634263745;0.0292091945921385;0.137435425739699
2020-05-10;"2";"022";0.0513272342801501;0.0205456474497209;0.0949522182400531
2020-05-17;"2";"022";0.0219827834694641;0.00807568308603086;0.0424052940623038
2020-05-24;"2";"022";0.014144026340823;0.00416341094583866;0.0300075867648081
2020-05-31;"2";"022";0.0135078135537392;0.00467231359644328;0.0266661525898056
2020-06-07;"2";"022";0.036769491447616;0.0248905011069137;0.0507978764458522
2020-06-14;"2";"022";0.0705214909137851;0.0555304780294003;0.0871918665582717
2020-06-21;"2";"022";0.193231443046573;0.168583509203257;0.219517408714339
2020-06-28;"2";"022";0.282094046524479;0.250425239512286;0.314585074732982
2020-07-05;"2";"022";0.311596273077089;0.277755181245814;0.346453652561411
2020-07-12;"2";"022";0.314694202488312;0.27526350306309;0.355456526712534
2020-07-19;"2";"022";0.354437807760707;0.30569277567838;0.402693715574014
2020-07-26;"2";"022";0.323554758076816;0.256093713609705;0.388288402926059
2020-08-02;"2";"022";0.547131394682278;0.43423722521548;0.627786510932703
2020-08-09;"2";"022";0.514350361323657;0.3380725622228;0.665863972606898
2020-03-08;"2";"023";0.0966287361007777;0.0453694969502626;0.163893394777779
2020-03-15;"2";"023";0.0966287361007777;0.0453694969502626;0.163893394777779
2020-03-22;"2";"023";0.0894672657870904;0.0218455454339576;0.197456553284671
2020-03-29;"2";"023";0.0977749331870352;0.0249940398466147;0.213602772360892
2020-04-05;"2";"023";0.084859743703542;0.0205795347410962;0.187642547828572
2020-04-12;"2";"023";0.0986309298158445;0.0312705000748968;0.199228649402347
2020-04-19;"2";"023";0.0783865649099028;0.0188771109889223;0.173321262590794
2020-04-26;"2";"023";0.100338865790027;0.0359323154115219;0.193885779315325
2020-05-03;"2";"023";0.0823238592461924;0.0327765078095917;0.151641784837888
2020-05-10;"2";"023";0.0433949143821015;0.0107541898748386;0.0953309184827916
2020-05-17;"2";"023";0.0455507627303156;0.0108033486745686;0.103174734665232
2020-05-24;"2";"023";0.0548022646541503;0.0124632881325644;0.124963252929462
