fecha,COVID UCI Nacional
2020-04-12,52.91808362698084
2020-04-13,52.312991194655694
2020-04-15,52.747836864093635
2020-04-16,52.06984410234436
2020-04-18,49.071325171136245
2020-04-19,49.95319399115306
2020-04-21,51.909666586330275
2020-04-22,51.37184719772367
2020-04-23,53.93141655917562
2020-04-29,51.57144866420077
2020-04-30,53.002282007559465
2020-05-01,53.87869991200651
2020-05-02,51.69932644901047
2020-05-03,54.46596665566834
2020-05-06,53.87805599992018
2020-05-07,52.76480063360572
2020-05-08,52.38685007564125
2020-05-09,56.322629272858286
2020-05-12,58.223545640415615
2020-05-13,60.67227144887652
2020-05-14,59.872128305158206
2020-05-15,63.11108349569717
2020-05-16,65.32394500958983
2020-05-17,65.31678641410844
2020-05-18,66.16739120096685
2020-05-19,71.10747456446671
2020-05-20,72.11979544783681
2020-05-21,72.90534366017296
2020-05-23,78.91510310235928
2020-05-24,78.61482127389186
2020-05-26,82.39688564450199
2020-05-27,83.72558087549784
2020-05-28,85.00014507394815
2020-05-29,88.43963012581355
2020-05-31,88.50588247340345
2020-06-01,92.44661303995919
2020-06-02,90.23749688273291
2020-06-03,90.60346823933813
2020-06-04,92.68144902737139
2020-06-05,92.81526832521836
2020-06-06,92.5639672284684
2020-06-07,93.62328106934854
2020-06-08,92.40075393404538
2020-06-09,92.54130029622605
2020-06-10,92.63531747696351
2020-06-11,91.75888396697815
2020-06-12,92.8769524179023
2020-06-13,93.95488803709175
2020-06-14,95.9625236968681
2020-06-15,95.4653673477416
2020-06-16,94.36024084536285
2020-06-17,97.2041612483745
2020-06-18,102.2685322220707
2020-06-19,102.94306187465187
2020-06-20,104.7939330167493
2020-06-21,107.65568948992454
2020-06-22,108.31206351152657
2020-06-23,106.58848409316757
2020-06-24,108.99623840449964
2020-06-25,111.0649676612807
2020-06-26,110.7189299647037
2020-06-27,110.93123855524004
2020-06-28,112.72518563386606
2020-06-29,108.62571321356438
2020-06-30,109.67647522931289
2020-07-01,108.40938099027137
2020-07-02,110.10564161584094
2020-07-04,109.74848732555564
2020-07-05,110.20435004889721
2020-07-06,109.14836317020867
2020-07-07,110.60295793114483
2020-07-08,109.3691483110644
2020-07-09,108.53778054084283
2020-07-10,108.13942051399373
2020-07-11,109.13013618611191
2020-07-12,108.23021624885462
2020-07-13,105.19703879324669
2020-07-14,104.19443824779232
2020-07-15,104.4986153098818
2020-07-17,99.51004048551592
2020-07-18,98.15918659338324
2020-07-19,97.82039089338741
2020-07-20,97.92026955165588
2020-07-21,97.86908197894908
2020-07-23,96.56076013555511
2020-07-24,94.5528102875307
2020-07-25,93.12433890095949
2020-07-26,91.64325216112864
2020-07-27,91.58091630387668
2020-07-28,89.88682138095317
2020-07-30,86.9104952591305
2020-07-31,87.3576810374586
2020-08-01,88.34338124662598
2020-08-02,88.98383800854542
2020-08-03,86.87634538949256
2020-08-04,87.20993386321385
2020-08-05,85.43154217968817
2020-08-06,83.93202371357795
2020-08-07,84.96974686201304
2020-08-08,84.38633031978216
2020-08-09,81.45791798413359
2020-08-10,82.97603937213069
2020-08-11,81.83100091317718
2020-08-12,84.16655992156079
2020-08-13,84.17435256283827
2020-08-14,85.32958210314247
2020-08-15,82.73963475284019
2020-08-16,81.14652539443007
2020-08-17,81.28301475041556
2020-08-18,80.75960093449399
2020-08-19,78.13502849138004
2020-08-20,74.5750881814065
2020-08-21,76.34272757183125
2020-08-22,75.09894889864339
2020-08-23,72.50274973914541
2020-08-24,71.19846537114482
2020-08-25,71.52853146477132
2020-08-26,70.68715092058748
2020-08-27,71.59928174317366
2020-08-28,70.0535011613392
2020-08-29,68.89912277550668
2020-08-30,67.84644088878838
2020-08-31,68.07552800686234
2020-09-01,66.86131975348884
2020-09-02,66.67403577868163
2020-09-03,66.25293821208693
2020-09-04,65.86758636286538
2020-09-05,64.5220888670973
2020-09-06,64.55787091124607
2020-09-07,65.19476058450958
2020-09-08,65.08949455557872
2020-09-09,65.9648621565468
2020-09-10,65.25968344593088
2020-09-11,62.99515184370614
2020-09-12,63.07447789892523
2020-09-13,63.03656747104388
2020-09-14,62.5678941069469
2020-09-15,63.64808306742969
2020-09-16,63.430218636476326
2020-09-17,64.23008580278277
2020-09-19,64.44283617679538
2020-09-20,64.02467188243905
2020-09-21,65.2691693410382
2020-09-22,65.73557970474842
2020-09-23,65.9649796504947
2020-09-24,64.04799137583001
2020-09-25,63.94302396679268
2020-09-26,64.05333818087088
2020-09-27,64.22393903933137
2020-09-28,65.05630240288838
2020-09-29,63.40684618012235
2020-09-30,62.1989413725526
2020-10-01,62.409904429780035
2020-10-02,63.44792701441686
2020-10-03,62.87193675186838
2020-10-04,63.13862394679833
2020-10-05,63.49357583462789
2020-10-06,63.629718609401415
2020-10-07,60.99306856277067
2020-10-08,60.96517176862065
2020-10-09,61.96287208855634
2020-10-10,61.76853055916775
2020-10-11,59.5949352592568
2020-10-12,58.465420496710294
2020-10-13,57.12611581328718
2020-10-14,58.1655978274964
2020-10-15,58.43948724926226
2020-10-16,60.310149119502206
2020-10-17,58.610175645286176
2020-10-18,56.532365872226656
2020-10-19,58.37711617046118
2020-10-20,58.900022948060894
2020-10-21,57.288869601719114
2020-10-22,58.1269787296613
2020-10-23,56.69133250026702
2020-10-24,55.73100501579045
2020-10-25,54.534921961507244
2020-10-26,56.80938273103715
2020-10-27,56.57193924785314
2020-10-28,56.787258920935365
2020-10-29,57.82947726172786
2020-10-30,57.229150311913855
2020-11-06,42.232430473492954
