"fecha";"region";"servicio.salud";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-10-06";13;131015;0.973234325400343;0.835668743711583;1.1107999070891;0.883348709784213;1.06311994101647
"2020-10-07";13;131015;0.995588124700994;0.855775851958678;1.13540039744331;0.90423701387763;1.08693923552436
"2020-10-08";13;131015;1.02052900465895;0.881459313003891;1.15959869631401;0.929658746135516;1.11139926318239
"2020-10-09";13;131015;1.02665380916723;0.881494607983328;1.17181301035114;0.931813949567131;1.12149366876733
"2020-10-10";13;131015;1.03686145582973;0.894114312922426;1.17960859873704;0.943590516910309;1.13013239474916
"2020-10-11";13;131015;1.03502903386213;0.893051771847206;1.17700629587706;0.942259565010731;1.12779850271353
"2020-10-12";13;131015;1.02313852735517;0.87852765211727;1.16774940259307;0.928656190838309;1.11762086387203
"2020-10-13";13;131015;1.00303008972185;0.858646236159462;1.14741394328424;0.908701306669819;1.09735887277388
"2020-10-14";13;131015;1.00880111259176;0.866993043343376;1.15060918184015;0.916153170512624;1.1014490546709
"2020-10-15";13;131015;1.01808775869736;0.879291787811946;1.15688372958277;0.927402332684836;1.10877318470988
"2020-10-16";13;131015;0.999985601059068;0.865584577990545;1.13438662412759;0.912167017719823;1.08780418439831
"2020-10-17";13;131015;0.989284114534516;0.855606453356451;1.12296177571258;0.901939516549369;1.07662871251966
"2020-10-18";13;131015;0.98025251314042;0.849624629898365;1.11088039638247;0.894896471827698;1.06560855445314
"2020-10-19";13;131015;0.977164583786772;0.84278535610418;1.11154381146936;0.889364176106073;1.06496499146747
"2020-10-20";13;131015;0.976934676845362;0.83954397002384;1.11432538366688;0.887170922829622;1.0666984308611
"2020-10-21";13;131015;0.951463112781197;0.814792994150356;1.08813323141204;0.862171150477414;1.04075507508498
"2020-10-22";13;131015;0.915504634840986;0.7834442786107;1.04756499107127;0.829217388617515;1.00179188106446
"2020-10-23";13;131015;0.911625990909234;0.774708238101025;1.04854374371744;0.82216569410166;1.00108628771681
"2020-10-24";13;131015;0.89986245108605;0.764727651265264;1.03499725090683;0.811559056824111;0.988165845347988
"2020-10-25";13;131015;0.92204104900137;0.779311541814425;1.06477055618831;0.828778476681689;1.01530362132105
"2020-10-26";13;131015;0.915559084253896;0.771870078541754;1.05924808996604;0.821674145508349;1.00944402299944
"2020-10-27";13;131015;0.914580423384203;0.770012327928375;1.05914851884003;0.820120631730061;1.00904021503835
"2020-10-28";13;131015;0.912859945098219;0.766348527526978;1.05937136266946;0.8171320220912;1.00858786810524
"2020-10-29";13;131015;0.923564441554667;0.776069306568136;1.0710595765412;0.827191519227817;1.01993736388152
"2020-10-30";13;131015;0.941619603757687;0.790466403213576;1.0927728043018;0.842860278995758;1.04037892851962
"2020-10-31";13;131015;0.945486908669944;0.798153327931233;1.09282048940866;0.849218160752479;1.04175565658741
"2020-11-01";13;131015;0.93297300519352;0.780580000393185;1.08536600999385;0.833410461724235;1.0325355486628
"2020-11-02";13;131015;0.941022027816654;0.783210583397597;1.09883347223571;0.83792489729574;1.04411915833757
"2020-11-03";13;131015;0.939311722373514;0.782259102045817;1.09636434270121;0.836708000013664;1.04191544473336
"2020-11-04";13;131015;0.951139042579673;0.789474079434909;1.11280400572444;0.845526913968214;1.05675117119113
"2020-11-05";13;131015;0.959478184116612;0.796928608844571;1.12202775938865;0.85328812027624;1.06566824795698
"2020-11-06";13;131015;0.949596715413471;0.786157415562334;1.11303601526461;0.842828592875603;1.05636483795134
"2020-11-07";13;131015;0.97046295001124;0.809523580048799;1.13140231997368;0.865318223244692;1.07560767677779
"2020-11-08";13;131015;0.984876204766518;0.815135804267048;1.15461660526599;0.873996002954032;1.095756406579
"2020-11-09";13;131015;0.999699234739568;0.82696508764968;1.17243338182946;0.886865559617359;1.11253290986178
"2020-11-10";13;131015;1.03212924021753;0.841028525287028;1.22322995514802;0.90732475815932;1.15693372227573
"2020-11-11";13;131015;1.05135604192922;0.842939303387934;1.25977278047051;0.915263086156529;1.18744899770191
"2020-03-08";5;51011;2.65957225670341;0;3.99;-0.219978437459204;5.53912295086602
"2020-03-09";5;51011;2.30675467185344;0;3.99;-0.560926185094881;5.17443552880175
"2020-03-10";5;51011;2.08406222568928;0;3.99;-0.314818901590312;4.48294335296888
"2020-03-11";5;51011;1.8711972804626;0;3.99;-0.111722571937289;3.85411713286249
"2020-03-12";5;51011;1.76028084384741;0;3.99;0.179627089374335;3.34093459832048
"2020-03-13";5;51011;1.70420627336627;0;3.78621851747801;0.34352239329911;3.06489015343344
"2020-03-14";5;51011;1.68644273528991;0;3.7556993771991;0.334272767945379;3.03861270263444
"2020-03-15";5;51011;1.69407592823566;0;3.54249692710746;0.486103154696088;2.90204870177523
"2020-03-16";5;51011;1.67968459752382;0;3.44115736547281;0.528548023024598;2.83082117202304
"2020-03-17";5;51011;1.67515685120222;0.0761432972861869;3.27417040511824;0.63012739963084;2.72018630277359
"2020-03-18";5;51011;1.73359018707437;0.212272295680099;3.25490807846863;0.739306035510222;2.72787433863851
"2020-03-19";5;51011;1.77902456436103;0.258599076420048;3.29945005230201;0.785387126834015;2.77266200188805
"2020-03-20";5;51011;1.81136445514376;0.314094605082403;3.30863430520512;0.83288070758927;2.78984820269825
"2020-03-21";5;51011;1.79192187913232;0.44645135075272;3.13739240751191;0.912540281909724;2.67130347635491
"2020-03-22";5;51011;1.7415115303169;0.484025604880544;2.99899745575326;0.919651070284923;2.56337199034888
"2020-03-23";5;51011;1.73963670786473;0.537415209265494;2.94185820646396;0.95392865660566;2.5253447591238
"2020-03-24";5;51011;1.68273374086979;0.604659354659594;2.76080812707998;0.978104326931958;2.38736315480761
"2020-03-25";5;51011;1.60812332671123;0.646500849774732;2.56974580364772;0.979574771582352;2.2366718818401
"2020-03-26";5;51011;1.53086663028273;0.663741074138975;2.39799218642649;0.964075556002153;2.09765770456331
"2020-03-27";5;51011;1.44310616162665;0.648229983471259;2.23798233978204;0.923558921647074;1.96265340160622
"2020-03-28";5;51011;1.38514594903327;0.646060503386204;2.12423139468034;0.902078878930626;1.86821301913592
"2020-03-29";5;51011;1.35546775119746;0.641977326707645;2.06895817568727;0.889162747123452;1.82177275527146
"2020-03-30";5;51011;1.28994742134193;0.584416170440948;1.99547867224291;0.828910831857206;1.75098401082665
"2020-03-31";5;51011;1.25437768974383;0.572717010020293;1.93603836946736;0.808955982570508;1.69979939691715
"2020-04-01";5;51011;1.23322872006467;0.605298165302441;1.8611592748269;0.822872131760871;1.64358530836847
"2020-04-02";5;51011;1.23878548350223;0.609545950572816;1.86802501643164;0.827604873763238;1.64996609324122
"2020-04-03";5;51011;1.24555667495871;0.628150187653294;1.86296316226412;0.842107530022257;1.64900581989516
"2020-04-04";5;51011;1.22754201390774;0.637502918744305;1.81758110907118;0.841959886859299;1.61312414095618
"2020-04-05";5;51011;1.20089801630829;0.644515194051292;1.75728083856529;0.837287152766825;1.56450887984976
"2020-04-06";5;51011;1.20103875328357;0.654868736655479;1.74720876991165;0.844107114901733;1.5579703916654
