fecha,positividad_sintomatico,positividad_asintomatico,codigo_ss,ss
2020-03-17,0.0,,151011,Arica
2020-03-22,0.0,,151011,Arica
2020-03-25,0.0,,151011,Arica
2020-03-26,0.0,,151011,Arica
2020-03-30,0.0,,151011,Arica
2020-03-31,0.2,,151011,Arica
2020-04-01,0.04395604395604396,0.3333333333333333,151011,Arica
2020-04-03,0.03944315545243619,0.1935483870967742,151011,Arica
2020-04-04,0.04184100418410042,0.14285714285714285,151011,Arica
2020-04-05,0.05944055944055944,0.1111111111111111,151011,Arica
2020-04-06,0.084375,0.11403508771929824,151011,Arica
2020-04-07,0.09335219236209336,0.08227848101265822,151011,Arica
2020-04-08,0.1109350237717908,0.07027027027027027,151011,Arica
2020-04-09,0.13761467889908258,0.053497942386831275,151011,Arica
2020-04-11,0.2920962199312715,0.03461538461538462,151011,Arica
2020-04-13,0.3699421965317919,0.013377926421404682,151011,Arica
2020-04-14,0.49056603773584906,0.01568627450980392,151011,Arica
2020-04-15,0.3422818791946309,0.0110803324099723,151011,Arica
2020-04-16,0.2440944881889764,0.013201320132013201,151011,Arica
2020-04-17,0.2032967032967033,0.012861736334405145,151011,Arica
2020-04-18,0.18834080717488788,0.011111111111111112,151011,Arica
2020-04-19,0.19391634980988592,0.010869565217391304,151011,Arica
2020-04-20,0.15853658536585366,0.005780346820809248,151011,Arica
2020-04-21,0.16666666666666666,0.010638297872340425,151011,Arica
2020-04-22,0.1013157894736842,0.04716981132075472,151011,Arica
2020-04-23,0.12515188335358446,0.056910569105691054,151011,Arica
2020-04-24,0.12439024390243902,0.05228758169934641,151011,Arica
2020-04-25,0.11390728476821192,0.05714285714285714,151011,Arica
2020-04-26,0.10694444444444444,0.05714285714285714,151011,Arica
2020-04-27,0.11127167630057803,0.06060606060606061,151011,Arica
2020-04-28,0.10028653295128939,0.0546875,151011,Arica
2020-04-29,0.16455696202531644,0.037037037037037035,151011,Arica
2020-04-30,0.09913793103448276,0.014925373134328358,151011,Arica
2020-05-01,0.07171314741035857,0.0,151011,Arica
2020-05-02,0.06690140845070422,0.0,151011,Arica
2020-05-03,0.05830903790087463,0.014285714285714285,151011,Arica
2020-05-05,0.05423728813559322,0.01694915254237288,151011,Arica
2020-05-06,0.060810810810810814,0.03125,151011,Arica
2020-05-07,0.03523035230352303,0.02531645569620253,151011,Arica
2020-05-08,0.06613756613756613,0.04,151011,Arica
2020-05-09,0.07692307692307693,0.04040404040404041,151011,Arica
2020-05-10,0.08648648648648649,0.028037383177570093,151011,Arica
2020-05-11,0.07547169811320754,0.022388059701492536,151011,Arica
2020-05-12,0.07515657620041753,0.023668639053254437,151011,Arica
2020-05-13,0.06653620352250489,0.015789473684210527,151011,Arica
2020-05-14,0.0744920993227991,0.014018691588785047,151011,Arica
2020-05-15,0.0665083135391924,0.013392857142857142,151011,Arica
2020-05-16,0.08733624454148471,0.020242914979757085,151011,Arica
2020-05-17,0.102880658436214,0.024691358024691357,151011,Arica
2020-05-18,0.12524850894632206,0.03375527426160337,151011,Arica
2020-05-19,0.12845849802371542,0.04291845493562232,151011,Arica
2020-05-20,0.14933837429111532,0.058823529411764705,151011,Arica
2020-05-21,0.1606837606837607,0.07723577235772358,151011,Arica
2020-05-22,0.16366612111292964,0.0963302752293578,151011,Arica
2020-05-23,0.14285714285714285,0.08558558558558559,151011,Arica
2020-05-24,0.1443001443001443,0.08189655172413793,151011,Arica
2020-05-25,0.15294117647058825,0.08260869565217391,151011,Arica
2020-05-26,0.1581769436997319,0.0823045267489712,151011,Arica
2020-05-27,0.16,0.08465608465608465,151011,Arica
2020-05-28,0.16110019646365423,0.08588957055214724,151011,Arica
2020-05-29,0.17448405253283303,0.10714285714285714,151011,Arica
2020-05-30,0.20496894409937888,0.1099476439790576,151011,Arica
2020-05-31,0.21797752808988763,0.10638297872340426,151011,Arica
2020-06-01,0.20933521923620935,0.08865248226950355,151011,Arica
2020-06-02,0.23564064801178203,0.09655172413793103,151011,Arica
2020-06-03,0.23157894736842105,0.08244680851063829,151011,Arica
2020-06-04,0.21954314720812182,0.06431852986217458,151011,Arica
2020-06-05,0.21303560651780326,0.052316890881913304,151011,Arica
2020-06-06,0.2077771329077191,0.058823529411764705,151011,Arica
2020-06-07,0.20525451559934318,0.060781476121562955,151011,Arica
2020-06-08,0.20597584233947872,0.057660626029654036,151011,Arica
2020-06-09,0.1959378733572282,0.04777070063694268,151011,Arica
2020-06-10,0.20146968769136558,0.05872193436960276,151011,Arica
2020-06-11,0.2060778727445394,0.09883720930232558,151011,Arica
2020-06-12,0.22433460076045628,0.09615384615384616,151011,Arica
2020-06-13,0.2228310502283105,0.07795698924731183,151011,Arica
2020-06-14,0.20683287165281625,0.07466666666666667,151011,Arica
2020-06-15,0.22319093286835223,0.09375,151011,Arica
2020-06-16,0.23249027237354086,0.10787172011661808,151011,Arica
2020-06-17,0.22638146167557932,0.08743169398907104,151011,Arica
2020-06-18,0.22123104371097235,0.05759162303664921,151011,Arica
2020-06-19,0.22058823529411764,0.064343163538874,151011,Arica
2020-06-20,0.24880382775119617,0.07871720116618076,151011,Arica
2020-06-21,0.2744090441932169,0.08794788273615635,151011,Arica
2020-06-22,0.26021505376344084,0.0783132530120482,151011,Arica
2020-06-23,0.25296442687747034,0.08985507246376812,151011,Arica
2020-06-24,0.25785482123510295,0.1,151011,Arica
2020-06-25,0.28511087645195354,0.10367892976588629,151011,Arica
2020-06-26,0.27582534611288606,0.12982456140350876,151011,Arica
2020-06-27,0.26054054054054054,0.13651877133105803,151011,Arica
