fecha,positividad_bac,positividad_no_bac,codigo_ss,ss
2020-07-01,0.0,0.28665028665028663,151011,Arica
2020-07-02,0.0,0.2708006279434851,151011,Arica
2020-07-03,0.0,0.27265917602996254,151011,Arica
2020-07-04,0.0,0.2955840455840456,151011,Arica
2020-07-05,0.0,0.29424157303370785,151011,Arica
2020-07-06,0.0,0.29108635097493035,151011,Arica
2020-07-07,0.0,0.29347123464770525,151011,Arica
2020-07-08,0.0,0.2967398536260812,151011,Arica
2020-07-09,0.0,0.2960822093770071,151011,Arica
2020-07-10,0.020202020202020204,0.3034571062740077,151011,Arica
2020-07-11,0.020202020202020204,0.30251572327044024,151011,Arica
2020-07-12,0.02912621359223301,0.32369230769230767,151011,Arica
2020-07-13,0.029411764705882353,0.33078281341965865,151011,Arica
2020-07-14,0.027522935779816515,0.34229390681003585,151011,Arica
2020-07-15,0.03296703296703297,0.3544159544159544,151011,Arica
2020-07-16,0.03125,0.3655536028119508,151011,Arica
2020-07-17,0.016666666666666666,0.3683886838868389,151011,Arica
2020-07-18,0.01875,0.375,151011,Arica
2020-07-19,0.008955223880597015,0.3754246885617214,151011,Arica
2020-07-20,0.012658227848101266,0.3735803945008966,151011,Arica
2020-07-21,0.023758099352051837,0.37155963302752293,151011,Arica
2020-07-22,0.029296875,0.3706293706293706,151011,Arica
2020-07-23,0.02912621359223301,0.3743427970557308,151011,Arica
2020-07-24,0.042884990253411304,0.38815467449828683,151011,Arica
2020-07-25,0.07061503416856492,0.38445267054468535,151011,Arica
2020-07-26,0.11078717201166181,0.3776188042922841,151011,Arica
2020-07-27,0.15229885057471265,0.3665703275529865,151011,Arica
2020-07-28,0.1853146853146853,0.3571778539931406,151011,Arica
2020-07-29,0.17391304347826086,0.3440695296523517,151011,Arica
2020-07-30,0.18808777429467086,0.3442455242966752,151011,Arica
2020-07-31,0.1466992665036675,0.31792207792207794,151011,Arica
2020-08-01,0.06896551724137931,0.3112377006732263,151011,Arica
2020-08-02,0.06485849056603774,0.3010286951813752,151011,Arica
2020-08-03,0.04218600191754554,0.298876404494382,151011,Arica
2020-08-04,0.032397408207343416,0.30022701475595914,151011,Arica
2020-08-05,0.02821316614420063,0.3040969417195615,151011,Arica
2020-08-06,0.023668639053254437,0.29957805907172996,151011,Arica
2020-08-07,0.03214807598636142,0.3048780487804878,151011,Arica
2020-08-08,0.03376857271499325,0.3083864118895966,151011,Arica
2020-08-09,0.030198776758409786,0.3063851699279094,151011,Arica
2020-08-10,0.030819140308191405,0.3155080213903743,151011,Arica
2020-08-11,0.03107937841243175,0.30122850122850126,151011,Arica
2020-08-12,0.032397408207343416,0.2987329434697856,151011,Arica
2020-08-13,0.03322528363047002,0.2978219696969697,151011,Arica
2020-08-14,0.027538018906699546,0.2980030721966206,151011,Arica
2020-08-15,0.029863481228668942,0.2906610703043022,151011,Arica
2020-08-16,0.032577903682719546,0.287478944413251,151011,Arica
2020-08-17,0.03261390887290168,0.2750316856780735,151011,Arica
2020-08-18,0.03173121791880541,0.2723351817621688,151011,Arica
2020-08-19,0.03302097278000892,0.2691588785046729,151011,Arica
2020-08-20,0.03545759463344514,0.26632522407170295,151011,Arica
2020-08-21,0.031592803861342694,0.2542372881355932,151011,Arica
2020-08-22,0.03139643861293346,0.25396825396825395,151011,Arica
2020-08-23,0.029177718832891247,0.24585818422796554,151011,Arica
2020-08-24,0.029910714285714287,0.24562540505508748,151011,Arica
2020-08-25,0.03164855928200284,0.24346629986244842,151011,Arica
2020-08-26,0.029908345393150026,0.23035230352303523,151011,Arica
2020-08-27,0.02677376171352075,0.22671480144404332,151011,Arica
2020-08-28,0.029069767441860465,0.23298245614035087,151011,Arica
2020-08-29,0.02826086956521739,0.23060029282576866,151011,Arica
2020-08-30,0.028719585161547666,0.2377468910021946,151011,Arica
2020-08-31,0.028731045490822026,0.22444444444444445,151011,Arica
2020-09-01,0.03163379233345739,0.22592324402606806,151011,Arica
2020-09-02,0.0342916522341531,0.23581847649918963,151011,Arica
2020-09-03,0.03616573033707865,0.22565320665083136,151011,Arica
2020-09-04,0.03594559585492228,0.22388059701492538,151011,Arica
2020-09-05,0.03488372093023256,0.21503637833468067,151011,Arica
2020-09-06,0.03484438430311231,0.19503012048192772,151011,Arica
2020-09-07,0.03130812151270924,0.20409711684370258,151011,Arica
2020-09-08,0.028155646947168617,0.2014331210191083,151011,Arica
2020-09-09,0.023778501628664496,0.1836734693877551,151011,Arica
2020-09-10,0.019915115899444988,0.1768334475668266,151011,Arica
2020-09-11,0.01697216564833673,0.17604712041884818,151011,Arica
2020-09-12,0.014792899408284023,0.17553191489361702,151011,Arica
2020-09-13,0.013182674199623353,0.18699186991869918,151011,Arica
2020-09-14,0.017045454545454544,0.19028609447771125,151011,Arica
2020-09-15,0.016084739113377794,0.18323586744639375,151011,Arica
2020-09-16,0.01942902458366376,0.19458668617410388,151011,Arica
2020-09-17,0.019832189168573607,0.2162773172569706,151011,Arica
2020-09-18,0.020856201975850714,0.22248803827751196,151011,Arica
2020-09-19,0.01972872996300863,0.225,151011,Arica
2020-09-20,0.018844735764031135,0.23523523523523523,151011,Arica
2020-09-21,0.016083634901487735,0.23137254901960785,151011,Arica
2020-09-22,0.01646586345381526,0.2346263008514664,151011,Arica
2020-09-23,0.017067494181536073,0.23415046491969568,151011,Arica
2020-09-24,0.016160061562139283,0.2288135593220339,151011,Arica
2020-09-25,0.022080838323353294,0.2217837411207577,151011,Arica
2020-09-26,0.020956123117223315,0.2208138759172782,151011,Arica
