fecha,positividad_bac,positividad_no_bac
2020-07-01,0.19490445859872613,0.2880009401809848
2020-07-02,0.17509247842170161,0.28582303474361564
2020-07-03,0.13275299238302501,0.2807223433046727
2020-07-04,0.11345646437994723,0.27179597907969866
2020-07-05,0.09549274255156608,0.26608904875322026
2020-07-06,0.09599447513812155,0.261041971693509
2020-07-07,0.08940926024481106,0.2554936732458695
2020-07-08,0.0678617157490397,0.24549042036030883
2020-07-09,0.056964223688780825,0.23174409542204602
2020-07-10,0.05068870523415978,0.2229220420718173
2020-07-11,0.0446668293873566,0.21414765279598322
2020-07-12,0.04813546423135464,0.20780192535346542
2020-07-13,0.04103053435114504,0.20221332443554665
2020-07-14,0.04015960870124855,0.19637878367120246
2020-07-15,0.052105715513536745,0.19135271581910177
2020-07-16,0.05094323942491482,0.18899529862441233
2020-07-17,0.0588109495295124,0.18679763284729425
2020-07-18,0.0620611686302511,0.18867414341449595
2020-07-19,0.06287425149700598,0.18924040637995473
2020-07-20,0.06463803680981595,0.19036912122915495
2020-07-21,0.06694579109739973,0.189777906288295
2020-07-22,0.06509651282865994,0.1890140884402184
2020-07-23,0.06570620206983843,0.19041583935335785
2020-07-24,0.06370229137584692,0.19027570475090821
2020-07-25,0.0609368973803661,0.18739866942472186
2020-07-26,0.06115164558290903,0.1863543077331174
2020-07-27,0.06024477481203922,0.1833384049351296
2020-07-28,0.056979254670046,0.17898193760262726
2020-07-29,0.054550993319842464,0.17431660691257952
2020-07-30,0.0511124354390147,0.16859578792840607
2020-07-31,0.048692072282133486,0.1638686590531039
2020-08-01,0.04711411013375105,0.1594673595323157
2020-08-02,0.04270533650408262,0.15797124168103632
2020-08-03,0.042484070435355785,0.15635864200180266
2020-08-04,0.042890778482626235,0.15481909569357405
2020-08-05,0.04255411757878243,0.15460082162659083
2020-08-06,0.04241941568512386,0.15503776359560828
2020-08-07,0.041038863373888755,0.15504317027722858
2020-08-08,0.04007858546168959,0.15782222095963183
2020-08-09,0.03912175144099504,0.15687651910027114
2020-08-10,0.03775248169867004,0.1549057448117693
2020-08-11,0.03645583065678663,0.15418833930638257
2020-08-12,0.0351668169522092,0.15241051106972894
2020-08-13,0.03425665569847442,0.14761275974702898
2020-08-14,0.03284260838292788,0.14472330090426336
2020-08-15,0.03138545512923423,0.14159365642674948
2020-08-16,0.031021222686861666,0.13918835884258743
2020-08-17,0.029686476160860054,0.13739542626581833
2020-08-18,0.029336734693877552,0.13406129310105305
2020-08-19,0.029240387887036406,0.13089287939413238
2020-08-20,0.028921153030945317,0.13073176041581624
2020-08-21,0.029059972164376682,0.1285957620767187
2020-08-22,0.030206726962030594,0.1288345196917694
2020-08-23,0.030748370273794002,0.12756315400063417
2020-08-24,0.0308390635062426,0.12771657453509494
2020-08-25,0.03050395112695732,0.12645454545454546
2020-08-26,0.029386742653314337,0.12652498504279064
2020-08-27,0.028723725233832847,0.12713222371549673
2020-08-28,0.027594164352485625,0.12802343891169107
2020-08-29,0.02525419408438205,0.1268371790124245
2020-08-30,0.024024943626291026,0.1273996287726614
2020-08-31,0.024256514933775137,0.128144119646499
2020-09-01,0.023969128197695484,0.1290261366799079
2020-09-02,0.024327117501685015,0.1284544459678738
2020-09-03,0.02354737888904674,0.12693737027231938
2020-09-04,0.024522990860665228,0.12633867361685833
2020-09-05,0.02558255986551496,0.1258609971403705
2020-09-06,0.02518236880498696,0.12380621635700642
2020-09-07,0.025036335921159912,0.1233931240657698
2020-09-08,0.025116474585770834,0.12143763844985937
2020-09-09,0.024091965268435857,0.11911137194488257
2020-09-10,0.025030772011671847,0.11813819345144325
2020-09-11,0.024707988745843637,0.11760798144748284
2020-09-12,0.024136187426259902,0.1164023714271943
2020-09-13,0.02472137446761483,0.11839209682820648
2020-09-14,0.024553704317947934,0.11548958185011154
2020-09-15,0.02464631484929937,0.11497260895355735
2020-09-16,0.024837285853220616,0.11365649170455216
2020-09-17,0.02444500083458521,0.11328629153850793
2020-09-18,0.02419536935716395,0.11307801205196627
2020-09-19,0.02431498745918319,0.11610392370427437
2020-09-20,0.024844590929951185,0.11692132617233579
2020-09-21,0.02568725653867557,0.12029422066549912
2020-09-22,0.025078903748779545,0.12168028600612871
2020-09-23,0.026271968316118725,0.12378385035372678
2020-09-24,0.026694664417911115,0.1218201219913842
2020-09-25,0.02599361341391111,0.11835739733733358
2020-09-26,0.025073583517292126,0.11499511885298926
2020-09-27,0.024530214555599308,0.1147329754167844
2020-09-28,0.023812735568339616,0.11174840705960994
2020-09-29,0.023835269041377217,0.10914773028232427
2020-09-30,0.023489958696438048,0.10526930096345656
2020-10-01,0.023668181677642768,0.10449038857464837
2020-10-02,0.02411201225133999,0.10297836009588546
2020-10-03,0.02423204690175408,0.10079852246183932
2020-10-04,0.024837492978091645,0.09958231624627067
2020-10-05,0.025075645136161246,0.09838709677419355
2020-10-06,0.025334879246120826,0.09735011783640858
2020-10-07,0.024663398123491203,0.09828891158989599
2020-10-08,0.024311774461028193,0.09774436090225563
2020-10-09,0.023470972252709284,0.09883499405373576
2020-10-10,0.023301565800719203,0.09875094405391274
2020-10-11,0.022977763454721238,0.09793953308578056
2020-10-12,0.022849188841586012,0.0990472574540536
2020-10-13,0.022568856713800857,0.10142382236718309
2020-10-14,0.02326081502455109,0.10307956614272161
2020-10-15,0.023385330294511498,0.10284399187430893
2020-10-16,0.02361534325147876,0.1032253919300951
2020-10-17,0.02392162198938631,0.10449582530507386
2020-10-18,0.023028359916064015,0.10274433656957929
2020-10-19,0.023206997084548105,0.10159842068394574
