"fecha";"r.estimado";"r.liminf";"r.lisup"
"2020-03-08";2.66379464095785;0.744058438480977;3.99
"2020-03-09";2.61065094136223;1.01717127996037;3.99
"2020-03-10";2.63704519657455;1.15834118860354;3.99
"2020-03-11";2.54339507173357;1.17866808115316;3.90812206231398
"2020-03-12";2.50179155004935;1.22946646119684;3.77411663890187
"2020-03-13";2.596764706575;1.3398907051047;3.85363870804531
"2020-03-14";2.65761687979431;1.378440675829;3.93679308375962
"2020-03-15";2.63192505728408;1.348491225668;3.91535888890017
"2020-03-16";2.74662127605555;1.40819957653557;3.99
"2020-03-17";2.58101090873639;1.28923152592556;3.87279029154721
"2020-03-18";2.38199934772236;1.23204909262608;3.53194960281864
"2020-03-19";2.201665042767;1.21719981670426;3.18613026882974
"2020-03-20";2.06300523904823;1.22483626628433;2.90117421181212
"2020-03-21";1.87640278474873;1.1866009416451;2.56620462785236
"2020-03-22";1.70219063305604;1.15370022056811;2.25068104554398
"2020-03-23";1.57153508655361;1.13940376568095;2.00366640742628
"2020-03-24";1.45374505993326;1.11556045173361;1.79192966813291
"2020-03-25";1.37227473143001;1.1048246376052;1.63972482525483
"2020-03-26";1.30347147391855;1.08654955692005;1.52039339091705
"2020-03-27";1.22609948315887;1.05120362145719;1.40099534486056
"2020-03-28";1.17546993039864;1.03426274186756;1.31667711892973
"2020-03-29";1.13204354565115;1.01610602369692;1.24798106760539
"2020-03-30";1.10201827160963;1.00139269405034;1.20264384916891
"2020-03-31";1.08685542370735;0.998315082096724;1.17539576531798
"2020-04-01";1.11280368308221;1.030226299899;1.19538106626541
"2020-04-02";1.11080567463252;1.02992247925584;1.1916888700092
"2020-04-03";1.10552840242932;1.02619977216081;1.18485703269782
"2020-04-04";1.10666013580755;1.02949133183654;1.18382893977856
"2020-04-05";1.10263214794486;1.02812142420536;1.17714287168436
"2020-04-06";1.10027183943085;1.02539984573859;1.17514383312311
"2020-04-07";1.09794079372753;1.0270911772808;1.16879041017426
"2020-04-08";1.06119307215766;0.991649592880505;1.13073655143482
"2020-04-09";1.05997198024863;0.992932257697264;1.12701170279999
"2020-04-10";1.06775446518114;1.00322437566916;1.13228455469311
"2020-04-11";1.04848480342391;0.98509997016207;1.11186963668575
"2020-04-12";1.05193367719941;0.990381600749442;1.11348575364939
"2020-04-13";1.08501044987777;1.01899313443732;1.15102776531822
"2020-04-14";1.11152714417572;1.04343628224221;1.17961800610922
"2020-04-15";1.16312616776195;1.08815423447902;1.23809810104489
"2020-04-16";1.18078568305349;1.09185326444501;1.26971810166198
"2020-04-17";1.18493646452792;1.08577046073299;1.28410246832284
"2020-04-18";1.20283060740689;1.10028490663994;1.30537630817385
"2020-04-19";1.21102154285886;1.10249303127533;1.31955005444238
"2020-04-20";1.27212974077447;1.15495461371966;1.38930486782929
"2020-04-21";1.27397226275727;1.13910344678094;1.4088410787336
"2020-04-22";1.26393789979477;1.12341183320301;1.40446396638652
"2020-04-23";1.28307135421792;1.14135893509971;1.42478377333614
"2020-04-24";1.33948996400253;1.18643053102488;1.49254939698019
"2020-04-25";1.37455744312046;1.20184247699946;1.54727240924145
"2020-04-26";1.4006723565046;1.20837876510698;1.59296594790222
"2020-04-27";1.45983909527582;1.24489286466874;1.67478532588291
"2020-04-28";1.51419294470115;1.26814162882538;1.76024426057693
"2020-04-29";1.52663780043931;1.25304529506561;1.80023030581301
"2020-04-30";1.55786233756552;1.26537421552628;1.85035045960477
"2020-05-01";1.65236901372202;1.32756023638754;1.97717779105651
"2020-05-02";1.67014689053259;1.30711496487226;2.03317881619291
"2020-05-03";1.66454586307011;1.28385062208187;2.04524110405835
"2020-05-04";1.67919657209447;1.29004595648627;2.06834718770267
"2020-05-05";1.64038365900617;1.25487048087019;2.02589683714215
"2020-05-06";1.59370431097687;1.22900106503667;1.95840755691707
"2020-05-07";1.53526320698035;1.20214858007171;1.868377833889
"2020-05-08";1.46491751367097;1.17091395871882;1.75892106862311
"2020-05-09";1.40714467890129;1.15366419664161;1.66062516116098
"2020-05-10";1.37584224467763;1.15573542104875;1.59594906830651
"2020-05-11";1.34152793155851;1.14663653239332;1.5364193307237
"2020-05-12";1.30762108826816;1.13471765776592;1.4805245187704
"2020-05-13";1.26115181352691;1.10993203988885;1.41237158716497
"2020-05-14";1.21658991508802;1.08796033882437;1.34521949135167
"2020-05-15";1.20744838882107;1.09761180133903;1.31728497630312
"2020-05-16";1.18715545226708;1.08892835857663;1.28538254595753
"2020-05-17";1.15490568965727;1.06820484353072;1.24160653578382
"2020-05-18";1.14415882115529;1.06907027153909;1.21924737077148
"2020-05-19";1.12120391075425;1.05465233884915;1.18775548265934
"2020-05-20";1.14485804985463;1.08506923504112;1.20464686466815
"2020-05-21";1.13024429144375;1.07027006159927;1.19021852128823
"2020-05-22";1.11002773770518;1.05371062181085;1.16634485359951
"2020-05-23";1.09694205863941;1.04634155053674;1.14754256674207
"2020-05-24";1.07387312328777;1.02898917671169;1.11875706986385
"2020-05-25";1.06562707334512;1.02694513249194;1.1043090141983
"2020-05-26";1.04881177999661;1.01495256492026;1.08267099507297
"2020-05-27";1.01470634928961;0.985941277414177;1.04347142116505
"2020-05-28";1.02157025625982;0.995935292967674;1.04720521955197
"2020-05-29";1.00859843210735;0.984934591707611;1.0322622725071
"2020-05-30";1.00036545584181;0.978542618259177;1.02218829342444
"2020-05-31";0.996495238738618;0.97501548891154;1.0179749885657
"2020-06-01";1.02240503295554;1.00012963694014;1.04468042897094
"2020-06-02";1.01433440098079;0.99547350368649;1.03319529827509
