"fecha";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-03-08";2.72410188574499;0.740874048025103;3.99;1.42736733150954;4.02083643998044
"2020-03-09";2.63405838658535;0.99078420454274;3.99;1.55962889157942;3.70848788159127
"2020-03-10";2.64394240517286;1.16557156692102;3.99;1.67732927723884;3.61055553310687
"2020-03-11";2.55514896479281;1.20325670592691;3.90704122365871;1.67122101385044;3.43907691573517
"2020-03-12";2.50067126538109;1.25006974152661;3.75127278923558;1.68296183700312;3.31838069375907
"2020-03-13";2.58860510922422;1.34318419343183;3.83402602501661;1.77428195635126;3.40292826209719
"2020-03-14";2.67890099962072;1.39770306501611;3.96009893422532;1.84117758425968;3.51662441498175
"2020-03-15";2.65098432101255;1.35600481890347;3.94596382312162;1.80424679928835;3.49772184273675
"2020-03-16";2.77214085753247;1.41900474081126;3.99;1.88737540287162;3.65690631219331
"2020-03-17";2.60373005924968;1.2952601509661;3.91219996753326;1.74816932760649;3.45929079089287
"2020-03-18";2.38887051261148;1.22707794985648;3.55066307536647;1.62921616328264;3.14852486194031
"2020-03-19";2.21300188991772;1.21948634672695;3.20651743310848;1.56337764153938;2.86262613829605
"2020-03-20";2.07502681001021;1.23091889236799;2.91913472765243;1.52309480236873;2.62695881765169
"2020-03-21";1.8838759670044;1.18968614591839;2.57806578809041;1.42997007657749;2.33778185743131
"2020-03-22";1.70728373406892;1.15528692773258;2.25928054040525;1.34635294283801;2.06821452529983
"2020-03-23";1.57652538807371;1.14045922096866;2.01259155517875;1.29139810516401;1.86165267098341
"2020-03-24";1.45677077325799;1.11614375807954;1.79739778843643;1.2340478296489;1.67949371686707
"2020-03-25";1.37407756794861;1.10550019380261;1.64265494209461;1.19846581190429;1.54968932399293
"2020-03-26";1.30511327180931;1.08945460631717;1.52077193730144;1.1641040299867;1.44612251363192
"2020-03-27";1.22921988341098;1.05445173094917;1.40398803587279;1.11494967880686;1.34349008801511
"2020-03-28";1.17865540948172;1.03667366275831;1.32063715620513;1.08582589211191;1.27148492685153
"2020-03-29";1.1327943592533;1.01630194262942;1.24928677587718;1.05663263231604;1.20895608619056
"2020-03-30";1.10089408238541;0.999874421324427;1.20191374344639;1.03485530019822;1.16693286457259
"2020-03-31";1.08636846219498;0.997869564001808;1.17486736038815;1.02851690934148;1.14422001504848
"2020-04-01";1.11465540947976;1.03053227772398;1.19877854123554;1.05966833756421;1.16964248139531
"2020-04-02";1.11048758657727;1.0302640964301;1.19071107672443;1.05804885962716;1.16292631352737
"2020-04-03";1.10380743887646;1.02326346339253;1.1843514143604;1.05116543088172;1.15644944687121
"2020-04-04";1.10307399856469;1.02607920292966;1.18006879419972;1.0527499400269;1.15339805710247
"2020-04-05";1.10304464401205;1.02926613334194;1.17682315468215;1.0548198751511;1.15126941287299
"2020-04-06";1.09893111664919;1.02427152144347;1.1735907118549;1.05013371503568;1.14772851826269
"2020-04-07";1.09328202363405;1.01915787374495;1.16740617352316;1.0448361092682;1.1417279379999
"2020-04-08";1.05696143771798;0.985515759285687;1.12840711615027;1.01026733337448;1.10365554206148
"2020-04-09";1.05936551160916;0.992617795039272;1.12611322817905;1.01574450096493;1.10298652225339
"2020-04-10";1.06678656214344;1.00130048332386;1.13227264096302;1.02399189688661;1.10958122740027
"2020-04-11";1.04819254542229;0.984361401775427;1.11202368906915;1.00647889782802;1.08990619301656
"2020-04-12";1.04984500891385;0.988744557982597;1.1109454598451;1.00991564885754;1.08977436897016
"2020-04-13";1.08396306009712;1.02170879988476;1.14621732030948;1.04328184949051;1.12464427070373
"2020-04-14";1.11424902819967;1.04767775299117;1.18082030340818;1.07074482812416;1.15775322827519
"2020-04-15";1.16501270038738;1.08985171306299;1.24017368771177;1.11588876401272;1.21413663676204
"2020-04-16";1.17843406172317;1.0904559132414;1.26641221020495;1.12092102549148;1.23594709795487
"2020-04-17";1.18164259065515;1.08632891220734;1.27695626910296;1.11932764536981;1.24395753594049
"2020-04-18";1.19896495388666;1.09859440252768;1.29933550524564;1.13334178791521;1.2645881198581
"2020-04-19";1.21034273578596;1.10443074211391;1.316254729458;1.14109446106013;1.27959101051178
"2020-04-20";1.2737738204508;1.15625400162707;1.39129363927454;1.19693668606407;1.35061095483754
"2020-04-21";1.27638689783283;1.14073351483583;1.41204028082984;1.18769124123187;1.3650825544338
"2020-04-22";1.26527080207208;1.12380830705352;1.40673329709064;1.17277573922911;1.35776586491505
"2020-04-23";1.2868119780867;1.14367534333191;1.4299486128415;1.19322200913656;1.38040194703684
"2020-04-24";1.34343677965865;1.1890568640973;1.49781669522;1.24249510540532;1.44437845391198
"2020-04-25";1.38053539616878;1.20650266239344;1.55456812994411;1.26674219713752;1.49432859520003
"2020-04-26";1.40259267435496;1.20834173150004;1.59684361720988;1.27557933165894;1.52960601705098
"2020-04-27";1.46037904822076;1.24471359533227;1.67604450110926;1.3193634231523;1.60139467328922
"2020-04-28";1.51351626161247;1.26794620335555;1.7590863198694;1.35294686751865;1.6740856557063
"2020-04-29";1.52811906363716;1.25549513182791;1.80074299544642;1.34986001924893;1.70637810802539
"2020-04-30";1.55867203014411;1.26667488983858;1.85066917044965;1.3677454831286;1.74959857715963
"2020-05-01";1.6536331836344;1.32906388908105;1.97820247818775;1.44140883665886;1.86585753060994
"2020-05-02";1.66912902509753;1.30708227448954;2.03117577570552;1.43239943972322;1.90585861047183
"2020-05-03";1.66523288740553;1.28570231093738;2.04476346387368;1.41707122745558;1.91339454735548
