"fecha";"region";"media.estimado";"media.linf";"media.lsup"
2020-03-08;1;14.9558712619458;13.1668406476023;16.7487100430684
2020-03-15;1;14.9558712619458;13.1668406476023;16.7487100430684
2020-03-22;1;15.1030088013274;12.7160441829577;17.5991985736005
2020-03-29;1;14.6258962035137;12.2152964819707;17.1816351733709
2020-04-05;1;13.5160430368336;11.4199398415124;15.7601395304246
2020-04-12;1;11.6734792868405;9.77859092788618;13.7083464306068
2020-04-19;1;12.1318270671171;10.2889095790459;14.1412278914754
2020-04-26;1;9.55933125223647;8.19871763286605;11.0723260830066
2020-05-03;1;8.65599852712649;7.75376858871725;9.64877029482056
2020-05-10;1;7.70002813412151;7.13124261102494;8.31616909796291
2020-05-17;1;6.97794634196504;6.57774066268442;7.4045563510809
2020-05-24;1;6.74886755258785;6.4232030163557;7.0923774273172
2020-05-31;1;6.25357772913599;5.89802382766846;6.63748479852818
2020-06-07;1;6.048519465942;5.71797032768065;6.40711125097158
2020-06-14;1;5.27630268431524;4.9269125931471;5.65376936508501
2020-06-21;1;5.43607767930772;5.04240256408776;5.86478615816092
2020-06-28;1;5.61939682601945;5.20339735718119;6.07899795664181
2020-07-05;1;5.36724535919163;4.9522444394677;5.82399875170616
2020-07-12;1;5.5625193210085;5.12993181138864;6.0305000878095
2020-07-19;1;5.20852550038431;4.82110262860848;5.6371443491756
2020-07-26;1;5.77116130536148;4.503367646533;9.02783205136058
2020-08-02;1;6.08359300397909;4.56452460673287;8.56129978342782
2020-08-09;1;5.17563782515471;3.67152847823638;10.5311077558317
2020-08-16;1;4.78381484269469;3.20650718924766;9.63186209081307
2020-03-08;2;15.5208242779953;13.7997684327474;17.2510168030415
2020-03-15;2;15.5208242779953;13.7997684327474;17.2510168030415
2020-03-22;2;17.744950937489;15.6502017719404;19.8167820323818
2020-03-29;2;16.3345403740091;14.2679312735008;18.4376455327278
2020-04-05;2;15.8041463274393;13.9269759911711;17.7436274984466
2020-04-12;2;14.5397876516111;12.9313942213621;16.2096353204957
