"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup"
"2020-08-11";6;61;0.927661737479081;0.807026791045128;1.04829668391303
"2020-08-12";6;61;0.926370142735546;0.807950974575232;1.04478931089586
"2020-08-13";6;61;0.916993869994611;0.796427649396029;1.03756009059319
"2020-08-14";6;61;0.906735964343369;0.783934305569136;1.0295376231176
"2020-08-15";6;61;0.905867439392076;0.782102986744306;1.02963189203985
"2020-08-16";6;61;0.914664946753402;0.788954126152652;1.04037576735415
"2020-08-17";6;61;0.915568578824151;0.784020226999436;1.04711693064887
"2020-08-18";6;61;0.92116237570299;0.792072458836281;1.0502522925697
"2020-08-19";6;61;0.937304210487646;0.808246681832804;1.06636173914249
"2020-08-20";6;61;0.971941356811272;0.834187389349916;1.10969532427263
"2020-08-21";6;61;0.984086404075586;0.845814414946894;1.12235839320428
"2020-08-22";6;61;1.0051689372413;0.871611838663576;1.13872603581902
"2020-08-23";6;61;1.02091391463071;0.887009312446806;1.15481851681461
"2020-08-24";6;61;1.02008718415436;0.880946573437608;1.15922779487111
"2020-08-25";6;61;1.04899924624964;0.911421414080254;1.18657707841903
"2020-08-26";6;61;1.08368554912118;0.944320195220502;1.22305090302186
"2020-08-27";6;61;1.09779300439975;0.952290806774268;1.24329520202523
"2020-08-28";6;61;1.09010400600992;0.94790450223551;1.23230350978434
"2020-08-29";6;61;1.08341077955718;0.940647313264376;1.22617424584999
"2020-08-30";6;61;1.0664728102618;0.927381241212689;1.20556437931091
"2020-08-31";6;61;1.06368028565478;0.926036798793215;1.20132377251634
"2020-09-01";6;61;1.04046999748027;0.904219800070222;1.17672019489033
"2020-09-02";6;61;1.00987173624636;0.878044170236478;1.14169930225625
"2020-09-03";6;61;0.981219891161256;0.852336768473435;1.11010301384908
"2020-09-04";6;61;0.97999179459646;0.854054912371819;1.1059286768211
"2020-09-05";6;61;0.951789916879162;0.833894758467398;1.06968507529093
"2020-09-06";6;61;0.935968468369466;0.816971021307454;1.05496591543148
"2020-09-07";6;61;0.925703082829349;0.797734207911977;1.05367195774672
"2020-09-08";6;61;0.928754341501512;0.796647634182415;1.06086104882061
"2020-09-09";6;61;0.945775033473041;0.80905298698808;1.082497079958
"2020-09-10";6;61;0.936629073405366;0.800085667161697;1.07317247964904
"2020-09-11";6;61;0.929342681399611;0.793455057337758;1.06523030546146
"2020-09-12";6;61;0.955283769143468;0.822393730715824;1.08817380757111
"2020-09-13";6;61;0.980126740844056;0.850011005429305;1.11024247625881
"2020-09-14";6;61;0.988258071175117;0.856887648821484;1.11962849352875
"2020-09-15";6;61;0.965378170798612;0.833696857708587;1.09705948388864
"2020-09-16";6;61;0.932855978230053;0.802241309660203;1.0634706467999
"2020-09-17";6;61;0.927631198769525;0.795666269756915;1.05959612778214
"2020-09-18";6;61;0.921936846881135;0.78848559799706;1.05538809576521
"2020-09-19";6;61;0.906895490350805;0.774341252940805;1.03944972776081
"2020-09-20";6;61;0.904587083497945;0.771439622872579;1.03773454412331
"2020-09-21";6;61;0.89264352686896;0.755568119732948;1.02971893400497
"2020-09-22";6;61;0.906394676448884;0.764547751953586;1.04824160094418
"2020-09-23";6;61;0.917739678577219;0.772481811150673;1.06299754600377
"2020-09-24";6;61;0.927042459009739;0.778370043986018;1.07571487403346
"2020-09-25";6;61;0.93717360553284;0.785363947958788;1.08898326310689
"2020-09-26";6;61;0.947070949147618;0.795119791843283;1.09902210645195
"2020-09-27";6;61;0.948612784455777;0.803822990752558;1.093402578159
"2020-09-28";6;61;0.965697692653848;0.818098027238362;1.11329735806933
"2020-09-29";6;61;0.969583493171191;0.816045747046173;1.12312123929621
"2020-09-30";6;61;0.987746174596911;0.831656809112903;1.14383554008092
"2020-10-01";6;61;1.00605640612789;0.850309624237852;1.16180318801792
"2020-10-02";6;61;1.0263546692988;0.871879557794227;1.18082978080338
"2020-10-03";6;61;1.05264394426664;0.899151872844399;1.20613601568888
"2020-10-04";6;61;1.05221126951382;0.901457516856115;1.20296502217153
"2020-10-05";6;61;1.05211465923135;0.897380439175757;1.20684887928694
"2020-10-06";6;61;1.05335817121372;0.890929728851916;1.21578661357553
"2020-10-07";6;61;1.05263153523108;0.888852131815317;1.21641093864684
"2020-10-08";6;61;1.04682426513147;0.890051305787388;1.20359722447556
"2020-10-09";6;61;1.02932799408453;0.880682107634939;1.17797388053413
"2020-10-10";6;61;1.00421319053064;0.859407044482802;1.14901933657848
"2020-10-11";6;61;1.01369158531346;0.874449285937072;1.15293388468984
"2020-10-12";6;61;0.993647605094284;0.853917466269923;1.13337774391865
"2020-10-13";6;61;0.990312381224261;0.846992219452987;1.13363254299553
"2020-10-14";6;61;1.00209263590284;0.85524974992884;1.14893552187683
"2020-10-15";6;61;0.996028977612741;0.85138622667278;1.1406717285527
"2020-10-16";6;61;0.978973294701663;0.837863378842716;1.12008321056061
"2020-10-17";6;61;0.967178778588199;0.826980585653931;1.10737697152247
"2020-10-18";6;61;0.946622882604727;0.811143072862097;1.08210269234736
"2020-10-19";6;61;0.934029454500647;0.797343263728626;1.07071564527267
"2020-10-20";6;61;0.901732209389393;0.761454665733593;1.04200975304519
"2020-10-21";6;61;0.852707328214886;0.709144329926828;0.996270326502944
"2020-10-22";6;61;0.81745992098102;0.6679091048592;0.967010737102839
"2020-10-23";6;61;0.811936580278182;0.655527009932613;0.968346150623751
"2020-10-24";6;61;0.799711805557431;0.642131156877453;0.957292454237409
"2020-10-25";6;61;0.778083970328286;0.624575160180762;0.931592780475811
"2020-10-26";6;61;0.75891958276696;0.601557976665773;0.916281188868146
"2020-10-27";6;61;0.744568927242438;0.579225539813944;0.909912314670931
"2020-10-28";6;61;0.737514912413934;0.569602057441784;0.905427767386085
"2020-10-29";6;61;0.724621866113546;0.557545973959035;0.891697758268056
"2020-10-30";6;61;0.713492406645107;0.543859520724677;0.883125292565536
"2020-10-31";6;61;0.724103966076891;0.547077272617906;0.901130659535876
"2020-11-01";6;61;0.766002740607229;0.57622399809881;0.955781483115649
"2020-11-02";6;61;0.829670834744094;0.625203590683438;1.03413807880475
"2020-11-03";6;61;0.881650767781565;0.677455484380286;1.08584605118284
"2020-11-04";6;61;0.9317242736545;0.721532183854877;1.14191636345412
"2020-11-05";6;61;0.990704533007173;0.777669625351387;1.20373944066296
"2020-11-06";6;61;1.05145802761267;0.838435024183571;1.26448103104177
"2020-11-07";6;61;1.07129876765056;0.860078081551549;1.28251945374957
"2020-11-08";6;61;1.05934686764134;0.850379797652748;1.26831393762993
"2020-11-09";6;61;0.998087999496823;0.798446087771326;1.19772991122232
"2020-11-10";6;61;0.983547285328352;0.78641744933385;1.18067712132285
"2020-11-11";6;61;0.957830194318724;0.75900988332208;1.15665050531537
"2020-11-12";6;61;0.936666243313801;0.743512183822622;1.12982030280498
"2020-11-13";6;61;0.906533996680398;0.705204515272934;1.10786347808786
"2020-11-14";6;61;0.909396700328153;0.709655536627689;1.10913786402862
"2020-11-15";6;61;0.922529628890115;0.722856830064826;1.12220242771541
"2020-11-16";6;61;0.961052134398661;0.759694548504064;1.16240972029326
"2020-11-17";6;61;0.968621087386297;0.766818425201695;1.1704237495709
"2020-11-18";6;61;1.00131363537366;0.796420016896469;1.20620725385086
"2020-11-19";6;61;1.03814970025137;0.829661593094873;1.24663780740786
