"fecha";"region";"provincia";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-03-08";16;163;3.62969613838731;0;3.99;-1.55201433103548;8.8114066078101
"2020-03-09";16;163;3.48548705569767;0;3.99;-2.01134005400787;8.9823141654032
"2020-03-10";16;163;2.86651977023165;0;3.99;-1.34352501820758;7.07656455867088
"2020-03-11";16;163;2.64364228611279;0;3.99;-1.22119510668293;6.50847967890852
"2020-03-12";16;163;2.60562787456852;0;3.99;-1.60440521759814;6.81566096673517
"2020-03-13";16;163;2.663397532676;0;3.99;-1.66656508848474;6.99336015383674
"2020-03-14";16;163;2.68368060316657;0;3.99;-1.26366403667329;6.63102524300642
"2020-03-15";16;163;2.48805224529471;0;3.99;-0.6287247914692;5.60482928205863
"2020-03-16";16;163;2.32453039881729;0;3.99;-0.225485157624551;4.87454595525914
"2020-03-17";16;163;2.37441121356126;0;3.99;-0.493991380874236;5.24281380799676
"2020-03-18";16;163;2.31735402743903;0;3.99;0.0337996797530109;4.60090837512504
"2020-03-19";16;163;2.29318194808556;0;3.99;0.459328050669437;4.12703584550169
"2020-03-20";16;163;2.15017991321463;0;3.99;0.65814227609986;3.6422175503294
"2020-03-21";16;163;2.07588605690006;0.001435491886562;3.99;0.720119761348184;3.43165235245193
"2020-03-22";16;163;1.98265211930498;0.129852046608432;3.83545219200154;0.771720779618377;3.19358345899159
"2020-03-23";16;163;1.93239532584117;0.191420309457542;3.67337034222481;0.79461753030374;3.07017312137861
"2020-03-24";16;163;1.8401806396784;0.312746170914938;3.36761510844186;0.841921584793384;2.83843969456342
"2020-03-25";16;163;1.73215316508295;0.418918618466034;3.04538771169986;0.873835868108456;2.59047046205744
"2020-03-26";16;163;1.6068401211541;0.44785600764842;2.76582423465977;0.849346875439712;2.36433336686848
"2020-03-27";16;163;1.48452404590137;0.455330525686838;2.51371756611591;0.811870280636786;2.15717781116596
"2020-03-28";16;163;1.35574454101941;0.442509942573125;2.26897913946569;0.758886736230948;1.95260234580786
"2020-03-29";16;163;1.26192074259458;0.429617570481502;2.09422391470767;0.717968974781828;1.80587251040734
"2020-03-30";16;163;1.16746529457833;0.393780898819774;1.94114969033688;0.661840964039637;1.67308962511702
"2020-03-31";16;163;1.10905313654205;0.322385991598529;1.89572028148558;0.59503819617151;1.62306807691259
"2020-04-01";16;163;1.0771051464085;0.311674081617641;1.84253621119936;0.576959921906743;1.57725037091026
"2020-04-02";16;163;1.12644843835467;0.31136460668068;1.94153227002865;0.593912827096283;1.65898404961305
"2020-04-03";16;163;1.14771479486846;0.372348981692957;1.92308060804396;0.641058963862563;1.65437062587435
"2020-04-04";16;163;1.16718680383449;0.394358761591818;1.94001484607717;0.662184361044104;1.67218924662489
"2020-04-05";16;163;1.15646311638288;0.389006237320305;1.92391999544545;0.654981266618578;1.65794496614718
"2020-04-06";16;163;1.16556857712594;0.420682480683849;1.91045467356804;0.678800914404148;1.65233623984774
"2020-04-07";16;163;1.13183142411527;0.409848149482683;1.85381469874786;0.660021797089183;1.60364105114136
"2020-04-08";16;163;1.1142628812574;0.41399038040038;1.81453538211442;0.656629641793532;1.57189612072126
"2020-04-09";16;163;1.01740792745557;0.373692581422074;1.66112327348907;0.596707525821598;1.43810832908954
"2020-04-10";16;163;0.979574910746387;0.332998435468311;1.62615138602446;0.557038122756553;1.40211169873622
"2020-04-11";16;163;0.955832698980572;0.292487797354274;1.61917760060687;0.522374590572596;1.38929080738855
"2020-04-12";16;163;0.955232361439184;0.284609336693052;1.62585538618532;0.517018837092928;1.39344588578544
"2020-04-13";16;163;0.950803976288277;0.266186593227927;1.63542135934863;0.503461573610891;1.39814637896566
"2020-04-14";16;163;0.968391033753462;0.293265514481771;1.64351655302515;0.527210049918671;1.40957201758825
"2020-04-15";16;163;0.976361689688635;0.289702126109093;1.66302125326818;0.527650105137939;1.42507327423933
"2020-04-16";16;163;1.02113595660043;0.33443990022704;1.70783201297383;0.572361347907388;1.46991056529348
"2020-04-17";16;163;1.02586061548569;0.321854705686935;1.72986652528444;0.565799331437234;1.48592189953414
"2020-04-18";16;163;1.03876397251184;0.318687392122894;1.75884055290079;0.568215927867571;1.50931201715612
"2020-04-19";16;163;1.04984643921344;0.310516877622692;1.78917600080419;0.56673850521679;1.53295437321009
"2020-04-20";16;163;1.03269187892779;0.299263053581875;1.7661207042737;0.553431240850603;1.51195251700497
"2020-04-21";16;163;1.02150307816728;0.31660974856337;1.72639640777118;0.56084319664138;1.48216295969317
"2020-04-22";16;163;0.984329914752615;0.292509773297362;1.67615005620787;0.532209545322333;1.4364502841829
"2020-04-23";16;163;0.947436863674591;0.262681781110784;1.6321919462384;0.499942300778529;1.39493142657065
"2020-04-24";16;163;0.949070862363241;0.229080790546329;1.66906093418015;0.478595013539804;1.41954671118668
"2020-04-25";16;163;0.945000937886511;0.206676421739116;1.68332545403391;0.462557856946576;1.42744401882645
"2020-04-26";16;163;0.921992658572989;0.190764772080461;1.65322054506552;0.444166333804637;1.39981898334134
"2020-04-27";16;163;0.906938833740592;0.194388230543244;1.61948943693794;0.441276471513375;1.37260119596781
"2020-04-28";16;163;0.893747314356508;0.200407038993366;1.58708758971965;0.44059455431567;1.34690007439735
"2020-04-29";16;163;0.900265260988614;0.181013063170715;1.61951745880651;0.43019488705031;1.37033563492692
"2020-04-30";16;163;0.893850924626974;0.166494655261891;1.62120719399206;0.418481148235345;1.3692207010186
"2020-05-01";16;163;0.885248388949067;0.149663848597842;1.62083292930029;0.40449455908749;1.36600221881064
