"fecha";"region";"provincia";"media.estimado";"media.linf";"media.lsup"
2020-07-26;"05";"051";5.90277290463737;5.00049323692305;7.79408995518318
2020-08-02;"05";"051";7.66953623611438;5.86277682965115;10.2933074658303
2020-08-09;"05";"051";4.47575970991307;3.92582299617357;6.21712180697202
2020-08-16;"05";"051";5.82222923408091;3.30692556849759;10.7684162086184
2020-03-08;"05";"052";14.9482261554145;13.1315244866699;16.7994895893461
2020-03-15;"05";"052";14.9482261554145;13.1315244866699;16.7994895893461
2020-03-22;"05";"052";14.4109525844657;11.5681398910137;17.2520463540125
2020-03-29;"05";"052";14.6254080613981;11.8011361755586;17.5296919265169
2020-04-05;"05";"052";14.1595054191408;11.2209126359434;17.0788083031239
2020-04-12;"05";"052";14.9530772208481;12.0432104174534;17.9258031613083
2020-04-19;"05";"052";14.8667054962413;11.9553025909493;17.78943347504
2020-04-26;"05";"052";14.9827236026348;12.1439150874005;17.9187954349388
2020-05-03;"05";"052";15.0196242681289;12.0915758863564;17.9070502558323
2020-05-10;"05";"052";14.9833482781312;12.074741216097;17.859525150937
2020-05-17;"05";"052";14.9744769408159;12.1030141666959;17.8693667913062
2020-05-24;"05";"052";15.012917648097;12.0283247904706;17.9733111419042
2020-05-31;"05";"052";15.0015963187645;12.1114554148311;17.9484250224796
2020-06-07;"05";"052";14.9948250190959;12.1154916539983;17.881835979765
2020-06-14;"05";"052";15.0141857827694;12.076082551511;17.9385131975194
2020-06-21;"05";"052";15.032732765135;12.1567860601871;17.964633010794
2020-06-28;"05";"052";14.9819355333295;12.0634555182613;17.8204682231307
2020-07-05;"05";"052";15.008993265519;12.0538949495096;17.9363846037717
2020-07-12;"05";"052";15.0694297785827;12.0556345087716;18.1210294988346
2020-07-19;"05";"052";14.8703843121982;11.9012557400357;17.7927507234709
2020-07-26;"05";"052";15.0264464993;10.0125949605753;20.1239032518318
2020-08-02;"05";"052";13.8871931424327;8.62055041551202;18.9846025052357
2020-08-09;"05";"052";14.155832167664;5.85150691138092;23.7685096779909
2020-08-16;"05";"052";12.9642264181745;4.32235978738766;21.393712160655
2020-03-08;"05";"053";14.9964426603618;13.2104617949455;16.7892601169103
2020-03-15;"05";"053";14.9964426603618;13.2104617949455;16.7892601169103
2020-03-22;"05";"053";15.0357039888221;12.2506778107696;17.8304429272396
2020-03-29;"05";"053";14.9711250241427;12.2043395389002;17.7493578130948
2020-04-05;"05";"053";16.0042369911087;13.0865659221856;18.9306310608024
2020-04-12;"05";"053";14.0034574416537;11.2940471726457;16.8096999066733
2020-04-19;"05";"053";14.1992783943587;11.2752142320493;17.1618375416657
2020-04-26;"05";"053";13.2353147626165;10.4765140505644;16.1609409884321
2020-05-03;"05";"053";12.9152400429353;10.4922967869542;15.4964596373921
2020-05-10;"05";"053";10.337911687397;8.43765125285764;12.4360921733706
